

Spouge Algorithm


spouge<float>
err = 6.349363e-02
err = 7.145545e-03
err = 9.285597e-04
err = 1.279854e-04
err = 1.821905e-05
err = 2.647008e-06
err = 3.900335e-07
a = 8.000000e+00
c_0 = 2.901419e+03
c_1 = -5.929168e+03
c_2 = 4.148274e+03
c_3 = -1.164760e+03
c_4 = 1.174135e+02
c_5 = -2.786588e+00
c_6 = 3.775392e-03
c_7 = -0.000000e+00

              z         spouge         lgamma          delta
   3.100000e-01   1.061372e+00   1.061373e+00  -4.768372e-07
   3.200000e-01   1.028100e+00   1.028101e+00  -4.768372e-07
   3.300000e-01   9.959173e-01   9.959172e-01   1.192093e-07
   3.400000e-01   9.647617e-01   9.647620e-01  -2.980232e-07
   3.500000e-01   9.345813e-01   9.345812e-01   1.192093e-07
   3.600000e-01   9.053245e-01   9.053248e-01  -2.980232e-07
   3.700000e-01   8.769464e-01   8.769468e-01  -3.576279e-07
   3.800000e-01   8.494053e-01   8.494052e-01   1.192093e-07
   3.900000e-01   8.226619e-01   8.226609e-01   9.536743e-07
   4.000000e-01   7.966781e-01   7.966778e-01   2.384186e-07
   4.100000e-01   7.714224e-01   7.714224e-01  -5.960464e-08
   4.200000e-01   7.468634e-01   7.468638e-01  -4.172325e-07
   4.300000e-01   7.229733e-01   7.229727e-01   6.556511e-07
   4.400000e-01   6.997228e-01   6.997222e-01   5.960464e-07
   4.500000e-01   6.770878e-01   6.770871e-01   7.152557e-07
   4.600000e-01   6.550436e-01   6.550438e-01  -2.384186e-07
   4.700000e-01   6.335697e-01   6.335701e-01  -3.576279e-07
   4.800000e-01   6.126447e-01   6.126453e-01  -5.960464e-07
   4.900000e-01   5.922499e-01   5.922497e-01   1.788139e-07
   5.000000e-01   5.723648e-01   5.723649e-01  -1.192093e-07
   5.100000e-01   5.529737e-01   5.529738e-01  -5.960464e-08
   5.200000e-01   5.340590e-01   5.340599e-01  -8.940697e-07
   5.300000e-01   5.156078e-01   5.156078e-01   5.960464e-08
   5.400000e-01   4.976025e-01   4.976027e-01  -2.384186e-07
   5.500000e-01   4.800310e-01   4.800308e-01   1.788139e-07
   5.600000e-01   4.628797e-01   4.628792e-01   4.768372e-07
   5.700000e-01   4.461350e-01   4.461353e-01  -2.086163e-07
   5.800000e-01   4.297876e-01   4.297871e-01   5.066395e-07
   5.900000e-01   4.138231e-01   4.138236e-01  -4.470348e-07
   6.000000e-01   3.982339e-01   3.982339e-01  -2.980232e-08
   6.100000e-01   3.830075e-01   3.830078e-01  -2.980232e-07
   6.200000e-01   3.681359e-01   3.681358e-01   1.788139e-07
   6.300000e-01   3.536086e-01   3.536083e-01   2.980232e-07
   6.400000e-01   3.394165e-01   3.394166e-01  -1.192093e-07
   6.500000e-01   3.255520e-01   3.255522e-01  -2.384186e-07
   6.600000e-01   3.120070e-01   3.120070e-01  -5.960464e-08
   6.700000e-01   2.987728e-01   2.987732e-01  -3.576279e-07
   6.800000e-01   2.858434e-01   2.858433e-01   1.192093e-07
   6.900000e-01   2.732105e-01   2.732103e-01   2.384186e-07
   7.000000e-01   2.608676e-01   2.608673e-01   3.278255e-07
   7.100000e-01   2.488079e-01   2.488077e-01   2.235174e-07
   7.200000e-01   2.370257e-01   2.370252e-01   5.215406e-07
   7.300000e-01   2.255139e-01   2.255138e-01   1.490116e-07
   7.400000e-01   2.142677e-01   2.142675e-01   1.937151e-07
   7.500000e-01   2.032809e-01   2.032810e-01  -2.980232e-08
   7.600000e-01   1.925483e-01   1.925486e-01  -2.980232e-07
   7.700000e-01   1.820655e-01   1.820652e-01   2.980232e-07
   7.800000e-01   1.718259e-01   1.718258e-01   1.043081e-07
   7.900000e-01   1.618252e-01   1.618255e-01  -3.278255e-07
   8.000000e-01   1.520596e-01   1.520597e-01  -1.639128e-07
   8.100000e-01   1.425238e-01   1.425238e-01  -7.450581e-08
   8.200000e-01   1.332135e-01   1.332136e-01  -8.940697e-08
   8.300000e-01   1.241250e-01   1.241248e-01   2.309680e-07
   8.400000e-01   1.152534e-01   1.152533e-01   1.862645e-07
   8.500000e-01   1.065950e-01   1.065952e-01  -1.117587e-07
   8.600000e-01   9.814644e-02   9.814661e-02  -1.713634e-07
   8.700000e-01   8.990431e-02   8.990394e-02   3.725290e-07
   8.800000e-01   8.186340e-02   8.186363e-02  -2.235174e-07
   8.900000e-01   7.402229e-02   7.402218e-02   1.117587e-07
   9.000000e-01   6.637573e-02   6.637626e-02  -5.289912e-07
   9.100000e-01   5.892277e-02   5.892259e-02   1.750886e-07
   9.200000e-01   5.165768e-02   5.165803e-02  -3.576279e-07
   9.300000e-01   4.457951e-02   4.457948e-02   2.607703e-08
   9.400000e-01   3.768396e-02   3.768405e-02  -8.195639e-08
   9.500000e-01   3.096867e-02   3.096880e-02  -1.378357e-07
   9.600000e-01   2.443123e-02   2.443095e-02   2.831221e-07
   9.700000e-01   1.806784e-02   1.806775e-02   8.381903e-08
   9.800000e-01   1.187658e-02   1.187657e-02   8.381903e-09
   9.899999e-01   5.855083e-03   5.854837e-03   2.468005e-07
   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.010000e+00  -5.690575e-03  -5.690303e-03  -2.719462e-07
   1.020000e+00  -1.121902e-02  -1.121848e-02  -5.457550e-07
   1.030000e+00  -1.658726e-02  -1.658684e-02  -4.190952e-07
   1.040000e+00  -2.179813e-02  -2.179763e-02  -5.029142e-07
   1.050000e+00  -2.685261e-02  -2.685305e-02   4.414469e-07
   1.060000e+00  -3.175545e-02  -3.175523e-02  -2.197921e-07
   1.070000e+00  -3.650665e-02  -3.650625e-02  -4.060566e-07
   1.080000e+00  -4.110813e-02  -4.110814e-02   3.725290e-09
   1.090000e+00  -4.556274e-02  -4.556293e-02   1.862645e-07
   1.100000e+00  -4.987240e-02  -4.987245e-02   5.215406e-08
   1.110000e+00  -5.403805e-02  -5.403864e-02   5.923212e-07
   1.120000e+00  -5.806351e-02  -5.806334e-02  -1.713634e-07
   1.130000e+00  -6.194782e-02  -6.194833e-02   5.066395e-07
   1.140000e+00  -6.569576e-02  -6.569538e-02  -3.799796e-07
   1.150000e+00  -6.930542e-02  -6.930620e-02   7.823110e-07
   1.160000e+00  -7.278252e-02  -7.278246e-02  -5.960464e-08
   1.170000e+00  -7.612610e-02  -7.612580e-02  -2.980232e-07
   1.180000e+00  -7.933807e-02  -7.933781e-02  -2.682209e-07
   1.190000e+00  -8.242035e-02  -8.242006e-02  -2.905726e-07
   1.200000e+00  -8.537388e-02  -8.537407e-02   1.937151e-07
   1.210000e+00  -8.820152e-02  -8.820134e-02  -1.788139e-07
   1.220000e+00  -9.090424e-02  -9.090337e-02  -8.642673e-07
   1.230000e+00  -9.348106e-02  -9.348151e-02   4.470348e-07
   1.240000e+00  -9.593678e-02  -9.593722e-02   4.470348e-07
   1.250000e+00  -9.827232e-02  -9.827184e-02  -4.842877e-07
   1.260000e+00  -1.004868e-01  -1.004867e-01  -2.980232e-08
   1.270000e+00  -1.025829e-01  -1.025832e-01   2.607703e-07
   1.280000e+00  -1.045628e-01  -1.045625e-01  -2.384186e-07
   1.290000e+00  -1.064262e-01  -1.064260e-01  -2.533197e-07
   1.300000e+00  -1.081753e-01  -1.081748e-01  -4.768372e-07
   1.310000e+00  -1.098099e-01  -1.098102e-01   3.203750e-07
   1.320000e+00  -1.113329e-01  -1.113333e-01   4.544854e-07
   1.330000e+00  -1.127453e-01  -1.127454e-01   1.415610e-07
   1.340000e+00  -1.140480e-01  -1.140476e-01  -4.395843e-07
   1.350000e+00  -1.152420e-01  -1.152409e-01  -1.102686e-06
   1.360000e+00  -1.163263e-01  -1.163265e-01   1.713634e-07
   1.370000e+00  -1.173058e-01  -1.173055e-01  -2.980232e-07
   1.380000e+00  -1.181793e-01  -1.181788e-01  -4.991889e-07
   1.390000e+00  -1.189480e-01  -1.189476e-01  -3.501773e-07
   1.400000e+00  -1.196127e-01  -1.196129e-01   2.160668e-07
   1.410000e+00  -1.201754e-01  -1.201757e-01   2.905726e-07
   1.420000e+00  -1.206369e-01  -1.206368e-01  -1.043081e-07
   1.430000e+00  -1.209984e-01  -1.209974e-01  -9.536743e-07
   1.440000e+00  -1.212578e-01  -1.212584e-01   5.885959e-07
   1.450000e+00  -1.214209e-01  -1.214206e-01  -2.682209e-07
   1.460000e+00  -1.214848e-01  -1.214850e-01   2.458692e-07
   1.470000e+00  -1.214533e-01  -1.214525e-01  -7.897615e-07
   1.480000e+00  -1.213236e-01  -1.213240e-01   3.725290e-07
   1.490000e+00  -1.210995e-01  -1.211003e-01   7.823110e-07
   1.500000e+00  -1.207829e-01  -1.207822e-01  -6.183982e-07
   1.510000e+00  -1.203709e-01  -1.203707e-01  -1.266599e-07
   1.520000e+00  -1.198673e-01  -1.198666e-01  -7.525086e-07
   1.530000e+00  -1.192703e-01  -1.192706e-01   2.384186e-07
   1.540000e+00  -1.185837e-01  -1.185835e-01  -1.862645e-07
   1.550000e+00  -1.178064e-01  -1.178061e-01  -2.905726e-07
   1.560000e+00  -1.169395e-01  -1.169393e-01  -2.458692e-07
   1.570000e+00  -1.159840e-01  -1.159837e-01  -2.682209e-07
   1.580000e+00  -1.149406e-01  -1.149401e-01  -5.513430e-07
   1.590000e+00  -1.138096e-01  -1.138092e-01  -3.725290e-07
   1.600000e+00  -1.125917e-01  -1.125918e-01   2.980232e-08
   1.610000e+00  -1.112881e-01  -1.112885e-01   4.097819e-07
   1.620000e+00  -1.099005e-01  -1.099001e-01  -4.172325e-07
   1.630000e+00  -1.084270e-01  -1.084272e-01   1.266599e-07
   1.640000e+00  -1.068716e-01  -1.068705e-01  -1.095235e-06
   1.650000e+00  -1.052303e-01  -1.052307e-01   4.023314e-07
   1.660000e+00  -1.035080e-01  -1.035085e-01   4.917383e-07
   1.670000e+00  -1.017056e-01  -1.017044e-01  -1.117587e-06
   1.680000e+00  -9.982014e-02  -9.981921e-02  -9.313226e-07
   1.690000e+00  -9.785366e-02  -9.785342e-02  -2.384186e-07
   1.700000e+00  -9.580898e-02  -9.580771e-02  -1.274049e-06
   1.710000e+00  -9.368229e-02  -9.368268e-02   3.874302e-07
   1.720000e+00  -9.147930e-02  -9.147891e-02  -3.874302e-07
   1.730000e+00  -8.919621e-02  -8.919699e-02   7.823110e-07
   1.740000e+00  -8.683777e-02  -8.683755e-02  -2.235174e-07
   1.750000e+00  -8.440113e-02  -8.440112e-02  -7.450581e-09
   1.760000e+00  -8.188915e-02  -8.188829e-02  -8.642673e-07
   1.770000e+00  -7.929993e-02  -7.929960e-02  -3.278255e-07
   1.780000e+00  -7.663631e-02  -7.663561e-02  -7.003546e-07
   1.790000e+00  -7.389736e-02  -7.389686e-02  -4.991889e-07
   1.800000e+00  -7.108498e-02  -7.108389e-02  -1.087785e-06
   1.810000e+00  -6.819725e-02  -6.819721e-02  -3.725290e-08
   1.820000e+00  -6.523705e-02  -6.523737e-02   3.203750e-07
   1.830000e+00  -6.220531e-02  -6.220485e-02  -4.656613e-07
   1.840000e+00  -5.910110e-02  -5.910017e-02  -9.313226e-07
   1.850000e+00  -5.592537e-02  -5.592385e-02  -1.523644e-06
   1.860000e+00  -5.267620e-02  -5.267631e-02   1.043081e-07
   1.870000e+00  -4.935837e-02  -4.935813e-02  -2.384186e-07
   1.880000e+00  -4.596996e-02  -4.596975e-02  -2.123415e-07
   1.890000e+00  -4.251194e-02  -4.251165e-02  -2.905726e-07
   1.900000e+00  -3.898430e-02  -3.898428e-02  -1.490116e-08
   1.910000e+00  -3.538799e-02  -3.538812e-02   1.303852e-07
   1.920000e+00  -3.172398e-02  -3.172362e-02  -3.539026e-07
   1.930000e+00  -2.799129e-02  -2.799123e-02  -6.891787e-08
   1.940000e+00  -2.419090e-02  -2.419138e-02   4.786998e-07
   1.950000e+00  -2.032471e-02  -2.032453e-02  -1.788139e-07
   1.960000e+00  -1.639080e-02  -1.639109e-02   2.942979e-07
   1.970000e+00  -1.239300e-02  -1.239151e-02  -1.486391e-06
   1.980000e+00  -8.325577e-03  -8.326199e-03   6.221235e-07
   1.990000e+00  -4.196167e-03  -4.195525e-03  -6.416813e-07
   2.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   2.010000e+00   4.259109e-03   4.260019e-03  -9.094365e-07
   2.020000e+00   8.583069e-03   8.584130e-03  -1.060776e-06
   2.030000e+00   1.297188e-02   1.297194e-02  -5.774200e-08
   2.040000e+00   1.742268e-02   1.742304e-02  -3.688037e-07
   2.050000e+00   2.193546e-02   2.193707e-02  -1.607463e-06
   2.060000e+00   2.651310e-02   2.651363e-02  -5.289912e-07
   2.070000e+00   3.115273e-02   3.115234e-02   3.837049e-07
   2.080000e+00   3.585243e-02   3.585283e-02  -4.023314e-07
   2.090000e+00   4.061413e-02   4.061474e-02  -6.109476e-07
   2.100000e+00   4.543686e-02   4.543769e-02  -8.344650e-07
   2.110000e+00   5.032158e-02   5.032133e-02   2.495944e-07
   2.120000e+00   5.526447e-02   5.526530e-02  -8.232892e-07
   2.130000e+00   6.026840e-02   6.026924e-02  -8.344650e-07
   2.140000e+00   6.533241e-02   6.533281e-02  -3.948808e-07
   2.150000e+00   7.045555e-02   7.045566e-02  -1.117587e-07
   2.160000e+00   7.563782e-02   7.563745e-02   3.650784e-07
   2.170000e+00   8.087730e-02   8.087786e-02  -5.513430e-07
   2.180000e+00   8.617592e-02   8.617665e-02  -7.301569e-07
   2.190000e+00   9.153175e-02   9.153327e-02  -1.512468e-06
   2.200000e+00   9.694767e-02   9.694749e-02   1.788139e-07
   2.210000e+00   1.024189e-01   1.024190e-01  -1.192093e-07
   2.220000e+00   1.079464e-01   1.079475e-01  -1.117587e-06
   2.230000e+00   1.135330e-01   1.135327e-01   3.501773e-07
   2.240000e+00   1.191740e-01   1.191742e-01  -1.713634e-07
   2.250000e+00   1.248713e-01   1.248717e-01  -4.619360e-07
   2.260000e+00   1.306248e-01   1.306250e-01  -2.235174e-07
   2.270000e+00   1.364326e-01   1.364337e-01  -1.043081e-06
   2.280000e+00   1.422977e-01   1.422975e-01   2.086163e-07
   2.290000e+00   1.482162e-01   1.482162e-01   4.470348e-08
   2.300000e+00   1.541891e-01   1.541894e-01  -3.129244e-07
   2.310000e+00   1.602173e-01   1.602169e-01   3.874302e-07
   2.320000e+00   1.662979e-01   1.662983e-01  -4.172325e-07
   2.330000e+00   1.724329e-01   1.724335e-01  -5.662441e-07
   2.340000e+00   1.786213e-01   1.786220e-01  -7.003546e-07
   2.350000e+00   1.848631e-01   1.848636e-01  -5.364418e-07
   2.360000e+00   1.911573e-01   1.911581e-01  -7.897615e-07
   2.370000e+00   1.975050e-01   1.975052e-01  -2.086163e-07
   2.380000e+00   2.039042e-01   2.039046e-01  -4.470348e-07
   2.390000e+00   2.103558e-01   2.103560e-01  -2.682209e-07
   2.400000e+00   2.168589e-01   2.168592e-01  -3.576279e-07
   2.410000e+00   2.234135e-01   2.234139e-01  -4.768372e-07
   2.420000e+00   2.300196e-01   2.300199e-01  -3.576279e-07
   2.430000e+00   2.366753e-01   2.366769e-01  -1.639128e-06
   2.440000e+00   2.433834e-01   2.433848e-01  -1.370907e-06
   2.450000e+00   2.501440e-01   2.501430e-01   1.013279e-06
   2.460000e+00   2.569513e-01   2.569515e-01  -1.192093e-07
   2.470000e+00   2.638092e-01   2.638099e-01  -7.152557e-07
   2.480000e+00   2.707176e-01   2.707182e-01  -5.364418e-07
   2.490000e+00   2.776756e-01   2.776759e-01  -2.384186e-07
   2.500000e+00   2.846823e-01   2.846829e-01  -5.960464e-07
   2.510000e+00   2.917385e-01   2.917389e-01  -3.874302e-07
   2.520000e+00   2.988434e-01   2.988437e-01  -3.576279e-07
   2.530000e+00   3.059969e-01   3.059972e-01  -2.682209e-07
   2.540000e+00   3.131990e-01   3.131989e-01   1.490116e-07
   2.550000e+00   3.204479e-01   3.204488e-01  -8.344650e-07
   2.560000e+00   3.277464e-01   3.277465e-01  -8.940697e-08
   2.570000e+00   3.350906e-01   3.350919e-01  -1.251698e-06
   2.580000e+00   3.424845e-01   3.424847e-01  -2.384186e-07
   2.590000e+00   3.499241e-01   3.499247e-01  -6.556511e-07
   2.600000e+00   3.574104e-01   3.574118e-01  -1.370907e-06
   2.610000e+00   3.649454e-01   3.649456e-01  -2.086163e-07
   2.620000e+00   3.725262e-01   3.725260e-01   1.788139e-07
   2.630000e+00   3.801517e-01   3.801527e-01  -9.834766e-07
   2.640000e+00   3.878269e-01   3.878256e-01   1.281500e-06
   2.650000e+00   3.955441e-01   3.955444e-01  -3.874302e-07
   2.660000e+00   4.033089e-01   4.033090e-01  -1.192093e-07
   2.670000e+00   4.111185e-01   4.111190e-01  -5.364418e-07
   2.680000e+00   4.189739e-01   4.189745e-01  -5.364418e-07
   2.690000e+00   4.268742e-01   4.268751e-01  -9.834766e-07
   2.700000e+00   4.348211e-01   4.348206e-01   5.364418e-07
   2.710000e+00   4.428101e-01   4.428107e-01  -6.556511e-07
   2.720000e+00   4.508448e-01   4.508454e-01  -6.556511e-07
   2.730000e+00   4.589252e-01   4.589244e-01   8.344650e-07
   2.740000e+00   4.670486e-01   4.670476e-01   1.072884e-06
   2.750000e+00   4.752140e-01   4.752147e-01  -6.556511e-07
   2.760000e+00   4.834251e-01   4.834255e-01  -3.576279e-07
   2.770000e+00   4.916792e-01   4.916799e-01  -7.450581e-07
   2.780000e+00   4.999781e-01   4.999777e-01   3.576279e-07
   2.790000e+00   5.083189e-01   5.083187e-01   1.788139e-07
   2.800000e+00   5.167017e-01   5.167028e-01  -1.072884e-06
   2.810000e+00   5.251293e-01   5.251296e-01  -2.980232e-07
   2.820000e+00   5.335999e-01   5.335991e-01   7.748604e-07
   2.830000e+00   5.421104e-01   5.421110e-01  -5.960464e-07
   2.840000e+00   5.506649e-01   5.506654e-01  -4.768372e-07
   2.850000e+00   5.592613e-01   5.592617e-01  -4.172325e-07
   2.860000e+00   5.679007e-01   5.679001e-01   5.364418e-07
   2.870000e+00   5.765791e-01   5.765802e-01  -1.072884e-06
   2.880000e+00   5.853014e-01   5.853019e-01  -5.364418e-07
   2.890000e+00   5.940657e-01   5.940651e-01   5.960464e-07
   2.900000e+00   6.028700e-01   6.028695e-01   5.364418e-07
   2.910000e+00   6.117153e-01   6.117150e-01   2.980232e-07
   2.920000e+00   6.205997e-01   6.206014e-01  -1.668930e-06
   2.930000e+00   6.295280e-01   6.295286e-01  -5.960464e-07
   2.940000e+00   6.384974e-01   6.384965e-01   8.940697e-07
   2.950000e+00   6.475058e-01   6.475049e-01   8.344650e-07
   2.960000e+00   6.565523e-01   6.565534e-01  -1.132488e-06
   2.970000e+00   6.656418e-01   6.656421e-01  -2.980232e-07
   2.980000e+00   6.747713e-01   6.747707e-01   5.960464e-07
   2.990000e+00   6.839399e-01   6.839391e-01   8.344650e-07
   3.000000e+00   6.931477e-01   6.931472e-01   4.768372e-07
   3.010000e+00   7.023945e-01   7.023947e-01  -2.384186e-07
   3.020000e+00   7.116814e-01   7.116817e-01  -2.980232e-07
   3.030000e+00   7.210073e-01   7.210077e-01  -3.576279e-07
   3.040000e+00   7.303734e-01   7.303728e-01   5.364418e-07
   3.050000e+00   7.397776e-01   7.397768e-01   7.152557e-07
   3.060000e+00   7.492199e-01   7.492196e-01   2.980232e-07
   3.070000e+00   7.587013e-01   7.587010e-01   3.576279e-07
   3.080000e+00   7.682209e-01   7.682207e-01   1.788139e-07
   3.090000e+00   7.777786e-01   7.777787e-01  -1.192093e-07
   3.100000e+00   7.873745e-01   7.873750e-01  -4.768372e-07
   3.110000e+00   7.970085e-01   7.970092e-01  -7.152557e-07
   3.120000e+00   8.066816e-01   8.066813e-01   2.980232e-07
   3.130000e+00   8.163919e-01   8.163912e-01   7.748604e-07
   3.140000e+00   8.261385e-01   8.261386e-01  -1.192093e-07
   3.150000e+00   8.359222e-01   8.359234e-01  -1.192093e-06
   3.160000e+00   8.457460e-01   8.457456e-01   4.172325e-07
   3.170000e+00   8.556061e-01   8.556049e-01   1.132488e-06
   3.180000e+00   8.655014e-01   8.655013e-01   1.192093e-07
   3.190000e+00   8.754339e-01   8.754346e-01  -6.556511e-07
   3.200000e+00   8.854055e-01   8.854046e-01   8.940697e-07
   3.210000e+00   8.954115e-01   8.954116e-01  -5.960464e-08
   3.220000e+00   9.054556e-01   9.054548e-01   8.344650e-07
   3.230000e+00   9.155340e-01   9.155343e-01  -2.384186e-07
   3.240000e+00   9.256487e-01   9.256501e-01  -1.370907e-06
   3.250000e+00   9.358006e-01   9.358019e-01  -1.370907e-06
   3.260000e+00   9.459896e-01   9.459898e-01  -2.384186e-07
   3.270000e+00   9.562120e-01   9.562135e-01  -1.430511e-06
   3.280000e+00   9.664717e-01   9.664730e-01  -1.311302e-06
   3.290000e+00   9.767675e-01   9.767680e-01  -4.172325e-07
   3.300000e+00   9.870977e-01   9.870985e-01  -7.748604e-07
   3.310000e+00   9.974651e-01   9.974644e-01   7.152557e-07
   3.320000e+00   1.007866e+00   1.007865e+00   4.768372e-07
   3.330000e+00   1.018301e+00   1.018302e+00  -7.152557e-07
   3.340000e+00   1.028772e+00   1.028773e+00  -4.768372e-07
   3.350000e+00   1.039278e+00   1.039279e+00  -9.536743e-07
   3.360000e+00   1.049819e+00   1.049820e+00  -7.152557e-07
   3.370000e+00   1.060395e+00   1.060395e+00   1.192093e-07
   3.380000e+00   1.071006e+00   1.071005e+00   8.344650e-07
   3.390000e+00   1.081650e+00   1.081649e+00   4.768372e-07
   3.400000e+00   1.092327e+00   1.092328e+00  -7.152557e-07
   3.410000e+00   1.103041e+00   1.103041e+00   0.000000e+00
   3.420000e+00   1.113789e+00   1.113787e+00   1.192093e-06
   3.430000e+00   1.124567e+00   1.124568e+00  -1.072884e-06
   3.440000e+00   1.135383e+00   1.135383e+00   1.192093e-07
   3.450000e+00   1.146230e+00   1.146231e+00  -1.072884e-06
   3.460000e+00   1.157113e+00   1.157113e+00   2.384186e-07
   3.470000e+00   1.168029e+00   1.168028e+00   7.152557e-07
   3.480000e+00   1.178978e+00   1.178977e+00   1.192093e-06
   3.490000e+00   1.189958e+00   1.189959e+00  -9.536743e-07
   3.500000e+00   1.200974e+00   1.200974e+00  -1.192093e-07
   3.510000e+00   1.212021e+00   1.212022e+00  -7.152557e-07
   3.520000e+00   1.223103e+00   1.223103e+00   0.000000e+00
   3.530000e+00   1.234216e+00   1.234216e+00  -7.152557e-07
   3.540000e+00   1.245362e+00   1.245363e+00  -7.152557e-07
   3.550000e+00   1.256541e+00   1.256542e+00  -8.344650e-07
   3.560000e+00   1.267755e+00   1.267754e+00   8.344650e-07
   3.570000e+00   1.278997e+00   1.278998e+00  -2.384186e-07
   3.580000e+00   1.290274e+00   1.290274e+00  -4.768372e-07
   3.590000e+00   1.301582e+00   1.301583e+00  -2.384186e-07
   3.600000e+00   1.312923e+00   1.312923e+00   2.384186e-07
   3.610000e+00   1.324295e+00   1.324296e+00  -7.152557e-07
   3.620000e+00   1.335700e+00   1.335700e+00  -2.384186e-07
   3.630000e+00   1.347136e+00   1.347136e+00   0.000000e+00
   3.640000e+00   1.358605e+00   1.358604e+00   9.536743e-07
   3.650000e+00   1.370104e+00   1.370104e+00  -1.192093e-07
   3.660000e+00   1.381635e+00   1.381635e+00  -3.576279e-07
   3.670000e+00   1.393198e+00   1.393198e+00   4.768372e-07
   3.680000e+00   1.404791e+00   1.404791e+00  -2.384186e-07
   3.690000e+00   1.416417e+00   1.416416e+00   1.072884e-06
   3.700000e+00   1.428072e+00   1.428072e+00  -1.192093e-07
   3.710000e+00   1.439759e+00   1.439759e+00   1.192093e-07
   3.720000e+00   1.451476e+00   1.451477e+00  -1.192093e-06
   3.730000e+00   1.463226e+00   1.463226e+00   3.576279e-07
   3.740000e+00   1.475004e+00   1.475006e+00  -1.311302e-06
   3.750000e+00   1.486816e+00   1.486816e+00   7.152557e-07
   3.760000e+00   1.498657e+00   1.498656e+00   1.072884e-06
   3.770000e+00   1.510528e+00   1.510527e+00   3.576279e-07
   3.780000e+00   1.522428e+00   1.522429e+00  -1.072884e-06
   3.790000e+00   1.534360e+00   1.534360e+00  -4.768372e-07
   3.800000e+00   1.546322e+00   1.546322e+00  -3.576279e-07
   3.810000e+00   1.558313e+00   1.558314e+00  -7.152557e-07
   3.820000e+00   1.570335e+00   1.570336e+00  -4.768372e-07
   3.830000e+00   1.582387e+00   1.582388e+00  -7.152557e-07
   3.840000e+00   1.594469e+00   1.594469e+00  -3.576279e-07
   3.850000e+00   1.606581e+00   1.606581e+00   0.000000e+00
   3.860000e+00   1.618720e+00   1.618722e+00  -1.668930e-06
   3.870000e+00   1.630893e+00   1.630892e+00   5.960464e-07
   3.880000e+00   1.643092e+00   1.643092e+00   0.000000e+00
   3.890000e+00   1.655321e+00   1.655321e+00  -3.576279e-07
   3.900000e+00   1.667581e+00   1.667580e+00   4.768372e-07
   3.910000e+00   1.679869e+00   1.679868e+00   7.152557e-07
   3.920000e+00   1.692184e+00   1.692185e+00  -4.768372e-07
   3.930000e+00   1.704531e+00   1.704531e+00  -3.576279e-07
   3.940000e+00   1.716907e+00   1.716906e+00   4.768372e-07
   3.950000e+00   1.729309e+00   1.729310e+00  -7.152557e-07
   3.960000e+00   1.741743e+00   1.741742e+00   5.960464e-07
