x	kerv(x)	keiv(x)
-2.3	2.06302437	2.425744968
-2.2	2.051113192	2.19768977
-2.1	2.025888629	1.990464623
-2	1.989604614	1.804285948
-1.9	1.94440718	1.63937825
-1.8	1.892352308	1.496027839
-1.7	1.835430331	1.374649345
-1.6	1.775599488	1.275871787
-1.5	1.714832772	1.20065482
-1.4	1.655184936	1.150452301
-1.3	1.598891146	1.127451697
-1.2	1.548517206	1.13493839
-1.1	1.507197116	1.177872541
-1	1.479024984	1.263842278
-0.9	1.469733412	1.404715333
-0.8	1.487935151	1.619662712
-0.7	1.547552142	1.941071066
-0.6	1.672973621	2.42708524
-0.5	1.911220537	3.191149761
-0.4	2.364962318	4.482080097
-0.3	3.302099803	6.949463234
-0.2	5.656791587	12.85562393
-0.1	15.36246852	36.5460604
0	-\u221e	\u221e
0.1	-36.53592466	15.33806772
0.2	-12.82674875	5.58786189
0.3	-6.895783156	3.175733504
0.4	-4.398072299	2.170987096
0.5	-3.071304098	1.641185237
0.6	-2.265633949	1.31972333
0.7	-1.731817953	1.105017859
0.8	-1.355862863	0.9510259933
0.9	-1.078985509	0.8342868307
1	-0.8680925903	0.7417941744
1.1	-0.7032545603	0.66586475
1.2	-0.5718070799	0.6017293267
1.3	-0.465339804	0.546307517
1.4	-0.378056584	0.497543443
1.5	-0.305833977	0.4540262476
1.6	-0.245656268	0.4147637524
1.7	-0.195263494	0.379042483
1.8	-0.152924988	0.3463384225
1.9	-0.117289535	0.3162586157
2	-0.0872837537	0.2885021082
2.1	-0.0620416524	0.2628333318
2.2	-0.0408548236	0.2390636826
2.3	-0.0231365989	0.2170386056
2.4	-0.0083958218	0.1966284451
2.5	0.0037826349	0.1777219089
2.6	0.0137525508	0.1602213732
2.7	0.0218175707	0.1440394965
2.8	0.0282398809	0.1290967736
2.9	0.0332470057	0.1153197709
3	0.0370371965	0.1026398561
3.1	0.0397837559	0.0909922894
3.2	0.0416385456	0.0803155794
3.3	0.0427348657	0.0705510312
3.4	0.04318984231	0.0616424356
3.5	0.04310642908	0.0535358589
3.6	0.04257510053	0.0461795055
3.7	0.0416752993	0.0395236307
3.8	0.04047668323	0.0335204886
3.9	0.03904020889	0.0281243012
4	0.03741907988	0.0232912428
4.1	0.03565958241	0.0189794302
4.2	0.03380182577	0.0151489162
4.3	0.0318804019	0.0117616813
4.4	0.02992497551	0.0087816236
4.5	0.02796081393	0.0061745425
4.6	0.02600926439	0.0039081186
4.7	0.02408818472	0.0019518861
4.8	0.02221233302	2.7720065E-4
4.9	0.02039372038	-0.00114279978
5	0.0186419305	-0.00233323851
5.1	0.01696440939	-0.00331754931
5.2	0.01536672788	-0.00411752982
5.3	0.01385281937	-0.00475339877
5.4	0.01242519495	-0.00524385643
5.5	0.01108513785	-0.00560614766
5.6	0.00983287875	-0.00585612694
5.7	0.00866775382	-0.00600832479
5.8	0.00758834651	-0.00607601511
5.9	0.00659261473	-0.00607128277
6	0.00567800439	-0.006005091178
6.1	0.00484155054	-0.005887349268
6.2	0.00407996701	-0.005726977538
6.3	0.00338972561	-0.005531972865
6.4	0.00276712576	-0.005309471747
6.5	0.00220835526	-0.005065811743
6.6	0.00170954319	-0.00480659089
6.7	0.00126680543	-0.00453672492
6.8	8.7628364E-4	-0.00426050214
6.9	5.3417827E-4	-0.0039816359
7	2.3677611E-4	-0.003703314463
7.1	-1.952691E-5	-0.0034282484
7.2	-2.3820734E-4	-0.00315871531
7.3	-4.2259963E-4	-0.00289660195
7.4	-5.7588508E-4	-0.00264344381
7.5	-7.0108378E-4	-0.002400462097
7.6	-8.01049186E-4	-0.00216859823
7.7	-8.78465129E-4	-0.00194854586
7.8	-9.35844764E-4	-0.001740780588
7.9	-9.75531306E-4	-0.00154558726
8	-9.99700238E-4	-0.00136308517
8.1	-0.001010362777	-0.001193251102
8.2	-0.001009370376	-0.001035940366
8.3	-9.98420076E-4	-8.90905886E-4
8.4	-9.7906054E-4	-7.57815519E-4
8.5	-9.52698613E-4	-6.36267647E-4
8.6	-9.20606274E-4	-5.25805163E-4
8.7	-8.839278546E-4	-4.25927957E-4
8.8	-8.4368743E-4	-3.36104005E-4
8.9	-8.00796282E-4	-2.55779154E-4
9	-7.56060353E-4	-1.84385705E-4
9.1	-7.10187633E-4	-1.21349885E-4
9.2	-6.63795412E-4	-6.6098297E-5
9.3	-6.17417351E-4	-1.8063443E-5
9.4	-5.71510341E-4	2.3311614E-5
9.5	-5.26461095E-4	5.8569352E-5
9.6	-4.8259248E-4	8.8234592E-5
9.7	-4.40169542E-4	1.12811936E-4
9.8	-3.99405217E-4	1.32783752E-4
9.9	-3.60465732E-4	1.48608676E-4
10	-3.23475674E-4	1.60720547E-4
10.1	-2.88522734E-4	1.69527733E-4
10.2	-2.55662126E-4	1.75412805E-4
10.3	-2.24920687E-4	1.78732494E-4
10.4	-1.96300668E-4	1.798179126E-4
10.5	-1.69783212E-4	1.789749861E-4
10.6	-1.45331546E-4	1.764850655E-4
10.7	-1.2289389E-4	1.726056889E-4
10.8	-1.0240609E-4	1.675714648E-4
10.9	-8.3794005E-5	1.615950489E-4
11	-6.697564E-5	1.548681948E-4
11.1	-5.1863064E-5	1.475628552E-4
11.2	-3.83641011E-5	1.398323188E-4
11.3	-2.6383829E-5	1.318123648E-4
11.4	-1.58258897E-5	1.236224225E-4
11.5	-6.5936318E-6	1.153667244E-4
11.6	1.4089132E-6	1.071354423E-4
11.7	8.276193E-6	9.90057981E-5
11.8	1.41004325E-5	9.10431425E-5
11.9	1.89710517E-5	8.33019955E-5
12	2.29741935E-5	7.58270444E-5
12.1	2.61923486E-5	6.86540959E-5
12.2	2.87040699E-5	6.18109792E-5
12.3	3.0583764E-5	5.53183989E-5
12.4	3.19015525E-5	4.91907367E-5
12.5	3.27231944E-5	4.34368006E-5
12.6	3.311006107E-5	3.80605225E-5
12.7	3.311915695E-5	3.30616053E-5
12.8	3.280318003E-5	2.84361193E-5
12.9	3.221061488E-5	2.41770497E-5
13	3.138585332E-5	2.02747974E-5
13.1	3.036933775E-5	1.67176342E-5
13.2	2.919772233E-5	1.34921144E-5
13.3	2.790404815E-5	1.05834461E-5
13.4	2.651792863E-5	7.9758225E-6
13.5	2.50657421E-5	5.6527171E-6
13.6	2.35708285E-5	3.59714425E-6
13.7	2.20536878E-5	1.79188801E-6
13.8	2.05321785E-5	2.1970089E-7
13.9	1.902171274E-5	-1.13652473E-6
14	1.75354494E-5	-2.2936105E-6
14.1	1.60844801E-5	-3.2679693E-6
14.2	1.46780109E-5	-4.0755032E-6
14.3	1.33235353E-5	-4.7315209E-6
14.4	1.20270007E-5	-5.2506724E-6
14.5	1.07929658E-5	-5.64689863E-6
14.6	9.6247502E-6	-5.93339586E-6
14.7	8.52457442E-6	-6.12259126E-6
14.8	7.4936912E-6	-6.22612989E-6
14.9	6.53250813E-6	-6.25487084E-6
15	5.64070102E-6	-6.21889148E-6
15.1	4.81731868E-6	-6.12749864E-6
15.2	4.060879191E-6	-5.98924572E-6
15.3	3.3694579E-6	-5.8119546E-6
15.4	2.7407673E-6	-5.6027416E-6
15.5	2.1722296E-6	-5.36804659E-6
15.6	1.6610418E-6	-5.11366461E-6
15.7	1.20423406E-6	-4.84477929E-6
15.8	7.9872123E-7	-4.56599751E-6
15.9	4.4134881E-7	-4.28138483E-6
16	1.2893293E-7	-3.99450118E-6
16.1	-1.4170486E-7	-3.7084365E-6
16.2	-3.7370772E-7	-3.42584597E-6
16.3	-5.7015801E-7	-3.14898451E-6
16.4	-7.3405606E-7	-2.8797404E-6
16.5	-8.6830251E-7	-2.61966771E-6
16.6	-9.7568414E-7	-2.37001753E-6
16.7	-1.05886275E-6	-2.131767753E-6
16.8	-1.12036675E-6	-1.905651359E-6
16.9	-1.1625852E-6	-1.69218318E-6
17	-1.18776405E-6	-1.49168504E-6
17.1	-1.198004212E-6	-1.30430927E-6
17.2	-1.19526136E-6	-1.13006064E-6
17.3	-1.1813471E-6	-9.6881663E-7
17.4	-1.15793139E-6	-8.2034619E-7
17.5	-1.126545981E-6	-6.8432689E-7
17.6	-1.08858871E-6	-5.6036063E-7
17.7	-1.045328492E-6	-4.4798788E-7
17.8	-9.97910854E-7	-3.4670059E-7
17.9	-9.47363902E-7	-2.5595372E-7
18	-8.94604582E-7	-1.7517559E-7
18.1	-8.40445158E-7	-1.03777065E-7
18.2	-7.85599795E-7	-4.1159589E-8
18.3	-7.30691178E-7	1.3277742E-8
18.4	-6.762571024E-7	6.0132083E-8
18.5	-6.2275697E-7	9.999162E-8
18.6	-5.7057815E-7	1.3343113E-7
18.7	-5.2004213E-7	1.61008325E-7
18.8	-4.714105E-7	1.83260813E-7
18.9	-4.2489066E-7	2.00703699E-7
19	-3.8064124E-7	2.13827729E-7
19.1	-3.38777295E-7	2.2309791E-7
19.2	-2.99375171E-7	2.28952583E-7
19.3	-2.62477083E-7	2.31802865E-7
19.4	-2.28095386E-7	2.32032435E-7
19.5	-1.96216555E-7	2.299976156E-7
19.6	-1.66804862E-7	2.260276975E-7
19.7	-1.3980576E-7	2.204254855E-7
19.8	-1.15148989E-7	2.134680206E-7
19.9	-9.2751398E-8	2.054074506E-7
20	-7.2519514E-8	1.964720197E-7
