x	Hv(x)
-10	-2.18168872
-9.8	-2.0905485
-9.6	-2.0005988
-9.4	-1.913730694
-9.2	-1.83175334
-9	-1.75632608
-8.8	-1.6888946
-8.6	-1.63063486
-8.4	-1.58240596
-8.2	-1.54471492
-8	-1.51769363
-7.8	-1.50108969
-7.6	-1.494271274
-7.4	-1.496245938
-7.2	-1.50569292
-7	-1.521007669
-6.8	-1.54035712
-6.6	-1.561743706
-6.4	-1.583075799
-6.2	-1.602242012
-6	-1.617186635
-5.8	-1.625983437
-5.6	-1.626905091
-5.4	-1.618485652
-5.2	-1.599573758
-5	-1.569374548
-4.8	-1.527478725
-4.6	-1.473877643
-4.4	-1.408963824
-4.2	-1.333516853
-4	-1.24867512
-3.8	-1.15589444
-3.6	-1.056895033
-3.4	-0.953598817
-3.2	-0.848059303
-3	-0.74238667
-2.8	-0.638670797
-2.6	-0.538905079
-2.4	-0.444913855
-2.2	-0.3582861293
-2	-0.2803180604
-1.8	-0.2119663265
-1.6	-0.1538141237
-1.4	-0.1060510484
-1.2	-0.0684676184
-1	-0.04046463614
-0.8	-0.02107704941
-0.6	-0.00901142196
-0.4	-0.002695622597
-0.2	-3.38884395E-4
0	0
0.2	3.38884395E-4
0.4	0.002695622597
0.6	0.00901142196
0.8	0.02107704941
1	0.04046463614
1.2	0.0684676184
1.4	0.1060510484
1.6	0.1538141237
1.8	0.2119663265
2	0.2803180604
2.2	0.3582861293
2.4	0.444913855
2.6	0.538905079
2.8	0.638670797
3	0.74238667
3.2	0.848059303
3.4	0.953598817
3.6	1.056895033
3.8	1.15589444
4	1.24867512
4.2	1.333516853
4.4	1.408963824
4.6	1.473877643
4.8	1.527478725
5	1.569374548
5.2	1.599573758
5.4	1.618485652
5.6	1.626905091
5.8	1.625983437
6	1.617186635
6.2	1.602242012
6.4	1.583075799
6.6	1.561743706
6.8	1.54035712
7	1.521007669
7.2	1.50569292
7.4	1.496245938
7.6	1.494271274
7.8	1.50108969
8	1.51769363
8.2	1.54471492
8.4	1.58240596
8.6	1.63063486
8.8	1.6888946
9	1.75632608
9.2	1.83175334
9.4	1.913730694
9.6	2.0005988
9.8	2.0905485
10	2.18168872
