x	kerv(x)	keiv(x)
-20	-150,455.931	358,188.5026
-19.9	-116,546.934	343,666.0179
-19.8	-85,912.2	327,901.2671
-19.7	-58,409.509	311,194.752
-19.6	-33,886.617	293,817.042
-19.5	-12,183.921	276,010.172
-19.4	6,863.175	257,989.109
-19.3	23,422.129	239,943.286
-19.2	37,661.394	222,038.158
-19.1	49,748.77	204,416.783
-19	59,849.985	187,201.398
-18.9	68,127.461	170,494.983
-18.8	74,739.28	154,382.795
-18.7	79,838.319	138,933.868
-18.6	83,571.535	124,202.466
-18.5	86,079.408	110,229.481
-18.4	87,495.4984	97,043.7777
-18.3	87,946.1376	84,663.4667
-18.2	87,550.2124	73,097.1181
-18.1	86,419.0494	62,344.9021
-18	84,656.38031	52,399.66
-17.9	82,358.3808	43,247.905
-17.8	79,613.7714	34,870.75
-17.7	76,503.9728	27,244.767
-17.6	73,103.3072	20,342.777
-17.5	69,479.2371	14,134.573
-17.4	65,692.6354	8,587.574
-17.3	61,798.0802	3,667.426
-17.2	57,844.1681	-661.471
-17.1	53,873.8418	-4,435.4789
-17	49,924.726	-7,691.3025
-16.9	46,029.467	-10,465.6151
-16.8	42,216.07712	-12,794.7347
-16.7	38,508.2727	-14,714.3435
-16.6	34,925.8092	-16,259.2502
-16.5	31,484.8096	-17,463.189
-16.4	28,198.0821	-18,358.65514
-16.3	25,075.4281	-18,976.77148
-16.2	22,123.9371	-19,347.18519
-16.1	19,348.2686	-19,497.99032
-16	16,750.9198	-19,455.67439
-15.9	14,332.4781	-19,245.08602
-15.8	12,091.8592	-18,889.42146
-15.7	10,026.5291	-18,410.2275
-15.6	8,132.7115	-17,827.4189
-15.5	6,405.5789	-17,159.3079
-15.4	4,839.43	-16,422.6448
-15.3	3,427.851	-15,632.6668
-15.2	2,163.8637	-14,803.15428
-15.1	1,040.05942	-13,946.49313
-15	48.71968	-13,073.74143
-14.9	-818.07568	-12,194.69947
-14.8	-1,568.35226	-11,317.9821
-14.7	-2,210.15626	-10,451.09265
-14.6	-2,751.48021	-9,600.4968
-14.5	-3,200.19859	-8,771.6971
-14.4	-3,564.01275	-7,969.3059
-14.3	-3,850.40436	-7,197.1173
-14.2	-4,066.59666	-6,458.1773
-14.1	-4,219.52307	-5,754.85134
-14	-4,315.80224	-5,088.8895
-13.9	-4,361.71914	-4,461.48932
-13.8	-4,363.2115	-3,873.35462
-13.7	-4,325.86106	-3,324.75222
-13.6	-4,254.88912	-2,815.56468
-13.5	-4,155.15581	-2,345.34008
-13.4	-4,031.16268	-1,913.33832
-13.3	-3,887.0582	-1,518.57415
-13.2	-3,726.6456	-1,159.85696
-13.1	-3,553.39286	-835.82726
-13	-3,370.44439	-544.9901
-12.9	-3,180.63403	-285.74541
-12.8	-2,986.4993	-56.41547
-12.7	-2,790.29632	144.73044
-12.6	-2,594.01541	319.45403
-12.5	-2,399.39709	469.528547
-12.4	-2,207.94819	596.721593
-12.3	-2,020.95806	702.78026
-12.2	-1,839.51463	789.418275
-12.1	-1,664.52018	858.30508
-12	-1,496.70681	911.056703
-11.9	-1,336.65146	949.228206
-11.8	-1,184.79034	974.307694
-11.7	-1,041.43283	987.711618
-11.6	-906.77474	990.781331
-11.5	-780.91088	984.780733
-11.4	-663.846947	970.8949009
-11.3	-555.510677	950.22958
-11.2	-455.762294	923.8114487
-11.1	-364.404229	892.589034
-11	-281.190123	857.434213
-10.9	-205.83312	819.144185
-10.8	-138.013471	778.443867
-10.7	-77.385472	735.988611
-10.6	-23.583753	692.367194
-10.5	23.771056	648.105018
-10.4	65.06724	603.667462
-10.3	100.697491	559.463338
-10.2	131.054914	515.848405
-10.1	156.529542	473.128916
-10	177.505315	431.56514
