x	Hv(x)
-10	-1.2790509
-9.8	-1.06912571
-9.6	-0.88946392
-9.4	-0.7363413
-9.2	-0.60641352
-9	-0.496683474
-8.8	-0.404471606
-8.6	-0.327388838
-8.4	-0.26331174
-8.2	-0.21035966
-8	-0.166873539
-7.8	-0.131396193
-7.6	-0.102653908
-7.4	-0.079539175
-7.2	-0.0610944991
-7	-0.0464971755
-6.8	-0.0350450091
-6.6	-0.0261429298
-6.4	-0.0192904962
-6.2	-0.0140702786
-6	-0.0101371188
-5.8	-0.0072082669
-5.6	-0.00505439005
-5.4	-0.00349144552
-5.2	-0.00237340162
-5	-0.00158578344
-4.8	-0.00104001107
-4.6	-6.6849012E-4
-4.4	-4.2040716E-4
-4.2	-2.58175965E-4
-4	-1.54476308E-4
-3.8	-8.9823506E-5
-3.6	-5.06059546E-5
-3.4	-2.75281207E-5
-3.2	-1.43985626E-5
-3	-7.2058763E-6
-2.8	-3.4300006E-6
-2.6	-1.54163505E-6
-2.4	-6.4838125E-7
-2.2	-2.52289302E-7
-2	-8.9501438E-8
-1.8	-2.83958169E-8
-1.6	-7.8494192E-9
-1.4	-1.82259219E-9
-1.2	-3.36929684E-10
-1	-4.56362388E-11
-0.8	-3.94060377E-12
-0.6	-1.67108171E-13
-0.4	-1.93754665E-15
-0.2	-9.4771422E-19
0	0
0.2	9.4771422E-19
0.4	1.93754665E-15
0.6	1.67108171E-13
0.8	3.94060377E-12
1	4.56362388E-11
1.2	3.36929684E-10
1.4	1.82259219E-9
1.6	7.8494192E-9
1.8	2.83958169E-8
2	8.9501438E-8
2.2	2.52289302E-7
2.4	6.4838125E-7
2.6	1.54163505E-6
2.8	3.4300006E-6
3	7.2058763E-6
3.2	1.43985626E-5
3.4	2.75281207E-5
3.6	5.06059546E-5
3.8	8.9823506E-5
4	1.54476308E-4
4.2	2.58175965E-4
4.4	4.2040716E-4
4.6	6.6849012E-4
4.8	0.00104001107
5	0.00158578344
5.2	0.00237340162
5.4	0.00349144552
5.6	0.00505439005
5.8	0.0072082669
6	0.0101371188
6.2	0.0140702786
6.4	0.0192904962
6.6	0.0261429298
6.8	0.0350450091
7	0.0464971755
7.2	0.0610944991
7.4	0.079539175
7.6	0.102653908
7.8	0.131396193
8	0.166873539
8.2	0.21035966
8.4	0.26331174
8.6	0.327388838
8.8	0.404471606
9	0.496683474
9.2	0.60641352
9.4	0.7363413
9.6	0.88946392
9.8	1.06912571
10	1.2790509
