x	berv(x)	beiv(x)
-20	50,229.423	-108,290.6805
-19.9	39,666.8731	-104,187.0495
-19.8	30,097.545	-99,670.1365
-19.7	21,480.4799	-94,833.5139
-19.6	13,771.3893	-89,761.6428
-19.5	6,923.4813	-84,530.2812
-19.4	888.2035	-79,206.9173
-19.3	-4,384.094	-73,851.223
-19.2	-8,943.57	-68,515.5163
-19.1	-12,840.3763	-63,245.237
-19	-16,124.2052	-58,079.417
-18.9	-18,843.9025	-53,051.149
-18.8	-21,047.1356	-48,188.055
-18.7	-22,780.1154	-43,512.731
-18.6	-24,087.3674	-39,043.197
-18.5	-25,011.5468	-34,793.313
-18.4	-25,593.29462	-30,773.1939
-18.3	-25,871.12994	-26,989.5933
-18.2	-25,881.37545	-23,446.2765
-18.1	-25,658.1122	-20,144.3681
-18	-25,233.16015	-17,082.6806
-17.9	-24,636.08195	-14,258.0206
-17.8	-23,894.2061	-11,665.4751
-17.7	-23,032.66743	-9,298.6751
-17.6	-22,074.46229	-7,150.0396
-17.5	-21,040.51552	-5,210.9986
-17.4	-19,949.7578	-3,472.1968
-17.3	-18,819.2106	-1,923.6781
-17.2	-17,664.0782	-555.0517
-17.1	-16,497.8431	644.3592
-17	-15,332.3655	1,685.3845
-16.9	-14,177.9847	2,578.891
-16.8	-13,043.62038	3,335.6796
-16.7	-11,936.8743	3,966.3978
-16.6	-10,864.1308	4,481.4628
-16.5	-9,830.655	4,890.9984
-16.4	-8,840.6887	5,204.7812
-16.3	-7,897.5432	5,432.1977
-16.2	-7,003.6883	5,582.21007
-16.1	-6,160.8383	5,663.32978
-16	-5,370.0324	5,683.59932
-15.9	-4,631.7119	5,650.57993
-15.8	-3,945.7931	5,571.34541
-15.7	-3,311.7341	5,452.481051
-15.6	-2,728.5991	5,300.08712
-15.5	-2,195.1165	5,119.78619
-15.4	-1,709.7332	4,916.73383
-15.3	-1,270.6645	4,695.63214
-15.2	-875.939724	4,460.745563
-15.1	-523.443196	4,215.91859
-15	-210.951947	3,964.59505
-14.9	63.83088	3,709.83837
-14.8	303.24607	3,454.35279
-14.7	509.65185	3,200.505
-14.6	685.40064	2,950.34604
-14.5	832.81877	2,705.63323
-14.4	954.18906	2,467.85196
-14.3	1,051.736042	2,238.23702
-14.2	1,127.613529	2,017.79361
-14.1	1,183.894425	1,807.31754
-14	1,222.562572	1,607.41487
-13.9	1,245.506413	1,418.5206
-13.8	1,254.514324	1,240.91667
-13.7	1,251.27143	1,074.74885
-13.6	1,237.357748	920.0428
-13.5	1,214.247503	776.71913
-13.4	1,183.309479	644.60749
-13.3	1,145.808253	523.45959
-13.2	1,102.906214	412.961398
-13.1	1,055.666223	312.744236
-13	1,005.054826	222.39502
-12.9	951.945912	141.465585
-12.8	897.124728	69.481093
-12.7	841.292179	5.947663
-12.6	785.069318	-49.640839
-12.5	729.001981	-97.796753
-12.4	673.565505	-139.033295
-12.3	619.169458	-173.859894
-12.2	566.162364	-202.778163
-12.1	514.836365	-226.278444
-12	465.431784	-244.8368983
-11.9	418.141577	-258.913091
-11.8	373.115631	-268.9480306
-11.7	330.464904	-275.3626179
-11.6	290.265374	-278.5564783
-11.5	252.561811	-278.9071245
-11.4	217.371328	-276.769425
-11.3	184.686741	-272.4753365
-11.2	154.47971	-266.3338808
-11.1	126.703664	-258.631319
-11	101.296528	-249.631509
-10.9	78.183231	-239.576416
-10.8	57.278009	-228.686754
-10.7	38.486521	-217.1627242
-10.6	21.70776	-205.184853
-10.5	6.8357885	-192.914891
-10.4	-6.2387053	-180.49676
-10.3	-17.627021	-168.057548
-10.2	-27.4412145	-155.708516
-10.1	-35.7930178	-143.546122
-10	-42.7928978	-131.6530443
-9.9	-48.5492469	-120.099196
-9.8	-53.1676924	-108.942725
-9.7	-56.7505199	-98.2309901
-9.6	-59.3961976	-88.001506
-9.5	-61.19899512	-78.2828587
-9.4	-62.2486875	-69.095583
-9.3	-62.63033611	-60.4529966
-9.2	-62.4241384	-52.3619955
-9.1	-61.7053402	-44.823803
-9	-60.5442015	-37.8346748
-8.9	-59.0060112	-31.3865581
-8.8	-57.1511435	-25.4677047
-8.7	-55.03514952	-20.0632397
