x	Hv(x)
-10	0 +1.4452322i
-9.8	0 +1.392499i
-9.6	0 +1.33420786i
-9.4	0 +1.27204826i
-9.2	0 +1.20788612i
-9	0 +1.14369553i
-8.8	0 +1.081485725i
-8.6	0 +1.0232256i
-8.4	0 +0.97076885i
-8.2	0 +0.925781961i
-8	0 +0.88967881i
-7.8	0 +0.86356332i
-7.6	0 +0.84818313i
-7.4	0 +0.843895755i
-7.2	0 +0.850648906i
-7	0 +0.867975601i
-6.8	0 +0.8950046i
-6.6	0 +0.930485865i
-6.4	0 +0.97283022i
-6.2	0 +1.020162i
-6	0 +1.070382755i
-5.8	0 +1.121243857i
-5.6	0 +1.170425354i
-5.4	0 +1.215618289i
-5.2	0 +1.254607438i
-5	0 +1.285351466i
-4.8	0 +1.306057518i
-4.6	0 +1.315247479i
-4.4	0 +1.31181339i
-4.2	0 +1.295059909i
-4	0 +1.264732163i
-3.8	0 +1.221027836i
-3.6	0 +1.164592935i
-3.4	0 +1.096501237i
-3.2	0 +1.018218037i
-3	0 +0.931549345i
-2.8	0 +0.838578252i
-2.6	0 +0.741590597i
-2.4	0 +0.642992484i
-2.2	0 +0.545222425i
-2	0 +0.450661094i
-1.8	0 +0.3615416374i
-1.6	0 +0.2798633983i
-1.4	0 +0.2073115673i
-1.2	0 +0.1451847199i
-1	0 +0.094331266i
-0.8	0 +0.0550942187i
-0.6	0 +0.02726048815i
-0.4	0 +0.01000317674i
-0.2	0 +0.001780163358i
0	0
0.2	0.001780163358
0.4	0.01000317674
0.6	0.02726048815
0.8	0.0550942187
1	0.094331266
1.2	0.1451847199
1.4	0.2073115673
1.6	0.2798633983
1.8	0.3615416374
2	0.450661094
2.2	0.545222425
2.4	0.642992484
2.6	0.741590597
2.8	0.838578252
3	0.931549345
3.2	1.018218037
3.4	1.096501237
3.6	1.164592935
3.8	1.221027836
4	1.264732163
4.2	1.295059909
4.4	1.31181339
4.6	1.315247479
4.8	1.306057518
5	1.285351466
5.2	1.254607438
5.4	1.215618289
5.6	1.170425354
5.8	1.121243857
6	1.070382755
6.2	1.020162
6.4	0.97283022
6.6	0.930485865
6.8	0.8950046
7	0.867975601
7.2	0.850648906
7.4	0.843895755
7.6	0.84818313
7.8	0.86356332
8	0.88967881
8.2	0.925781961
8.4	0.97076885
8.6	1.0232256
8.8	1.081485725
9	1.14369553
9.2	1.20788612
9.4	1.27204826
9.6	1.33420786
9.8	1.392499
10	1.4452322
