x	berv(x)	beiv(x)
-2.3	1.22020159	-0.170828332
-2.2	1.1445293	-0.222461712
-2.1	1.070023746	-0.265250309
-2	0.997077652	-0.299775437
-1.9	0.926013936	-0.326607272
-1.8	0.857090547	-0.346301888
-1.7	0.790505185	-0.3593988584
-1.6	0.7263998786	-0.3664193986
-1.5	0.664865418	-0.367864989
-1.4	0.60594561	-0.364216456
-1.3	0.5496413636	-0.3559334649
-1.2	0.495914591	-0.3434543903
-1.1	0.4446919268	-0.3271965305
-1	0.395868261	-0.3075566314
-0.9	0.3493101	-0.2849116898
-0.8	0.3048587511	-0.259620007
-0.7	0.262333347	-0.2320224623
-0.6	0.2215337177	-0.2024439824
-0.5	0.1822431238	-0.1711951797
-0.4	0.1442308645	-0.1385741359
-0.3	0.1072547768	-0.1048683082
-0.2	0.07106364176	-0.07035653596
-0.1	0.03539951482	-0.03531112648
0	0	0
0.1	-0.03539951482	0.03531112648
0.2	-0.07106364176	0.07035653596
0.3	-0.1072547768	0.1048683082
0.4	-0.1442308645	0.1385741359
0.5	-0.1822431238	0.1711951797
0.6	-0.2215337177	0.2024439824
0.7	-0.262333347	0.2320224623
0.8	-0.3048587511	0.259620007
0.9	-0.3493101	0.2849116898
1	-0.395868261	0.3075566314
1.1	-0.4446919268	0.3271965305
1.2	-0.495914591	0.3434543903
1.3	-0.5496413636	0.3559334649
1.4	-0.60594561	0.364216456
1.5	-0.664865418	0.367864989
1.6	-0.7263998786	0.3664193986
1.7	-0.790505185	0.3593988584
1.8	-0.857090547	0.346301888
1.9	-0.926013936	0.326607272
2	-0.997077652	0.299775437
2.1	-1.070023746	0.265250309
2.2	-1.1445293	0.222461712
2.3	-1.22020159	0.170828332
2.4	-1.296573172	0.109761303
2.5	-1.373096898	0.038668444
2.6	-1.449140932	-0.043040792
2.7	-1.523983785	-0.135949629
2.8	-1.596809441	-0.240627487
2.9	-1.666702614	-0.357622671
3	-1.732644221	-0.487454177
3.1	-1.793507137	-0.630602595
3.2	-1.848052313	-0.787500059
3.3	-1.894925348	-0.958519209
3.4	-1.932653631	-1.143961151
3.5	-1.959644131	-1.344042373
3.6	-1.974181992	-1.55888061
3.7	-1.974430026	-1.788479668
3.8	-1.958429266	-2.032713126
3.9	-1.924100717	-2.29130706
4	-1.86924846	-2.563821689
4.1	-1.791564273	-2.84963199
4.2	-1.68863396	-3.14790744
4.3	-1.55794556	-3.45759076
4.4	-1.3968996	-3.77737592
4.5	-1.20282163	-4.10568541
4.6	-0.97297727	-4.44064688
4.7	-0.70458986	-4.78006937
4.8	-0.3948611	-5.121419217
4.9	-0.04099467	-5.461795879
5	0.35977667	-5.797907902
5.1	0.81016055	-6.126049243
5.2	1.31277071	-6.44207628
5.3	1.87008872	-6.74138578
5.4	2.48442156	-7.01889425
5.5	3.15785498	-7.269019005
5.6	3.89220224	-7.48566136
5.7	4.68894829	-7.66219258
5.8	5.54918928	-7.791442833
5.9	6.47356711	-7.86569404
6	7.46219923	-7.876676898
6.1	8.51460351	-7.81557296
6.2	9.62961824	-7.67302236
6.3	10.80531743	-7.43913792
6.4	12.0389215	-7.10352645
6.5	13.32670369	-6.65531807
6.6	14.663892	-6.08320431
6.7	16.0445682	-5.37548603
6.8	17.46156265	-4.52013201
6.9	18.9063472	-3.50484912
7	20.36892603	-2.31716511
7.1	21.83772471	-0.94452503
7.2	23.2994798	0.6255978
7.3	24.73912882	2.40557528
7.4	26.1397022	4.4074812
7.5	27.48221872	6.6429309
7.6	28.7455861	9.1229017
7.7	29.9065074	11.8575347
7.8	30.939397	14.855916
7.9	31.81630608	18.1258374
8	32.5068613	21.6735351
8.1	32.9782189	25.5034067
8.2	33.19503647	29.6177061
8.3	33.11946524	34.0162151
8.4	32.71116663	38.6958935
8.5	31.9273555	43.650506
8.6	30.72287429	48.8702282
8.7	29.0503008	54.3412306
8.8	26.8600948	60.0452442
8.9	24.1007861	65.9591063
9	20.7192091	72.0542909
9.1	16.6607886	78.2964247
9.2	11.8698792	84.6447917
9.3	6.2901661	91.0518298
9.4	-0.1348711	97.4626236
9.5	-7.4614251	103.8143973
9.6	-15.7447543	110.0360138
9.7	-25.0384983	116.0474844
9.8	-35.39391	121.7594972
9.9	-46.8590047	127.0729703
10	-59.4776104	131.8786392
10.1	-73.288334	136.0566859
10.2	-88.323424	139.4764213
10.3	-104.607532	141.99603
10.4	-122.156377	143.4623906
