x	Hv(x)
-10	0.8918325
-9.8	0.88095937
-9.6	0.86038938
-9.4	0.8307469
-9.2	0.7930226
-9	0.74854244
-8.8	0.6989226
-8.6	0.64601324
-8.4	0.59183209
-8.2	0.53849075
-8	0.488116
-7.8	0.4427696
-7.6	0.40436839
-7.4	0.37460942
-7.2	0.354901349
-7	0.346305732
-6.8	0.34949013
-6.6	0.36469514
-6.4	0.391716596
-6.2	0.429904
-6	0.47817525
-5.8	0.535047558
-5.6	0.59868346
-5.4	0.666950572
-5.2	0.7374929933
-5	0.8078119458
-4.8	0.875352821
-4.6	0.937595553
-4.4	0.99214508
-4.2	1.036818632
-4	1.069726661
-3.8	1.089344427
-3.6	1.094571574
-3.4	1.084777436
-3.2	1.059830322
-3	1.020109569
-2.8	0.966499787
-2.6	0.900367351
-2.4	0.823519821
-2.2	0.738149604
-2	0.646763728
-1.8	0.552102129
-1.6	0.4570472378
-1.4	0.36452802
-1.2	0.2774218054
-1	0.1984573362
-0.8	0.1301224534
-0.6	0.0745796589
-0.4	0.03359254003
-0.2	0.00846565411
0	0
0.2	0.00846565411
0.4	0.03359254003
0.6	0.0745796589
0.8	0.1301224534
1	0.1984573362
1.2	0.2774218054
1.4	0.36452802
1.6	0.4570472378
1.8	0.552102129
2	0.646763728
2.2	0.738149604
2.4	0.823519821
2.6	0.900367351
2.8	0.966499787
3	1.020109569
3.2	1.059830322
3.4	1.084777436
3.6	1.094571574
3.8	1.089344427
4	1.069726661
4.2	1.036818632
4.4	0.99214508
4.6	0.937595553
4.8	0.875352821
5	0.8078119458
5.2	0.7374929933
5.4	0.666950572
5.6	0.59868346
5.8	0.535047558
6	0.47817525
6.2	0.429904
6.4	0.391716596
6.6	0.36469514
6.8	0.34949013
7	0.346305732
7.2	0.354901349
7.4	0.37460942
7.6	0.40436839
7.8	0.4427696
8	0.488116
8.2	0.53849075
8.4	0.59183209
8.6	0.64601324
8.8	0.6989226
9	0.74854244
9.2	0.7930226
9.4	0.8307469
9.6	0.86038938
9.8	0.88095937
10	0.8918325
