x	berv(x)	beiv(x)
-20	20,084.3432	-3,453.5469
-19.9	18,350.34026	-4,337.49181
-19.8	16,697.4089	-5,052.79663
-19.7	15,129.3477	-5,617.13947
-19.6	13,648.6042	-6,047.07955
-19.5	12,256.4453	-6,358.06008
-19.4	10,953.1154	-6,564.42147
-19.3	9,737.9803	-6,679.42317
-19.2	8,609.6609	-6,715.272806
-19.1	7,566.1527	-6,683.161164
-19	6,604.9359	-6,593.30193
-18.9	5,723.0736	-6,454.97512
-18.8	4,917.3003	-6,276.57321
-18.7	4,184.1007	-6,065.64918
-18.6	3,519.7796	-5,828.96571
-18.5	2,920.5236	-5,572.54493
-18.4	2,382.454628	-5,301.71803
-18.3	1,901.67666	-5,021.17449
-18.2	1,474.31595	-4,735.01031
-18.1	1,096.55496	-4,446.77502
-18	764.66096	-4,159.51711
-17.9	475.00965	-3,875.82786
-17.8	224.10431	-3,597.88303
-17.7	8.59091	-3,327.48271
-17.6	-174.73038	-3,066.08891
-17.5	-328.8968	-2,814.86098
-17.4	-456.77746	-2,574.68883
-17.3	-561.07024	-2,346.22388
-17.2	-644.30077	-2,129.90787
-17.1	-708.82331	-1,925.99946
-17	-756.82311	-1,734.59869
-16.9	-790.32009	-1,555.6695
-16.8	-811.173632	-1,389.06017
-16.7	-821.0882	-1,234.52196
-16.6	-821.61965	-1,091.72593
-16.5	-814.182116	-960.27805
-16.4	-800.055209	-839.73277
-16.3	-780.39152	-729.60503
-16.2	-756.224249	-629.38096
-16.1	-728.474881	-538.5272
-16	-697.9608261	-456.49909
-15.9	-665.402959	-382.74771
-15.8	-631.432987	-316.72595
-15.7	-596.600605	-257.89365
-15.6	-561.380405	-205.7219
-15.5	-526.178486	-159.696585
-15.4	-491.338773	-119.32124
-15.3	-457.148995	-84.119342
-15.2	-423.846338	-53.636019
-15.1	-391.6227489	-27.439305
-15	-360.629894	-5.120974
-14.9	-330.983777	13.702993
-14.8	-302.769016	29.3922486
-14.7	-276.042788	42.282193
-14.6	-250.838461	52.68431342
-14.5	-227.168906	60.8867132
-14.4	-205.029515	67.1547967
-14.3	-184.400943	71.7320801
-14.2	-165.251578	74.8411001
-14.1	-147.539752	76.6843973
-14	-131.215729	77.4455525
-13.9	-116.223461	77.290258
-13.8	-102.5021432	76.3674046
-13.7	-89.987578	74.8101796
-13.6	-78.6133624	72.7371487
-13.5	-68.3119174	70.2533271
-13.4	-59.0153686	67.4512221
-13.3	-50.6562939	64.4118435
-13.2	-43.1683506	61.2056764
-13.1	-36.4867937	57.8936113
-13	-30.5488969	54.5278293
-12.9	-25.2942872	51.1526397
-12.8	-20.6652016	47.805268
-12.7	-16.6066776	44.5165953
-12.6	-13.0666833	41.3118477
-12.5	-9.99619715	38.2112359
-12.4	-7.34924238	35.2305479
-12.3	-5.08288482	32.3816935
