x	Lv(x)
-5	23.72821578
-4.9	21.59320704
-4.8	19.64805717
-4.7	17.87574264
-4.6	16.2607778
-4.5	14.78907537
-4.4	13.44781951
-4.3	12.22535061
-4.2	11.11106045
-4.1	10.09529699
-4	9.16927781
-3.9	8.32501146
-3.8	7.55522594
-3.7	6.85330366
-3.6	6.21322246
-3.5	5.62950178
-3.4	5.09715398
-3.3	4.61163983
-3.2	4.1688283
-3.1	3.764959814
-3	3.396612947
-2.9	3.060674151
-2.8	2.754310209
-2.7	2.474943222
-2.6	2.220227873
-2.5	1.988030772
-2.4	1.776411687
-2.3	1.583606502
-2.2	1.408011741
-2.1	1.248170518
-2	1.102759787
-1.9	0.970578789
-1.8	0.850538563
-1.7	0.741652463
-1.6	0.6430275648
-1.5	0.5538569084
-1.4	0.473412488
-1.3	0.40103894
-1.2	0.336147866
-1.1	0.2782127458
-1	0.2267643811
-0.9	0.1813868495
-0.8	0.1417139155
-0.7	0.1074258754
-0.6	0.0782468043
-0.5	0.0539421826
-0.4	0.0343168803
-0.3	0.01921347982
-0.2	0.00851092489
-0.1	0.002123481023
0	0
0.1	0.002123481023
0.2	0.00851092489
0.3	0.01921347982
0.4	0.0343168803
0.5	0.0539421826
0.6	0.0782468043
0.7	0.1074258754
0.8	0.1417139155
0.9	0.1813868495
1	0.2267643811
1.1	0.2782127458
1.2	0.336147866
1.3	0.40103894
1.4	0.473412488
1.5	0.5538569084
1.6	0.6430275648
1.7	0.741652463
1.8	0.850538563
1.9	0.970578789
2	1.102759787
2.1	1.248170518
2.2	1.408011741
2.3	1.583606502
2.4	1.776411687
2.5	1.988030772
2.6	2.220227873
2.7	2.474943222
2.8	2.754310209
2.9	3.060674151
3	3.396612947
3.1	3.764959814
3.2	4.1688283
3.3	4.61163983
3.4	5.09715398
3.5	5.62950178
3.6	6.21322246
3.7	6.85330366
3.8	7.55522594
3.9	8.32501146
4	9.16927781
4.1	10.09529699
4.2	11.11106045
4.3	12.22535061
4.4	13.44781951
4.5	14.78907537
4.6	16.2607778
4.7	17.87574264
4.8	19.64805717
4.9	21.59320704
5	23.72821578
