                      k                     f1                     f2                  delta                   frac
     -0.980000000000000       3.02098044557115       3.02098044557115       0.00000000000000       0.00000000000000
     -0.960000000000000       2.69314296474059       2.69314296474059       0.00000000000000       0.00000000000000
     -0.940000000000000       2.50686451104633       2.50686451104633       0.00000000000000       0.00000000000000
     -0.920000000000000       2.37807117678240       2.37807117678240       0.00000000000000       0.00000000000000
     -0.900000000000000       2.28054913842277       2.28054913842277       0.00000000000000       0.00000000000000
     -0.880000000000000       2.20267696709444       2.20267696709444   4.44089209850063e-16   2.01613407905138e-16
     -0.860000000000000       2.13828344209855       2.13828344209855  -4.44089209850063e-16  -2.07684912629836e-16
     -0.840000000000000       2.08370111842982       2.08370111842982  -4.44089209850063e-16  -2.13125196278010e-16
     -0.820000000000000       2.03657466577037       2.03657466577037  -4.44089209850063e-16  -2.18056925343357e-16
     -0.800000000000000       1.99530277766473       1.99530277766473       0.00000000000000       0.00000000000000
     -0.780000000000000       1.95874818428066       1.95874818428066       0.00000000000000       0.00000000000000
     -0.760000000000000       1.92607475732156       1.92607475732156  -4.44089209850063e-16  -2.30566964320545e-16
     -0.740000000000000       1.89665026407363       1.89665026407363   2.22044604925031e-16   1.17071981656821e-16
     -0.720000000000000       1.86998540054880       1.86998540054880       0.00000000000000       0.00000000000000
     -0.700000000000000       1.84569399837472       1.84569399837472   2.22044604925031e-16   1.20304126859901e-16
     -0.680000000000000       1.82346616021774       1.82346616021774   2.22044604925031e-16   1.21770620025390e-16
     -0.660000000000000       1.80304959508266       1.80304959508266       0.00000000000000       0.00000000000000
     -0.640000000000000       1.78423632594674       1.78423632594674       0.00000000000000       0.00000000000000
     -0.620000000000000       1.76685301737881       1.76685301737881  -1.11022302462516e-15  -6.28361846574093e-16
     -0.600000000000000       1.75075380291575       1.75075380291575  -4.44089209850063e-16  -2.53656001837874e-16
     -0.580000000000000       1.73581487634052       1.73581487634052  -2.22044604925031e-16  -1.27919519501498e-16
     -0.560000000000000       1.72193035174924       1.72193035174924   2.22044604925031e-16   1.28950979172570e-16
     -0.540000000000000       1.70900905208232       1.70900905208232   4.44089209850063e-16   2.59851876916022e-16
     -0.520000000000000       1.69697198766980       1.69697198766980  -2.22044604925031e-16  -1.30847536988476e-16
     -0.500000000000000       1.68575035481260       1.68575035481260       0.00000000000000       0.00000000000000
     -0.480000000000000       1.67528393132332       1.67528393132332   2.22044604925031e-16   1.32541475969173e-16
     -0.460000000000000       1.66551977863372       1.66551977863372       0.00000000000000       0.00000000000000
     -0.440000000000000       1.65641118321235       1.65641118321235       0.00000000000000       0.00000000000000
     -0.420000000000000       1.64791678665040       1.64791678665040       0.00000000000000       0.00000000000000
     -0.400000000000000       1.63999986586451       1.63999986586451   6.66133814775094e-16   4.06179188572035e-16
     -0.380000000000000       1.63262773377109       1.63262773377109       0.00000000000000       0.00000000000000
     -0.360000000000000       1.62577123742189       1.62577123742189   6.66133814775094e-16   4.09734038493283e-16
     -0.340000000000000       1.61940433558645       1.61940433558645  -2.22044604925031e-16  -1.37114987310825e-16
     -0.320000000000000       1.61350374156497       1.61350374156497  -4.44089209850063e-16  -2.75232835480958e-16
     -0.300000000000000       1.60804861993051       1.60804861993051   4.44089209850063e-16   2.76166531500305e-16
     -0.280000000000000       1.60302032815552       1.60302032815552   4.44089209850063e-16   2.77032799927774e-16
     -0.260000000000000       1.59840219583903       1.59840219583903  -2.22044604925031e-16  -1.38916604033115e-16
     -0.240000000000000       1.59417933563647       1.59417933563647       0.00000000000000       0.00000000000000
     -0.220000000000000       1.59033848109247       1.59033848109247       0.00000000000000       0.00000000000000
     -0.200000000000000       1.58686784745417       1.58686784745417   4.44089209850063e-16   2.79852673656802e-16
     -0.180000000000000       1.58375701224862       1.58375701224862       0.00000000000000       0.00000000000000
     -0.160000000000000       1.58099681297996       1.58099681297996       0.00000000000000       0.00000000000000
     -0.140000000000000       1.57857925976936       1.57857925976936       0.00000000000000       0.00000000000000
     -0.120000000000000       1.57649746114602       1.57649746114602   4.44089209850063e-16   2.81693577563542e-16
     -0.100000000000000       1.57474556151736       1.57474556151736  -4.44089209850063e-16  -2.82006960808423e-16
    -0.0800000000000000       1.57331868911506       1.57331868911506   6.66133814775094e-16   4.23394077362528e-16
    -0.0600000000000001       1.57221291344204       1.57221291344204       0.00000000000000       0.00000000000000
    -0.0400000000000000       1.57142521144138       1.57142521144138   2.22044604925031e-16   1.41301414351983e-16
    -0.0200000000000000       1.57095344178031       1.57095344178031       0.00000000000000       0.00000000000000
       0.00000000000000       1.57079632679490       1.57079632679490       0.00000000000000       0.00000000000000
     0.0200000000000000       1.57095344178031       1.57095344178031       0.00000000000000       0.00000000000000
     0.0400000000000000       1.57142521144138       1.57142521144138   2.22044604925031e-16   1.41301414351983e-16
     0.0600000000000001       1.57221291344204       1.57221291344204       0.00000000000000       0.00000000000000
     0.0800000000000001       1.57331868911506       1.57331868911506   6.66133814775094e-16   4.23394077362528e-16
      0.100000000000000       1.57474556151736       1.57474556151736  -4.44089209850063e-16  -2.82006960808423e-16
      0.120000000000000       1.57649746114602       1.57649746114602   4.44089209850063e-16   2.81693577563542e-16
      0.140000000000000       1.57857925976936       1.57857925976936       0.00000000000000       0.00000000000000
      0.160000000000000       1.58099681297996       1.58099681297996       0.00000000000000       0.00000000000000
      0.180000000000000       1.58375701224862       1.58375701224862       0.00000000000000       0.00000000000000
      0.200000000000000       1.58686784745417       1.58686784745417   4.44089209850063e-16   2.79852673656802e-16
      0.220000000000000       1.59033848109247       1.59033848109247       0.00000000000000       0.00000000000000
