  k =       -1.00000000000000
                      u                     f1                     f2                  delta                   frac
      -5.00000000000000     -0.999909204262595     -0.999909204262595  -1.11022302462516e-16   1.11032383729672e-16
      -4.90000000000000     -0.999889102950554     -0.999889102950554   2.22044604925031e-16  -2.22069231747605e-16
      -4.80000000000000     -0.999864551700760     -0.999864551700760   1.11022302462516e-16  -1.11037342281680e-16
      -4.70000000000000     -0.999834565554297     -0.999834565554297       0.00000000000000      -0.00000000000000
      -4.60000000000000     -0.999797941612184     -0.999797941612184   1.11022302462516e-16  -1.11044739983652e-16
      -4.50000000000000     -0.999753210848027     -0.999753210848027       0.00000000000000      -0.00000000000000
      -4.40000000000000     -0.999698579283881     -0.999698579283881  -1.11022302462516e-16   1.11055776974340e-16
      -4.30000000000000     -0.999631856190073     -0.999631856190073   1.11022302462516e-16  -1.11063189688310e-16
      -4.20000000000000     -0.999550366459534     -0.999550366459533  -1.11022302462516e-16   1.11072244268954e-16
      -4.10000000000000     -0.999450843687797     -0.999450843687797   2.22044604925031e-16  -2.22166609120791e-16
      -4.00000000000000     -0.999329299739067     -0.999329299739067       0.00000000000000      -0.00000000000000
      -3.90000000000000     -0.999180865670028     -0.999180865670028   1.11022302462516e-16  -1.11113319196787e-16
      -3.80000000000000     -0.998999597785841     -0.998999597785841       0.00000000000000      -0.00000000000000
      -3.70000000000000     -0.998778241281131     -0.998778241281131       0.00000000000000      -0.00000000000000
      -3.60000000000000     -0.998507942332327     -0.998507942332327       0.00000000000000      -0.00000000000000
      -3.50000000000000     -0.998177897611199     -0.998177897611199  -1.11022302462516e-16   1.11224965738282e-16
      -3.40000000000000     -0.997774927934279     -0.997774927934279  -1.11022302462516e-16   1.11269885977560e-16
      -3.30000000000000     -0.997282960099142     -0.997282960099142  -1.11022302462516e-16   1.11324776321736e-16
      -3.20000000000000     -0.996682397839651     -0.996682397839651       0.00000000000000      -0.00000000000000
      -3.10000000000000     -0.995949359221900     -0.995949359221900   1.11022302462516e-16  -1.11473842956487e-16
      -3.00000000000000     -0.995054753686730     -0.995054753686730   1.11022302462516e-16  -1.11574063689633e-16
      -2.90000000000000     -0.993963167350583     -0.993963167350583       0.00000000000000      -0.00000000000000
      -2.80000000000000     -0.992631520201128     -0.992631520201128  -2.22044604925031e-16   2.23692881402799e-16
      -2.70000000000000     -0.991007453678118     -0.991007453678118       0.00000000000000      -0.00000000000000
      -2.60000000000000     -0.989027402201099     -0.989027402201099  -1.11022302462516e-16   1.12254020682777e-16
      -2.50000000000000     -0.986614298151430     -0.986614298151430   1.11022302462516e-16  -1.12528576436134e-16
      -2.40000000000000     -0.983674857693680     -0.983674857693680   2.22044604925031e-16  -2.25729673975440e-16
      -2.30000000000000     -0.980096396266191     -0.980096396266191  -1.11022302462516e-16   1.13276921418618e-16
      -2.20000000000000     -0.975743130031452     -0.975743130031452       0.00000000000000      -0.00000000000000
      -2.10000000000000     -0.970451936613454     -0.970451936613454       0.00000000000000      -0.00000000000000
      -2.00000000000000     -0.964027580075817     -0.964027580075817   1.11022302462516e-16  -1.15165068673434e-16
      -1.90000000000000     -0.956237458127739     -0.956237458127739       0.00000000000000      -0.00000000000000
      -1.80000000000000     -0.946806012846268     -0.946806012846268   1.11022302462516e-16  -1.17259819811202e-16
      -1.70000000000000     -0.935409070603099     -0.935409070603099  -1.11022302462516e-16   1.18688503192443e-16
      -1.60000000000000     -0.921668554406471     -0.921668554406471       0.00000000000000      -0.00000000000000
      -1.50000000000000     -0.905148253644866     -0.905148253644866       0.00000000000000      -0.00000000000000
      -1.40000000000000     -0.885351648202262     -0.885351648202263   1.11022302462516e-16  -1.25399102930401e-16
      -1.30000000000000     -0.861723159313306     -0.861723159313306       0.00000000000000      -0.00000000000000
      -1.20000000000000     -0.833654607012155     -0.833654607012155   2.22044604925031e-16  -2.66350840092933e-16
      -1.10000000000000     -0.800499021760630     -0.800499021760630   1.11022302462516e-16  -1.38691365566358e-16
      -1.00000000000000     -0.761594155955765     -0.761594155955765       0.00000000000000      -0.00000000000000
     -0.900000000000000     -0.716297870199025     -0.716297870199025       0.00000000000000      -0.00000000000000
     -0.800000000000000     -0.664036770267849     -0.664036770267849  -1.11022302462516e-16   1.67193004112910e-16
     -0.700000000000000     -0.604367777117164     -0.604367777117164       0.00000000000000      -0.00000000000000
     -0.600000000000000     -0.537049566998035     -0.537049566998035   2.22044604925031e-16  -4.13452721256628e-16
     -0.500000000000000     -0.462117157260010     -0.462117157260010   1.11022302462516e-16  -2.40247090414886e-16
     -0.400000000000000     -0.379948962255225     -0.379948962255225   5.55111512312578e-17  -1.46101599809000e-16
     -0.300000000000000     -0.291312612451591     -0.291312612451591   1.11022302462516e-16  -3.81110524285882e-16
     -0.200000000000000     -0.197375320224904     -0.197375320224904       0.00000000000000      -0.00000000000000
    -0.0999999999999996    -0.0996679946249555    -0.0996679946249555   1.38777878078145e-17  -1.39240162903204e-16
       0.00000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
     0.0999999999999996     0.0996679946249555     0.0996679946249555  -1.38777878078145e-17  -1.39240162903204e-16
      0.200000000000000      0.197375320224904      0.197375320224904       0.00000000000000       0.00000000000000
      0.300000000000000      0.291312612451591      0.291312612451591  -1.11022302462516e-16  -3.81110524285882e-16
      0.400000000000000      0.379948962255225      0.379948962255225  -5.55111512312578e-17  -1.46101599809000e-16
      0.500000000000000      0.462117157260010      0.462117157260010  -1.11022302462516e-16  -2.40247090414886e-16
      0.600000000000000      0.537049566998035      0.537049566998035  -2.22044604925031e-16  -4.13452721256628e-16
      0.700000000000000      0.604367777117164      0.604367777117164       0.00000000000000       0.00000000000000
      0.800000000000000      0.664036770267849      0.664036770267849   1.11022302462516e-16   1.67193004112910e-16
      0.900000000000000      0.716297870199025      0.716297870199025       0.00000000000000       0.00000000000000
       1.00000000000000      0.761594155955765      0.761594155955765       0.00000000000000       0.00000000000000
       1.10000000000000      0.800499021760629      0.800499021760630  -2.22044604925031e-16  -2.77382731132717e-16
       1.20000000000000      0.833654607012155      0.833654607012155  -2.22044604925031e-16  -2.66350840092933e-16
       1.30000000000000      0.861723159313306      0.861723159313306       0.00000000000000       0.00000000000000
