  x =        1.00000000000000
                      y                     f1                     f2                  delta                   frac
<<<<<<< ours
       1.00000000000000       1.00000000000001       1.00000000000000   1.06581410364015e-14   1.06581410364015e-14
       2.00000000000000      0.500000000000005      0.500000000000000   5.32907051820075e-15   1.06581410364015e-14
       3.00000000000000      0.333333333333337      0.333333333333333   3.60822483003176e-15   1.08246744900953e-14
       4.00000000000000      0.250000000000003      0.250000000000000   2.60902410786912e-15   1.04360964314765e-14
       5.00000000000000      0.200000000000002      0.200000000000000   2.19269047363468e-15   1.09634523681734e-14
       6.00000000000000      0.166666666666668      0.166666666666667   1.72084568816899e-15   1.03250741290140e-14
       7.00000000000000      0.142857142857144      0.142857142857143   1.49880108324396e-15   1.04916075827077e-14
       8.00000000000000      0.125000000000001      0.125000000000000   1.30451205393456e-15   1.04360964314765e-14
       9.00000000000000      0.111111111111112      0.111111111111111   1.31838984174237e-15   1.18655085756814e-14
       10.0000000000000      0.100000000000001      0.100000000000000   9.43689570931383e-16   9.43689570931383e-15
       11.0000000000000     0.0909090909090919     0.0909090909090909   9.57567358739198e-16   1.05332409461312e-14
       12.0000000000000     0.0833333333333344     0.0833333333333333   1.06858966120171e-15   1.28230759344206e-14
       13.0000000000000     0.0769230769230775     0.0769230769230769   5.82867087928207e-16   7.57727214306669e-15
       14.0000000000000     0.0714285714285724     0.0714285714285714   9.99200722162641e-16   1.39888101102770e-14
       15.0000000000000     0.0666666666666673     0.0666666666666667   6.80011602582908e-16   1.02001740387436e-14
       16.0000000000000     0.0625000000000006     0.0625000000000000   6.38378239159465e-16   1.02140518265514e-14
       17.0000000000000     0.0588235294117650     0.0588235294117647   2.56739074444567e-16   4.36456426555765e-15
       18.0000000000000     0.0555555555555565     0.0555555555555556   9.50628464835290e-16   1.71113123670352e-14
       19.0000000000000     0.0526315789473695     0.0526315789473684   1.04083408558608e-15   1.97758476261356e-14
       20.0000000000000     0.0500000000000004     0.0500000000000000   3.81639164714898e-16   7.63278329429795e-15
       21.0000000000000     0.0476190476190487     0.0476190476190476   1.04083408558608e-15   2.18575157973078e-14
       22.0000000000000     0.0454545454545456     0.0454545454545455   1.52655665885959e-16   3.35842464949110e-15
       23.0000000000000     0.0434782608695661     0.0434782608695652   9.29811783123569e-16   2.13856710118421e-14
       24.0000000000000     0.0416666666666671     0.0416666666666667   4.51028103753970e-16   1.08246744900953e-14
       25.0000000000000     0.0400000000000009     0.0400000000000000   9.15933995315754e-16   2.28983498828939e-14
       26.0000000000000     0.0384615384615387     0.0384615384615385   2.15105711021124e-16   5.59274848654923e-15
       27.0000000000000     0.0370370370370373     0.0370370370370370   2.56739074444567e-16   6.93195501000332e-15
       28.0000000000000     0.0357142857142863     0.0357142857142857   5.62050406216485e-16   1.57374113740616e-14
       29.0000000000000     0.0344827586206901     0.0344827586206897   4.71844785465692e-16   1.36834987785051e-14
       30.0000000000000     0.0333333333333342     0.0333333333333333   8.74300631892311e-16   2.62290189567693e-14
       31.0000000000000     0.0322580645161294     0.0322580645161290   3.67761376907083e-16   1.14006026841196e-14
       32.0000000000000     0.0312500000000002     0.0312500000000000   1.52655665885959e-16   4.88498130835069e-15
       33.0000000000000     0.0303030303030310     0.0303030303030303   6.59194920871187e-16   2.17534323887492e-14
       34.0000000000000     0.0294117647058826     0.0294117647058823   2.84494650060196e-16   9.67281810204668e-15
       35.0000000000000     0.0285714285714290     0.0285714285714286   4.75314232417645e-16   1.66359981346176e-14
       36.0000000000000     0.0277777777777782     0.0277777777777778   4.23272528138341e-16   1.52378110129803e-14
       37.0000000000000     0.0270270270270274     0.0270270270270270   3.50414142147315e-16   1.29653232594507e-14
       38.0000000000000     0.0263157894736847     0.0263157894736842   4.68375338513738e-16   1.77982628635220e-14
       39.0000000000000     0.0256410256410259     0.0256410256410256   2.53269627492614e-16   9.87751547221194e-15
