                      n                     f1                     f2                  delta                   frac
                     74   5.69206954820355e+48   5.69206954820353e+48   1.88220761121888e+34   3.30671927895350e-15
                     75       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     76  -8.21836294197849e+50  -8.21836294197846e+50  -2.82460949104295e+36   3.43694907487617e-15
                     77       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     78   1.25029043271670e+53   1.25029043271670e+53   4.04085310718614e+38   3.23193155881866e-15
                     79       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     80  -2.00155832332484e+55  -2.00155832332484e+55  -7.07787323195552e+40   3.53618135903144e-15
                     81       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     82   3.36749829153645e+57   3.36749829153644e+57   1.18472708867194e+43   3.51812231545751e-15
                     83       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     84  -5.94709705031357e+59  -5.94709705031355e+59  -2.14087153905894e+45   3.59985976510349e-15
                     85       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     86   1.10119103236280e+62   1.10119103236280e+62   4.33883298582612e+47   3.94012742413675e-15
                     87       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     88  -2.13552595452536e+64  -2.13552595452535e+64  -8.47670949651924e+49   3.96937788489829e-15
                     89       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     90   4.33288969866414e+66   4.33288969866412e+66   1.79589321195221e+52   4.14479328311983e-15
                     91       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     92  -9.18855282416697e+68  -9.18855282416693e+68  -3.83123885216472e+54   4.16957808860622e-15
                     93       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     94   2.03468967763292e+71   2.03468967763291e+71   8.58197502884898e+56   4.21782993406295e-15
                     95       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     96  -4.70038339580359e+73  -4.70038339580357e+73  -2.00867255532374e+59   4.27342279592990e-15
                     97       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     98   1.13180434454843e+76   1.13180434454842e+76   4.82081413277697e+61   4.25940592647258e-15
                     99       0.00000000000000       0.00000000000000       0.00000000000000                      -
                    100  -2.83822495706938e+78  -2.83822495706937e+78  -1.19299080405787e+64   4.20329897066970e-15
max(abs(diff)) = 1.19299080405787e+64
max(abs(frac)) = 4.27342279592990e-15
