                      n                     f1                     f2                  delta                   frac
                      0       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      1       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      2      0.693147180559945      0.693147180559945       0.00000000000000       0.00000000000000
                      3       1.79175946922805       1.79175946922805       0.00000000000000       0.00000000000000
                      4       3.17805383034795       3.17805383034795       0.00000000000000       0.00000000000000
                      5       4.78749174278205       4.78749174278205       0.00000000000000       0.00000000000000
                      6       6.57925121201010       6.57925121201010       0.00000000000000       0.00000000000000
                      7       8.52516136106541       8.52516136106541       0.00000000000000       0.00000000000000
                      8       10.6046029027453       10.6046029027453       0.00000000000000       0.00000000000000
                      9       12.8018274800815       12.8018274800815       0.00000000000000       0.00000000000000
                     10       15.1044125730755       15.1044125730755       0.00000000000000       0.00000000000000
                     11       17.5023078458739       17.5023078458739       0.00000000000000       0.00000000000000
                     12       19.9872144956619       19.9872144956619       0.00000000000000       0.00000000000000
                     13       22.5521638531234       22.5521638531234       0.00000000000000       0.00000000000000
                     14       25.1912211827387       25.1912211827387       0.00000000000000       0.00000000000000
                     15       27.8992713838409       27.8992713838409       0.00000000000000       0.00000000000000
                     16       30.6718601060807       30.6718601060807       0.00000000000000       0.00000000000000
                     17       33.5050734501369       33.5050734501369       0.00000000000000       0.00000000000000
                     18       36.3954452080331       36.3954452080331       0.00000000000000       0.00000000000000
                     19       39.3398841871995       39.3398841871995       0.00000000000000       0.00000000000000
                     20       42.3356164607535       42.3356164607535       0.00000000000000       0.00000000000000
                     21       45.3801388984769       45.3801388984769       0.00000000000000       0.00000000000000
                     22       48.4711813518352       48.4711813518352       0.00000000000000       0.00000000000000
                     23       51.6066755677644       51.6066755677644       0.00000000000000       0.00000000000000
                     24       54.7847293981123       54.7847293981123       0.00000000000000       0.00000000000000
                     25       58.0036052229805       58.0036052229805       0.00000000000000       0.00000000000000
                     26       61.2617017610020       61.2617017610020       0.00000000000000       0.00000000000000
                     27       64.5575386270063       64.5575386270063       0.00000000000000       0.00000000000000
                     28       67.8897431371815       67.8897431371815       0.00000000000000       0.00000000000000
                     29       71.2570389671680       71.2570389671680       0.00000000000000       0.00000000000000
                     30       74.6582363488302       74.6582363488302       0.00000000000000       0.00000000000000
                     31       78.0922235533153       78.0922235533153       0.00000000000000       0.00000000000000
                     32       81.5579594561150       81.5579594561150       0.00000000000000       0.00000000000000
                     33       85.0544670175815       85.0544670175815       0.00000000000000       0.00000000000000
                     34       88.5808275421977       88.5808275421977       0.00000000000000       0.00000000000000
                     35       92.1361756036871       92.1361756036871       0.00000000000000       0.00000000000000
                     36       95.7196945421432       95.7196945421432       0.00000000000000       0.00000000000000
                     37       99.3306124547874       99.3306124547874       0.00000000000000       0.00000000000000
                     38       102.968198614514       102.968198614514       0.00000000000000       0.00000000000000
                     39       106.631760260643       106.631760260643       0.00000000000000       0.00000000000000
                     40       110.320639714757       110.320639714757       0.00000000000000       0.00000000000000
                     41       114.034211781462       114.034211781462       0.00000000000000       0.00000000000000
                     42       117.771881399745       117.771881399745       0.00000000000000       0.00000000000000
                     43       121.533081515439       121.533081515439       0.00000000000000       0.00000000000000
                     44       125.317271149357       125.317271149357       0.00000000000000       0.00000000000000
                     45       129.123933639127       129.123933639127       0.00000000000000       0.00000000000000
                     46       132.952575035616       132.952575035616       0.00000000000000       0.00000000000000
                     47       136.802722637326       136.802722637326       0.00000000000000       0.00000000000000
                     48       140.673923648234       140.673923648234       0.00000000000000       0.00000000000000
                     49       144.565743946345       144.565743946345       0.00000000000000       0.00000000000000
                     50       148.477766951773       148.477766951773       0.00000000000000       0.00000000000000
                     51       152.409592584497       152.409592584497       0.00000000000000       0.00000000000000
                     52       156.360836303079       156.360836303079       0.00000000000000       0.00000000000000
                     53       160.331128216631       160.331128216631       0.00000000000000       0.00000000000000
                     54       164.320112263195       164.320112263195       0.00000000000000       0.00000000000000
                     55       168.327445448428       168.327445448428       0.00000000000000       0.00000000000000
                     56       172.352797139163       172.352797139163       0.00000000000000       0.00000000000000
                     57       176.395848406997       176.395848406997       0.00000000000000       0.00000000000000
                     58       180.456291417544       180.456291417544       0.00000000000000       0.00000000000000
                     59       184.533828861449       184.533828861449       0.00000000000000       0.00000000000000
                     60       188.628173423672       188.628173423672       0.00000000000000       0.00000000000000
                     61       192.739047287845       192.739047287845       0.00000000000000       0.00000000000000
                     62       196.866181672890       196.866181672890       0.00000000000000       0.00000000000000
                     63       201.009316399282       201.009316399282       0.00000000000000       0.00000000000000
                     64       205.168199482641       205.168199482641       0.00000000000000       0.00000000000000
                     65       209.342586752537       209.342586752537       0.00000000000000       0.00000000000000
                     66       213.532241494563       213.532241494563       0.00000000000000       0.00000000000000
                     67       217.736934113954       217.736934113954       0.00000000000000       0.00000000000000
                     68       221.956441819130       221.956441819130       0.00000000000000       0.00000000000000
                     69       226.190548323728       226.190548323728       0.00000000000000       0.00000000000000
                     70       230.439043565777       230.439043565777       0.00000000000000       0.00000000000000
                     71       234.701723442818       234.701723442818       0.00000000000000       0.00000000000000
                     72       238.978389561834       238.978389561834       0.00000000000000       0.00000000000000
                     73       243.268849002983       243.268849002983       0.00000000000000       0.00000000000000
                     74       247.572914096187       247.572914096187       0.00000000000000       0.00000000000000
                     75       251.890402209723       251.890402209723       0.00000000000000       0.00000000000000
                     76       256.221135550010       256.221135550010       0.00000000000000       0.00000000000000
                     77       260.564940971863       260.564940971863       0.00000000000000       0.00000000000000
                     78       264.921649798553       264.921649798553       0.00000000000000       0.00000000000000
