                      x                     f1                     f2                  delta                   frac
      -10.0000000000000      -4.19827788685810      -4.19827788685810       0.00000000000000      -0.00000000000000
      -9.50000000000000      -4.07647597026277      -4.07647597026277       0.00000000000000      -0.00000000000000
      -9.00000000000000      -3.95066377824416      -3.95066377824416  -2.22044604925031e-15   5.62043791597263e-16
      -8.50000000000000      -3.82051902116780      -3.82051902116780       0.00000000000000      -0.00000000000000
      -8.00000000000000      -3.68567600075741      -3.68567600075741  -8.88178419700125e-16   2.40981144169375e-16
      -7.50000000000000      -3.54571710425585      -3.54571710425585  -4.44089209850063e-16   1.25246655836426e-16
      -7.00000000000000      -3.40016204442839      -3.40016204442839  -4.44089209850063e-16   1.30608248679724e-16
      -6.50000000000000      -3.24845407179540      -3.24845407179540       0.00000000000000      -0.00000000000000
      -6.00000000000000      -3.08994205108803      -3.08994205108803  -8.88178419700125e-16   2.87441772374786e-16
      -5.50000000000000      -2.92385678079190      -2.92385678079190   8.88178419700125e-16  -3.03769468304658e-16
      -5.00000000000000      -2.74927912606081      -2.74927912606081  -1.33226762955019e-15   4.84587984145165e-16
      -4.50000000000000      -2.56509622207655      -2.56509622207655       0.00000000000000      -0.00000000000000
      -4.00000000000000      -2.36993979699837      -2.36993979699837  -4.44089209850063e-16   1.87384173392304e-16
      -3.50000000000000      -2.16209679907798      -2.16209679907798       0.00000000000000      -0.00000000000000
      -3.00000000000000      -1.93937542076671      -1.93937542076671  -6.66133814775094e-16   3.43478528005550e-16
      -2.50000000000000      -1.69889584199501      -1.69889584199501   2.22044604925031e-16  -1.30699363337239e-16
      -2.00000000000000      -1.43674636688368      -1.43674636688368   2.22044604925031e-16  -1.54546835852906e-16
      -1.50000000000000      -1.14738066037557      -1.14738066037557  -2.22044604925031e-16   1.93523050015807e-16
      -1.00000000000000     -0.822467033424113     -0.822467033424113       0.00000000000000      -0.00000000000000
     -0.500000000000000     -0.448414206923646     -0.448414206923646   1.11022302462516e-16  -2.47588726557497e-16
      0.500000000000000      0.582240526465011      0.582240526465013  -1.11022302462516e-15  -1.90681165972027e-15
       1.00000000000000       1.64493406684823       1.64493406684823       0.00000000000000       0.00000000000000
max(abs(diff)) = 2.22044604925031e-15
max(abs(frac)) = 1.90681165972027e-15
