                      x                     f1                     f2                  delta                   frac
      -9.93750000000000      -13.4480658682327      -13.4480658682326  -4.61852778244065e-14   3.43434351652803e-15
      -9.91250000000000      -8.79585660974266      -8.79585660974267   5.32907051820075e-15  -6.05861458939433e-16
      -9.88750000000000      -6.17467081339337      -6.17467081339329  -7.28306304154103e-14   1.17950628651224e-14
      -9.86250000000000      -4.47606034857648      -4.47606034857647  -1.06581410364015e-14   2.38114328368945e-15
      -9.83750000000000      -3.27355000076033      -3.27355000076034   2.22044604925031e-15  -6.78299109142850e-16
      -9.81250000000000      -2.36797776244917      -2.36797776244914  -2.75335310107039e-14   1.16274449225514e-14
      -9.78750000000000      -1.65376866155741      -1.65376866155739  -1.77635683940025e-14   1.07412655753642e-14
      -9.76250000000000      -1.06966434114499      -1.06966434114498  -8.88178419700125e-15   8.30333765028951e-15
      -9.73750000000000     -0.577604030583075     -0.577604030583059  -1.59872115546023e-14   2.76784972197373e-14
      -9.71250000000000     -0.152620651046716     -0.152620651046706  -1.06581410364015e-14   6.98341997842733e-14
      -9.68750000000000      0.222417175233557      0.222417175233562  -5.77315972805081e-15  -2.59564474820272e-14
      -9.66250000000000      0.559730821286791      0.559730821286793  -2.66453525910038e-15  -4.76038688199221e-15
      -9.63750000000000      0.868352122281538      0.868352122281539  -4.44089209850063e-16  -5.11416047079204e-16
      -9.61250000000000       1.15518431716073       1.15518431716074  -4.88498130835069e-15  -4.22874621459302e-15
      -9.58750000000000       1.42568503937475       1.42568503937476  -2.66453525910038e-15  -1.86895084504003e-15
      -9.56250000000000       1.68432480988005       1.68432480988005   6.66133814775094e-16   3.95490116198273e-16
      -9.53750000000000       1.93490892997223       1.93490892997224  -9.10382880192628e-15  -4.70504252727642e-15
      -9.51250000000000       2.18081570605345       2.18081570605345  -7.10542735760100e-15  -3.25815122198448e-15
      -9.48750000000000       2.42518480392443       2.42518480392443       0.00000000000000       0.00000000000000
      -9.46250000000000       2.67107911097848       2.67107911097848   1.77635683940025e-15   6.65033406198713e-16
      -9.43750000000000       2.92163829255143       2.92163829255144  -7.10542735760100e-15  -2.43200103712904e-15
      -9.41250000000000       3.18024065411555       3.18024065411555  -5.32907051820075e-15  -1.67568152784425e-15
      -9.38750000000000       3.45069149557150       3.45069149557150  -3.55271367880050e-15  -1.02956572135177e-15
      -9.36250000000000       3.73746133601552       3.73746133601553  -1.02140518265514e-14  -2.73288494736391e-15
      -9.33750000000000       4.04600780657230       4.04600780657231  -6.21724893790088e-15  -1.53663789966041e-15
      -9.31250000000000       4.38323414339331       4.38323414339332  -5.32907051820075e-15  -1.21578504452769e-15
      -9.28750000000000       4.75817217838953       4.75817217838954  -1.77635683940025e-15  -3.73327566301201e-16
      -9.26250000000000       5.18304328086591       5.18304328086590   2.66453525910038e-15   5.14087016972628e-16
      -9.23750000000000       5.67497882440081       5.67497882440082  -7.99360577730113e-15  -1.40857015059349e-15
      -9.21250000000000       6.25894588316061       6.25894588316062  -3.55271367880050e-15  -5.67621728182520e-16
      -9.18750000000000       6.97300522264747       6.97300522264747   5.32907051820075e-15   7.64243012595571e-16
      -9.16250000000000       7.87841519420605       7.87841519420608  -3.37507799486048e-14  -4.28395548046587e-15
      -9.13750000000000       9.08075076385713       9.08075076385716  -2.84217094304040e-14  -3.12988542131637e-15
      -9.11250000000000       10.7791739325615       10.7791739325615   1.77635683940025e-15   1.64795266363990e-16
      -9.08750000000000       13.4001599078448       13.4001599078450  -1.08357767203415e-13  -8.08630404029571e-15
      -9.06250000000000       18.0521568128376       18.0521568128378  -1.70530256582424e-13  -9.44653086888494e-15
      -9.03750000000000       28.7988708868467       28.7988708868470  -2.77111666946439e-13  -9.62231012581127e-15
      -9.01250000000000       82.2119387256362       82.2119387256369  -6.82121026329696e-13  -8.29710425156273e-15
      -8.98750000000000      -77.7084352740408      -77.7084352740371  -3.65218966180691e-12   4.69986256823670e-14
      -8.96250000000000      -24.2953812476640      -24.2953812476638  -2.52242671194836e-13   1.03823302307343e-14
      -8.93750000000000      -13.5486947990503      -13.5486947990502  -3.90798504668055e-14   2.88439964486801e-15
      -8.91250000000000      -8.89673933357621      -8.89673933357622   1.06581410364015e-14  -1.19798283806942e-15
      -8.88750000000000      -6.27580861364621      -6.27580861364614  -6.75015598972095e-14   1.07558346745045e-14
      -8.86250000000000      -4.57745451841171      -4.57745451841170  -8.88178419700125e-15   1.94033259342642e-15
      -8.83750000000000      -3.37520184319998      -3.37520184319998   3.55271367880050e-15  -1.05259295409492e-15
      -8.81250000000000      -2.46988859047465      -2.46988859047462  -2.53130849614536e-14   1.02486748022061e-14
      -8.78750000000000      -1.75593979821131      -1.75593979821129  -1.59872115546023e-14   9.10464673725592e-15
      -8.76250000000000      -1.17209711963411      -1.17209711963410  -8.43769498715119e-15   7.19880191309167e-15
      -8.73750000000000     -0.680299794382818     -0.680299794382803  -1.50990331349021e-14   2.21946754351155e-14
      -8.71250000000000     -0.255580754006819     -0.255580754006809  -1.06581410364015e-14   4.17016573795598e-14
      -8.68750000000000      0.119191368781944      0.119191368781949  -4.88498130835069e-15  -4.09843544735809e-14
      -8.66250000000000      0.456237936422625      0.456237936422628  -2.66453525910038e-15  -5.84023170013669e-15
      -8.63750000000000      0.764590773384003      0.764590773384003  -2.22044604925031e-16  -2.90409736364309e-16
      -8.61250000000000       1.05115310779792       1.05115310779793  -4.21884749357559e-15  -4.01354233011184e-15
      -8.58750000000000       1.32138256219092       1.32138256219092  -1.77635683940025e-15  -1.34431684678429e-15
      -8.56250000000000       1.57974964648135       1.57974964648135   1.11022302462516e-15   7.02784157665745e-16
      -8.53750000000000       1.83005965081102       1.83005965081103  -8.65973959207622e-15  -4.73194389496456e-15
      -8.51250000000000       2.07569087031100       2.07569087031101  -7.10542735760100e-15  -3.42316260057374e-15
      -8.48750000000000       2.31978295939215       2.31978295939215       0.00000000000000       0.00000000000000
      -8.46250000000000       2.56539879393753       2.56539879393753   2.22044604925031e-15   8.65536404904220e-16
      -8.43750000000000       2.81567802765077       2.81567802765078  -6.66133814775094e-15  -2.36580251091732e-15
      -8.41250000000000       3.07399895424835       3.07399895424836  -4.88498130835069e-15  -1.58912913799125e-15
      -8.38750000000000       3.34416686174993       3.34416686174993  -3.10862446895044e-15  -9.29566196144819e-16
      -8.36250000000000       3.63065225724382       3.63065225724383  -8.88178419700125e-15  -2.44633293625971e-15
      -8.33750000000000       3.93891275971822       3.93891275971822  -5.32907051820075e-15  -1.35292930899591e-15
      -8.31250000000000       4.27585159305774       4.27585159305775  -5.32907051820075e-15  -1.24631793274888e-15
      -8.28750000000000       4.65050057677446       4.65050057677446  -8.88178419700125e-16  -1.90985551993234e-16
      -8.26250000000000       5.07508106764054       5.07508106764053   3.55271367880050e-15   7.00030921959676e-16
      -8.23750000000000       5.56672442656590       5.56672442656591  -6.21724893790088e-15  -1.11685947812155e-15
      -8.21250000000000       6.15039771491095       6.15039771491095  -8.88178419700125e-16  -1.44409916377739e-16
      -8.18750000000000       6.86416168523251       6.86416168523250   7.10542735760100e-15   1.03514859984833e-15
      -8.16250000000000       7.76927467578859       7.76927467578862  -3.10862446895044e-14  -4.00117719951110e-15
      -8.13750000000000       8.97131163937013       8.97131163937015  -2.66453525910038e-14  -2.97006208925704e-15
      -8.11250000000000       10.6694345635629       10.6694345635629   7.10542735760100e-15   6.65961004331637e-16
      -8.08750000000000       13.2901186423703       13.2901186423704  -1.03028696685215e-13  -7.75227817430820e-15
      -8.06250000000000       17.9418119852514       17.9418119852516  -1.63424829224823e-13  -9.10860226153079e-15
      -8.03750000000000       28.6882208176904       28.6882208176907  -2.48689957516035e-13  -8.66871316616051e-15
      -8.01250000000000       82.1009817214753       82.1009817214757  -4.26325641456060e-13  -5.19269846129676e-15
      -7.98750000000000      -77.8197009207666      -77.8197009207617  -4.94537744089030e-12   6.35491704848085e-14
      -7.96250000000000      -24.4069572588216      -24.4069572588214  -2.20268248085631e-13   9.02481393931313e-15
      -7.93750000000000      -13.6605829109384      -13.6605829109384  -2.48689957516035e-14   1.82049301363929e-15
      -7.91250000000000      -9.00894129711057      -9.00894129711058   1.42108547152020e-14  -1.57741672928425e-15
      -7.88750000000000      -6.38832619451830      -6.38832619451825  -4.61852778244065e-14   7.22963674961331e-15
      -7.86250000000000      -4.69028949725510      -4.69028949725508  -2.04281036531029e-14   4.35540357691313e-15
      -7.83750000000000      -3.48835601576009      -3.48835601576010   3.99680288865056e-15  -1.14575544198853e-15
      -7.81250000000000      -2.58336376777961      -2.58336376777959  -2.48689957516035e-14   9.62659462123621e-15
      -7.78750000000000      -1.86973780674616      -1.86973780674614  -1.50990331349021e-14   8.07548153565905e-15
      -7.76250000000000      -1.28621980151715      -1.28621980151715  -1.77635683940025e-15   1.38106786826401e-15
      -7.73750000000000     -0.794749007544462     -0.794749007544464   1.77635683940025e-15  -2.23511677590974e-15
      -7.71250000000000     -0.370358372371238     -0.370358372371229  -9.32587340685131e-15   2.51806739162994e-14
      -7.68750000000000    0.00408345511287900    0.00408345511288344  -4.44089209850063e-15  -1.08753297776911e-12
      -7.66250000000000      0.340797820982510      0.340797820982511  -1.55431223447522e-15  -4.56080449691309e-15
      -7.63750000000000      0.648816533152443      0.648816533152454  -1.04360964314765e-14  -1.60848188944413e-14
      -7.61250000000000      0.935042803008383      0.935042803008389  -6.21724893790088e-15  -6.64915971536021e-15
      -7.58750000000000       1.20493423613561       1.20493423613561  -1.33226762955019e-15  -1.10567663329324e-15
      -7.56250000000000       1.46296132531347       1.46296132531347   1.77635683940025e-15   1.21421995828880e-15
      -7.53750000000000       1.71292934334396       1.71292934334397  -8.43769498715119e-15  -4.92588618435315e-15
      -7.51250000000000       1.95821656781466       1.95821656781467  -4.44089209850063e-15  -2.26782480114371e-15
      -7.48750000000000       2.20196263538627       2.20196263538627  -1.33226762955019e-15  -6.05036438012256e-16
      -7.46250000000000       2.44723040398185       2.44723040398184   2.22044604925031e-15   9.07330198920978e-16
      -7.43750000000000       2.69715950913225       2.69715950913226  -6.21724893790088e-15  -2.30510984494985e-15
      -7.41250000000000       2.95512822616514       2.95512822616515  -4.44089209850063e-15  -1.50277475582288e-15
      -7.38750000000000       3.22494182449209       3.22494182449209       0.00000000000000       0.00000000000000
      -7.36250000000000       3.51107079237089       3.51107079237088   3.10862446895044e-15   8.85377895457160e-16
      -7.33750000000000       3.81897272973321       3.81897272973321  -5.77315972805081e-15  -1.51170488417028e-15
      -7.31250000000000       4.15555084117804       4.15555084117805  -3.55271367880050e-15  -8.54932069076395e-16
      -7.28750000000000       4.52983692669905       4.52983692669905  -8.88178419700125e-16  -1.96072934649185e-16
      -7.26250000000000       4.95405232331374       4.95405232331375  -1.33226762955019e-14  -2.68924820046922e-15
      -7.23750000000000       5.44532837193770       5.44532837193771  -9.76996261670138e-15  -1.79419163535674e-15
      -7.21250000000000       6.02863211369330       6.02863211369330  -1.77635683940025e-15  -2.94653381712491e-16
      -7.18750000000000       6.74202428065235       6.74202428065235   7.10542735760100e-15   1.05390118187375e-15
