

#                         t                       fai                      fai'                       gai                      gai'                       hai                      hai'
#                 =========                 =========                 =========                 =========                 =========                 =========                 =========
 -2.000000000000000000e+01 -1.323537319540231430e+05  6.484079619710515472e+03  6.902184083985702566e+04  2.557016780508872369e+05  2.126280361146947169e+05  1.823688592335553470e+06
 -1.999000000000000000e+01 -2.597775041764009986e+05  2.088869301405210957e+05  3.111615656404118575e+05 -5.368781741038310535e+05 -4.042567374920253397e+05  1.801567865054470402e+06
 -1.998000000000000000e+01 -2.100666955069317814e+05 -2.173209441878622379e+05  3.461464950543426210e+05 -9.780907988450081330e+05  1.138130031362672234e+06  7.312185009227175651e+05
 -1.997000000000000000e+01 -1.836758427396544333e+05  1.110788460230607973e+04  2.908526915183228328e+05 -1.651506241005944199e+06  1.145638167113522322e+06  6.365929243642806537e+05
 -1.996000000000000000e+01 -4.287871181931758792e+04 -3.088969994942211223e+05  6.586958243680755901e+03 -5.849999297119088334e+05  1.626155524308653839e+06  1.413665548661123998e+05
 -1.995000000000000000e+01 -1.906740821742791782e+05 -2.685725319282450446e+05  4.651426595932814062e+05 -5.081922574399986446e+05  1.965654757168185856e+06  1.011808890595171985e+06
 -1.994000000000000000e+01  6.271125150491543138e+04 -2.346194875677244863e+05  1.136215506004006947e+05 -5.285214735336278368e+05  4.016354786182549464e+05  8.602236985091385001e+05
 -1.993000000000000000e+01 -8.775469929248621607e+04 -3.337919163023522522e+05 -8.362822735578931516e+04 -5.094198162109771591e+05  6.870005345851472830e+05  2.921675311334695721e+05
 -1.992000000000000000e+01 -8.700327356523062623e+04 -1.356853749349695871e+05  1.187234389585376558e+05  2.161606315124999593e+04  7.769100555872567949e+05  9.411387199500770997e+05
 -1.991000000000000000e+01 -9.521104059545294160e+04 -1.324802856229757351e+04  1.937401230468215038e+05  3.618446461945854042e+05  1.319658680104718712e+05  9.073618422185709440e+05
 -1.990000000000000000e+01  4.274150332284972323e+04 -1.091308060721045984e+05 -3.333599034315879388e+04  3.180517594963143529e+05  1.345974833518117073e+06 -5.616625371084738380e+05
 -1.989000000000000000e+01 -9.082752269786703822e+04 -4.063279532479342980e+04 -3.823747076973282652e+04  1.141499976705849296e+05  1.282420099423896360e+06  1.497286262812558550e+05
 -1.988000000000000000e+01 -1.079545926078093131e+04  8.411231794332067083e+04 -1.424178198319826755e+05  1.707996943218173110e+05  6.028259797823097709e+05  2.839012968435767004e+05
 -1.987000000000000000e+01  1.345916090455117872e+04 -1.856503467252264323e+05  2.341961771952118051e+05 -4.848770218638792873e+05  9.521761706968666449e+05 -1.259073782443221261e+05
 -1.986000000000000000e+01 -1.110262311177164350e+05 -1.757270525061315428e+05  5.325939615033523543e+02 -2.249277086203901051e+05  6.947395997828292458e+05 -5.441650193752165202e+04
 -1.985000000000000000e+01 -8.204451970047763397e+03 -1.113141254094233818e+05  1.399563784744518359e+05 -8.458791630838489023e+05  9.755494006155538022e+05  8.860386130631029656e+05
 -1.984000000000000000e+01  9.369881184468244609e+04 -3.740929983273451536e+04 -7.841039535917383235e+04 -2.973979622208524829e+05  5.432099878425651274e+05  2.496879095466205885e+05
 -1.983000000000000000e+01 -1.023591613509165022e+05  2.346383697185241989e+04  1.406933301931578631e+05 -9.230598151150472790e+05 -9.760587285158722944e+04  5.397133171829228959e+05
 -1.982000000000000000e+01 -5.830065700362084203e+04 -8.246938659073360281e+04 -1.063041740686362905e+04 -4.113990389985274377e+05  2.905358535451842799e+05  7.527282931908367592e+05
 -1.981000000000000000e+01 -2.018033802806999851e+04 -1.217768273116083522e+05  2.060393763593238832e+05 -5.057293394125305679e+05  4.979662708642443262e+05 -2.107546002545890004e+05
 -1.980000000000000000e+01 -4.586749527535808876e+04 -1.583271642778867109e+05  1.982544387297199685e+05 -5.146845047118710278e+05  7.011927005290165725e+05  1.380282907361949357e+05
 -1.979000000000000000e+01 -9.255025732893468017e+04 -7.325685753205798135e+04  1.034275726953625830e+05 -4.111109287148248862e+05  5.660027726021153159e+05  7.569538613959223647e+04
 -1.978000000000000000e+01 -6.549928555900537651e+04 -5.758351220672783692e+04  1.161878441861023180e+04 -5.676258582776475835e+05  7.738050353584394077e+05  1.444461092286223235e+05
 -1.977000000000000000e+01  1.517511247034767048e+04 -8.967249375464653348e+03  1.153641642462639956e+05 -2.386732028370083152e+05  6.084261665063929275e+05  4.345098709405532348e+05
 -1.976000000000000000e+01 -1.371020277948091953e+04 -1.702353712684761005e+04  2.037329843952879219e+03  3.956494577435138351e+04  2.023513068810311991e+05  1.498935562684531218e+05
 -1.975000000000000000e+01  6.236563153158503263e+03 -4.453661365287828241e+04  1.449749183236290858e+05  1.129314361856427233e+05  5.738752846860205085e+05  7.487965613510728880e+05
 -1.974000000000000000e+01 -1.552027678716945418e+04 -1.482491594385708312e+05  1.280143390631562840e+05 -4.788296864934146541e+05  5.777938423065024558e+05  1.682186557772922307e+04
 -1.973000000000000000e+01 -6.610844153347305109e+04 -4.801234032814094141e+04  2.259145854336238090e+04 -3.711072166078506989e+05  2.390298107371484773e+05 -1.755072715752274482e+04
 -1.972000000000000000e+01 -4.834790197926095356e+03  3.115220304906183916e+04  7.006654903207027180e+04 -3.588935900988214242e+05  2.616281164308874152e+05 -1.095716569546135352e+05
 -1.971000000000000000e+01 -8.698676123713529075e+03 -4.942139640725290803e+04 -1.145223372376178911e+04  6.663131034998410176e+04 -2.091420726236843637e+05  2.751493293614138342e+05
 -1.970000000000000000e+01 -2.869974554780140263e+04 -4.083362630797620718e+03  1.249967487449583528e+04 -3.844835840549953189e+04  3.966502081765945808e+05 -1.686123699179349898e+05
 -1.969000000000000000e+01 -4.777056865159390043e+04 -3.260951908134455108e+03 -5.576606235784728596e+04 -2.783121145504832590e+05  5.065746482060925592e+05 -1.354188201873221485e+05
 -1.968000000000000000e+01 -4.564617396261849784e+04 -2.474681871636485491e+04  2.707708792937908647e+03 -3.895740597939471424e+04  2.554688646143389439e+05  1.876411405213087327e+05
 -1.967000000000000000e+01 -2.622541648769314690e+04 -3.405250017492168084e+04  5.120588385211194203e+04 -2.882970908286947872e+05  5.858908398490391323e+05  1.311826719500442308e+05
 -1.966000000000000000e+01 -4.056872779033717484e+04 -6.595754156544985091e+04  1.602048517656926532e+05 -1.562338565359743776e+05  5.247851160961317472e+05  5.925390382327095706e+03
 -1.965000000000000000e+01 -4.433769314104777335e+04  3.241367327425187605e+04  2.100385393317443617e+04 -1.377536719525640280e+05  1.762155391590305685e+05  3.618694956322875582e+05
 -1.964000000000000000e+01 -4.333684698306524133e+04  2.019343654870845968e+04 -3.613594907676028101e+04 -2.098600139231571372e+04  1.377308876938789633e+05  7.947675998027789480e+04
 -1.963000000000000000e+01 -2.700856884136915228e+04  3.735175690388204314e+04  2.736202781539663545e+04 -3.709224664722374616e+04  2.551444531538407471e+05  2.164703147267459031e+05
 -1.962000000000000000e+01 -2.185253648800691687e+04 -8.922962947481964338e+04  5.872918200524512904e+04  5.917273260270668290e+04  2.594055538561579348e+05 -1.867325514236700697e+05
 -1.961000000000000000e+01  3.430069691447099711e+03 -4.917864710330815041e+04 -1.419492305214111136e+04 -1.673101209285933382e+05  4.097260954406831350e+05 -2.663586786300611805e+05
 -1.960000000000000000e+01 -1.714178601552693117e+04 -7.723631370336412192e+03  1.841490656847306301e+04  9.505666599703574504e+04  2.927312647402603449e+05 -2.486995306649984368e+04
 -1.959000000000000000e+01 -2.544531002194223204e+04  1.203414194010532912e+04 -1.178755517275071656e+04  2.493933457939932492e+05  2.753422327055062434e+05  1.865952434320279607e+04
 -1.958000000000000000e+01  1.069718792114218290e+04 -4.488056904314193176e+04  5.228143674725974507e+04 -2.187382351412037326e+05  2.310496240062133859e+05  1.888618664745069463e+05
 -1.957000000000000000e+01  6.230298022968414563e+03  8.613047634687076810e+03  6.578902955483205063e+03 -1.535754290920576311e+05  1.540600164774716501e+03  1.822600054031646815e+05
 -1.956000000000000000e+01  7.158173771570578852e+03 -3.217982119490595445e+04  1.150856956742129807e+04 -2.076761639651392132e+04  5.022140149012194294e+04  1.430432277305105766e+05
 -1.955000000000000000e+01 -3.178668551260802474e+04  1.193857289273390815e+04  3.012973787489857981e+04 -1.401261904287100526e+05  9.322774858868134024e+04  1.778573829195196713e+05
 -1.954000000000000000e+01  1.697158612240777269e+04 -3.275762081534135436e+04  2.331027516214590314e+04 -8.132988615024856917e+04  1.338361653220592714e+05  1.705973954327654259e+05
 -1.953000000000000000e+01 -3.527822470620364618e+03 -1.761556535079421529e+04  1.589347995805071019e+04 -6.639784527271278392e+04  4.171613960857235348e+05  8.179552024354622363e+04
 -1.952000000000000000e+01 -6.968677623054549715e+03  6.323327500105864111e+03  2.854893048396918496e+04  2.734094567063886140e+04  2.199921212135334575e+05  7.267997162726828466e+04
 -1.951000000000000000e+01  1.224391507701395618e+03 -1.737940711454308537e+04  1.205534601201272340e+04  5.254893840567321978e+04  1.470196246671403975e+05  2.383192281785529668e+05
