

#                      t                     Gi                    Gip                     Hi                    Hip
#              =========              =========              =========              =========              =========
 -1.979000000000000e+01 -2.763339555839473e-01  2.685944932141975e-01  1.604287563418290e-02  8.085584116221033e-04
 -1.978000000000000e+01 -2.733904116477360e-01  3.198247251472774e-01  1.605092327608800e-02  8.093697983640333e-04
 -1.977000000000000e+01 -2.699376474036237e-01  3.703947324428926e-01  1.605897893163817e-02  8.101824005225051e-04
 -1.976000000000000e+01 -2.659827648708794e-01  4.202051612325334e-01  1.606704261267661e-02  8.109962205094454e-04
 -1.975000000000000e+01 -2.615338517720646e-01  4.691583104262990e-01  1.607511433106953e-02  8.118112607427159e-04
 -1.974000000000000e+01 -2.565999640486890e-01  5.171583216689009e-01  1.608319409870620e-02  8.126275236461282e-04
 -1.973000000000000e+01 -2.511911064970830e-01  5.641113651697492e-01  1.609128192749900e-02  8.134450116494624e-04
 -1.972000000000000e+01 -2.453182115676226e-01  6.099258210507251e-01  1.609937782938350e-02  8.142637271884847e-04
 -1.971000000000000e+01 -2.389931163737432e-01  6.545124558672588e-01  1.610748181631845e-02  8.150836727049644e-04
 -1.970000000000000e+01 -2.322285379608425e-01  6.977845939667819e-01  1.611559390028592e-02  8.159048506466920e-04
 -1.969000000000000e+01 -2.250380468882534e-01  7.396582833619575e-01  1.612371409329130e-02  8.167272634674957e-04
 -1.968000000000000e+01 -2.174360391806724e-01  7.800524558074929e-01  1.613184240736335e-02  8.175509136272610e-04
 -1.967000000000000e+01 -2.094377067087284e-01  8.188890807806596e-01  1.613997885455431e-02  8.183758035919459e-04
 -1.966000000000000e+01 -2.010590060608051e-01  8.560933130815495e-01  1.614812344693990e-02  8.192019358336020e-04
 -1.965000000000000e+01 -1.923166259715793e-01  8.915936337795503e-01  1.615627619661940e-02  8.200293128303889e-04
 -1.964000000000000e+01 -1.832279533749725e-01  9.253219842489557e-01  1.616443711571571e-02  8.208579370665939e-04
 -1.963000000000000e+01 -1.738110381519555e-01  9.572138930499813e-01  1.617260621637540e-02  8.216878110326509e-04
 -1.962000000000000e+01 -1.640845566458003e-01  9.872085954272419e-01  1.618078351076875e-02  8.225189372251558e-04
 -1.961000000000000e+01 -1.540677740198766e-01  1.015249145212076e+00  1.618896901108987e-02  8.233513181468878e-04
 -1.960000000000000e+01 -1.437805055348252e-01  1.041282518931973e+00  1.619716272955665e-02  8.241849563068248e-04
 -1.959000000000000e+01 -1.332430768240204e-01  1.065259711945718e+00  1.620536467841092e-02  8.250198542201634e-04
 -1.958000000000000e+01 -1.224762832480195e-01  1.087135826439183e+00  1.621357486991845e-02  8.258560144083360e-04
 -1.957000000000000e+01 -1.115013484099323e-01  1.106870151134076e+00  1.622179331636904e-02  8.266934393990296e-04
 -1.956000000000000e+01 -1.003398819155591e-01  1.124426232577606e+00  1.623002003007653e-02  8.275321317262058e-04
 -1.955000000000000e+01 -8.901383646288098e-02  1.139771937899127e+00  1.623825502337892e-02  8.283720939301156e-04
 -1.954000000000000e+01 -7.754546434682556e-02  1.152879508936431e+00  1.624649830863837e-02  8.292133285573222e-04
 -1.953000000000000e+01 -6.595727346614341e-02  1.163725607651675e+00  1.625474989824130e-02  8.300558381607159e-04
 -1.952000000000000e+01 -5.427198291963838e-02  1.172291352774726e+00  1.626300980459843e-02  8.308996252995357e-04
 -1.951000000000000e+01 -4.251247827991257e-02  1.178562347628627e+00  1.627127804014484e-02  8.317446925393861e-04
 -1.950000000000000e+01 -3.070176663301515e-02  1.182528699109666e+00  1.627955461734003e-02  8.325910424522569e-04
 -1.949000000000000e+01 -1.886293147225250e-02  1.184185027812025e+00  1.628783954866798e-02  8.334386776165412e-04
 -1.948000000000000e+01 -7.019087535136909e-03  1.183530469304063e+00  1.629613284663719e-02  8.342876006170551e-04
 -1.947000000000000e+01  4.806664328533407e-03  1.180568666580960e+00  1.630443452378078e-02  8.351378140450571e-04
 -1.946000000000000e+01  1.659128216901659e-02  1.175307753735422e+00  1.631274459265651e-02  8.359893204982647e-04
 -1.945000000000000e+01  2.831182774228360e-02  1.167760330905197e+00  1.632106306584687e-02  8.368421225808779e-04
 -1.944000000000000e+01  3.994551102158048e-02  1.157943430573142e+00  1.632938995595910e-02  8.376962229035932e-04
 -1.943000000000000e+01  5.146973432920861e-02  1.145878475312112e+00  1.633772527562531e-02  8.385516240836271e-04
 -1.942000000000000e+01  6.286213600339215e-02  1.131591227083288e+00  1.634606903750246e-02  8.394083287447325e-04
 -1.941000000000000e+01  7.410063351636181e-02  1.115111728212705e+00  1.635442125427251e-02  8.402663395172213e-04
 -1.940000000000000e+01  8.516346596089415e-02  1.096474234186882e+00  1.636278193864239e-02  8.411256590379794e-04
 -1.939000000000000e+01  9.602923582461613e-02  1.075717138423145e+00  1.637115110334413e-02  8.419862899504899e-04
 -1.938000000000000e+01  1.066769499723900e-01  1.052882889186027e+00  1.637952876113490e-02  8.428482349048521e-04
 -1.937000000000000e+01  1.170860597590610e-01  1.028017898835876e+00  1.638791492479704e-02  8.437114965577988e-04
 -1.936000000000000e+01  1.272365001971858e-01  1.001172445609075e+00  1.639630960713819e-02  8.445760775727194e-04
 -1.935000000000000e+01  1.371087281057312e-01  9.724005681445862e-01  1.640471282099126e-02  8.454419806196766e-04
 -1.934000000000000e+01  1.466837591685240e-01  9.417599529836743e-01  1.641312457921456e-02  8.463092083754289e-04
 -1.933000000000000e+01  1.559432038333122e-01  9.093118152830244e-01  1.642154489469186e-02  8.471777635234484e-04
 -1.932000000000000e+01  1.648693019847608e-01  8.751207729938612e-01  1.642997378033240e-02  8.480476487539412e-04
 -1.931000000000000e+01  1.734449563273567e-01  8.392547147713122e-01  1.643841124907100e-02  8.489188667638692e-04
 -1.930000000000000e+01  1.816537644169124e-01  8.017846618893554e-01  1.644685731386810e-02  8.497914202569677e-04
 -1.929000000000000e+01  1.894800492820184e-01  7.627846244479728e-01  1.645531198770984e-02  8.506653119437678e-04
 -1.928000000000000e+01  1.969088885799989e-01  7.223314521679102e-01  1.646377528360810e-02  8.515405445416145e-04
 -1.927000000000000e+01  2.039261422345452e-01  6.805046800796326e-01  1.647224721460058e-02  8.524171207746892e-04
 -1.926000000000000e+01  2.105184785056473e-01  6.373863694203318e-01  1.648072779375084e-02  8.532950433740280e-04
 -1.925000000000000e+01  2.166733984454878e-01  5.930609440615234e-01  1.648921703414840e-02  8.541743150775446e-04
 -1.924000000000000e+01  2.223792586971758e-01  5.476150227976678e-01  1.649771494890877e-02  8.550549386300484e-04
 -1.923000000000000e+01  2.276252925966254e-01  5.011372478325788e-01  1.650622155117351e-02  8.559369167832658e-04
 -1.922000000000000e+01  2.324016295412918e-01  4.537181098062820e-01  1.651473685411035e-02  8.568202522958629e-04
 -1.921000000000000e+01  2.366993125927948e-01  4.054497697116998e-01  1.652326087091316e-02  8.577049479334628e-04
 -1.920000000000000e+01  2.405103142841758e-01  3.564258780536133e-01  1.653179361480211e-02  8.585910064686696e-04
 -1.919000000000000e+01  2.438275506059714e-01  3.067413916070706e-01  1.654033509902366e-02  8.594784306810868e-04
 -1.918000000000000e+01  2.466448931488016e-01  2.564923881370658e-01  1.654888533685067e-02  8.603672233573403e-04
 -1.917000000000000e+01  2.489571793839998e-01  2.057758794414148e-01  1.655744434158243e-02  8.612573872910978e-04
 -1.916000000000000e+01  2.507602210672749e-01  1.546896230826005e-01  1.656601212654476e-02  8.621489252830913e-04
 -1.915000000000000e+01  2.520508107541187e-01  1.033319331752499e-01  1.657458870509004e-02  8.630418401411366e-04
