

#                      x                    ber                    bei                    ker                    kei              Wronskian
#              =========              =========              =========              =========              =========
  6.400000000000000e-01  1.272040051343516e+00  1.305611955981746e-01                    nan                    nan
  6.500000000000000e-01  1.272692617033465e+00  1.347623432889147e-01                    nan                    nan
  6.600000000000000e-01  1.273184668055796e+00  1.390162591480368e-01                    nan                    nan
  6.700000000000000e-01  1.273520232707755e+00  1.433220355454768e-01                    nan                    nan
  6.800000000000000e-01  1.273703195691885e+00  1.476787603975287e-01                    nan                    nan
  6.899999999999999e-01  1.273737304791758e+00  1.520855176348669e-01                    nan                    nan
  7.000000000000000e-01  1.273626177146165e+00  1.565413876514407e-01                    nan                    nan
  7.100000000000000e-01  1.273373305151966e+00  1.610454477350747e-01                    nan                    nan
  7.200000000000000e-01  1.272982062023113e+00  1.655967724805589e-01                    nan                    nan
  7.300000000000000e-01  1.272455707030941e+00  1.701944341859725e-01                    nan                    nan
  7.400000000000000e-01  1.271797390448664e+00  1.748375032329481e-01                    nan                    nan
  7.500000000000000e-01  1.271010158221014e+00  1.795250484515386e-01                    nan                    nan
  7.600000000000000e-01  1.270096956378230e+00  1.842561374703272e-01                    nan                    nan
  7.700000000000000e-01  1.269060635212002e+00  1.890298370523762e-01                    nan                    nan
  7.800000000000000e-01  1.267903953229510e+00  1.938452134175889e-01                    nan                    nan
  7.900000000000000e-01  1.266629580900416e+00  1.987013325520281e-01                    nan                    nan
  8.000000000000000e-01  1.265240104210473e+00  2.035972605047074e-01                    nan                    nan
  8.100000000000001e-01  1.263738028034322e+00  2.085320636723489e-01                    nan                    nan
  8.200000000000000e-01  1.262125779339103e+00  2.135048090725760e-01                    nan                    nan
  8.300000000000000e-01  1.260405710229573e+00  2.185145646059900e-01                    nan                    nan
  8.400000000000000e-01  1.258580100844643e+00  2.235603993075556e-01                    nan                    nan
  8.500000000000000e-01  1.256651162114497e+00  2.286413835877058e-01                    nan                    nan
  8.600000000000000e-01  1.254621038386759e+00  2.337565894635541e-01                    nan                    nan
  8.700000000000000e-01  1.252491809929589e+00  2.389050907805869e-01                    nan                    nan
  8.800000000000000e-01  1.250265495318988e+00  2.440859634251920e-01                    nan                    nan
  8.900000000000000e-01  1.247944053717082e+00  2.492982855283644e-01                    nan                    nan
  9.000000000000000e-01  1.245529387047702e+00  2.545411376609170e-01                    nan                    nan
  9.100000000000000e-01  1.243023342075096e+00  2.598136030205053e-01                    nan                    nan
  9.200000000000000e-01  1.240427712391228e+00  2.651147676107709e-01                    nan                    nan
  9.300000000000000e-01  1.237744240316768e+00  2.704437204128856e-01                    nan                    nan
  9.399999999999999e-01  1.234974618720484e+00  2.757995535497760e-01                    nan                    nan
  9.500000000000000e-01  1.232120492761487e+00  2.811813624432913e-01                    nan                    nan
  9.600000000000000e-01  1.229183461558448e+00  2.865882459645677e-01                    nan                    nan
  9.700000000000000e-01  1.226165079789652e+00  2.920193065778344e-01                    nan                    nan
  9.800000000000000e-01  1.223066859227520e+00  2.974736504778950e-01                    nan                    nan
  9.900000000000000e-01  1.219890270210972e+00  3.029503877215102e-01                    nan                    nan
  1.000000000000000e+00  1.216636743058806e+00  3.084486323528970e-01                    nan                    nan
  1.010000000000000e+00  1.213307669427079e+00  3.139675025235540e-01                    nan                    nan
  1.020000000000000e+00  1.209904403613268e+00  3.195061206066134e-01                    nan                    nan
  1.030000000000000e+00  1.206428263809850e+00  3.250636133059110e-01                    nan                    nan
  1.040000000000000e+00  1.202880533309753e+00  3.306391117599631e-01                    nan                    nan
  1.050000000000000e+00  1.199262461666002e+00  3.362317516410250e-01                    nan                    nan
