

                         x                       ber                       bei                       ker                       kei                 Wronskian
  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00                      -nan                      -nan
  5.000000000000000000e-01  1.243381319730472508e+00  7.777885419813961141e-02 -1.152526805523968898e-01 -5.647022858176477818e-01
  5.100000000000000000e-01  1.246804910639532241e+00  8.114974506599052340e-02 -1.318795340300925325e-01 -5.726689938168415844e-01
  5.200000000000000000e-01  1.249991456509293306e+00  8.458532700804446753e-02 -1.486652341729379100e-01 -5.806370132471831007e-01
  5.300000000000000000e-01  1.252948027929531547e+00  8.808481707910381876e-02 -1.656092673142772439e-01 -5.886083250418344906e-01
  5.400000000000000000e-01  1.255681389235268729e+00  9.164741870908372633e-02 -1.827111776223373405e-01 -5.965848869023672409e-01
  5.500000000000000000e-01  1.258198016591107534e+00  9.527232256234761986e-02 -1.999705616510664122e-01 -6.045686366921573720e-01
  5.600000000000000000e-01  1.260504114678174891e+00  9.895870735876121067e-02 -2.173870633805909343e-01 -6.125614955662705592e-01
  5.700000000000000000e-01  1.262605632116652470e+00  1.027057406585167578e-01 -2.349603696925424263e-01 -6.205653708643409602e-01
  5.800000000000000000e-01  1.264508275742024460e+00  1.065125796126345455e-01 -2.526902062323099627e-01 -6.285821587898810149e-01
  5.900000000000000000e-01  1.266217523840213655e+00  1.103783716809166468e-01 -2.705763336161338771e-01 -6.366137468967928143e-01
  6.000000000000000000e-01  1.267738638435438583e+00  1.143022553190077413e-01 -2.886185439460156347e-01 -6.446620164015268412e-01
  6.100000000000000000e-01  1.269076676714680356e+00  1.182833606361077943e-01 -3.068166575997984314e-01 -6.527288443373022441e-01
  6.200000000000000000e-01  1.270236501663906390e+00  1.223208100247807378e-01 -3.251705202675731894e-01 -6.608161055650231889e-01
  6.300000000000000000e-01  1.271222791983496404e+00  1.264137187642109623e-01 -3.436800002088696455e-01 -6.689256746539634536e-01
  6.400000000000000000e-01  1.272040051343515821e+00  1.305611955981746148e-01 -3.623449857079730985e-01 -6.770594276439167817e-01
  6.500000000000000000e-01  1.272692617033464705e+00  1.347623432889146644e-01 -3.811653827072240025e-01 -6.852192436992984414e-01
  6.600000000000000000e-01  1.273184668055795678e+00  1.390162591480367871e-01 -4.001411126003606189e-01 -6.934070066646125809e-01
  6.700000000000000000e-01  1.273520232707755223e+00  1.433220355454767582e-01 -4.192721101698973628e-01 -7.016246065297519198e-01
  6.800000000000000000e-01  1.273703195691884825e+00  1.476787603975287115e-01 -4.385583216542298811e-01 -7.098739408127554466e-01
  6.900000000000000000e-01  1.273737304791757401e+00  1.520855176348668606e-01 -4.579997029316534293e-01 -7.181569158669025134e-01
  7.000000000000000000e-01  1.273626177146164843e+00  1.565413876514406771e-01 -4.775962178098004644e-01 -7.264754481183564662e-01
  7.100000000000000000e-01  1.273373305151966297e+00  1.610454477350747020e-01 -4.973478364101693308e-01 -7.348314652399776162e-01
  7.200000000000000000e-01  1.272982062023112238e+00  1.655967724805588153e-01 -5.172545336384481410e-01 -7.432269072663952973e-01
  7.300000000000000000e-01  1.272455707030940317e+00  1.701944341859725904e-01 -5.373162877322532584e-01 -7.516637276549543945e-01
  7.400000000000000000e-01  1.271797390448663677e+00  1.748375032329480612e-01 -5.575330788787148040e-01 -7.601438942967265287e-01
  7.500000000000000000e-01  1.271010158221013420e+00  1.795250484515385762e-01 -5.779048878950648150e-01 -7.686693904813943462e-01
  7.600000000000000000e-01  1.270096956378230002e+00  1.842561374703272029e-01 -5.984316949660280742e-01 -7.772422158194740843e-01
  7.700000000000000000e-01  1.269060635212002374e+00  1.890298370523761634e-01 -6.191134784323905513e-01 -7.858643871250324502e-01
  7.800000000000000000e-01  1.267903953229510118e+00  1.938452134175888621e-01 -6.399502136256341598e-01 -7.945379392617750130e-01
  7.900000000000000000e-01  1.266629580900416263e+00  1.987013325520280446e-01 -6.609418717439862043e-01 -8.032649259551314572e-01
  8.000000000000000000e-01  1.265240104210472539e+00  2.035972605047073493e-01 -6.820884187656437906e-01 -8.120474205727352143e-01
  8.100000000000000000e-01  1.263738028034321820e+00  2.085320636723488564e-01 -7.033898143953029779e-01 -8.208875168754886143e-01
  8.200000000000000000e-01  1.262125779339103104e+00  2.135048090725760737e-01 -7.248460110404544081e-01 -8.297873297412174823e-01
  8.300000000000000000e-01  1.260405710229572762e+00  2.185145646059900150e-01 -7.464569528142056953e-01 -8.387489958627490468e-01
