

#                      t                    fai                   fai'                    gai                   gai'                    hai                   hai'
#              =========              =========              =========              =========              =========              =========              =========
 -2.000000000000000e+01                   -inf                    inf                   -inf                    inf                   -inf                    inf
 -1.999000000000000e+01                   -inf                    inf                   -inf                    inf                   -inf                    inf
 -1.998000000000000e+01 -1.153285884193400e+08 -5.347286554062367e+08  4.830483014398409e+08 -4.853713221653386e+08  1.430608711777743e+08  1.198613482794584e+09
 -1.997000000000000e+01 -9.185911662578658e+05 -5.003389158857715e+08  2.093787000978436e+08  3.407497067685846e+08 -1.897221620927521e+09  1.005087677541291e+07
 -1.996000000000000e+01 -2.464173386302516e+07 -1.750934607482572e+08  2.107776320275875e+08  8.216033970432904e+08 -1.274473112340326e+09 -1.200716926797028e+09
 -1.995000000000000e+01 -5.540554760528002e+07  2.925831477756541e+06 -1.167390815718245e+08  2.569465930552353e+09 -1.048103179541371e+09 -5.826099381513674e+08
 -1.994000000000000e+01  2.156310390021383e+08  1.795968194283926e+08  1.348937803026609e+08  1.775271698442251e+09 -1.733134355652088e+07  5.802182010486021e+08
 -1.993000000000000e+01 -5.170656575014713e+06 -6.303674461775504e+08  3.392448207515510e+08 -1.604683953747813e+09  1.212503893530523e+09  4.079942609732777e+08
 -1.992000000000000e+01  1.423893990996611e+08 -7.810490126948252e+08  2.068522477630240e+06  1.920293951218911e+09 -6.539983555032193e+07  1.343396987454109e+08
 -1.991000000000000e+01  5.884002293497480e+07 -6.095410976504719e+08  3.416418242596645e+08  2.390697460119033e+09 -1.678216040734988e+09 -1.459373437171276e+09
 -1.990000000000000e+01  5.980820826413587e+07 -2.957042576067809e+08  1.509484291193225e+08  3.632038536514274e+08 -1.455697472034706e+09 -1.629980947504800e+09
 -1.989000000000000e+01  1.822065609802615e+08 -1.120674536351838e+08  9.044522075953901e+07 -4.053863151396719e+08 -1.248177295026131e+09  8.386718165410610e+08
 -1.988000000000000e+01  1.116236036624805e+08 -6.019090954539374e+08  2.841849635122189e+08  1.923574646092048e+09 -2.885436877896333e+08 -3.428925876546028e+08
 -1.987000000000000e+01  1.305061725723994e+08  4.545477757379407e+07  1.421349372823974e+08  1.919291186863505e+09 -2.310460876588990e+09  2.241543075354315e+08
 -1.986000000000000e+01 -9.168830179911190e+07 -4.038845005075967e+08  3.592770627581489e+07  1.161216481619277e+09 -1.780859876762618e+09  9.345539345668714e+08
 -1.985000000000000e+01 -1.538522517167514e+07 -2.872288095848366e+08  2.499042146145692e+08  4.921756935179304e+08 -8.586667170091908e+08 -1.277541306550885e+08
 -1.984000000000000e+01 -1.602129196111791e+08 -3.770830279953573e+08  2.405713912496013e+08  6.592770412424175e+08  1.048689183135053e+08  7.022804598502921e+08
 -1.983000000000000e+01 -2.377796277005284e+08 -2.208717577171234e+08 -9.464267638025491e+07  1.440555681250586e+07 -6.820829631105500e+08  9.297530368632889e+08
 -1.982000000000000e+01 -7.310193723407824e+07 -2.030205167893441e+08 -3.679866134888457e+08  5.630924893438364e+08 -1.106377456557158e+09  2.998836616103937e+08
 -1.981000000000000e+01 -1.167593299077311e+08 -1.514255650620871e+08 -9.790408765167411e+07  3.588692442398491e+07 -4.419787229808944e+08 -1.477067360090536e+08
 -1.980000000000000e+01  1.262039806771210e+08  1.001514539620795e+08  1.806821697243563e+08  8.629702533259829e+08  2.440838001391934e+07  2.259376759614699e+08
 -1.979000000000000e+01  5.356469903440583e+07 -1.531031175689395e+08  3.673172081957498e+08 -2.140940350706618e+08 -1.062676813090526e+09 -2.219419338048033e+07
 -1.978000000000000e+01 -6.490938294652499e+07 -4.314782166755571e+08 -2.029221932271260e+08  3.781885855375341e+08  6.916126648849393e+08 -1.033281319267058e+09
 -1.977000000000000e+01  8.666885825538416e+07 -1.387896145239377e+08  8.277464651171225e+07  4.394185744762155e+08 -2.209606395186660e+08  3.239825027631018e+08
 -1.976000000000000e+01  8.244556050461717e+07 -1.909730690379766e+08 -1.936253819196364e+08 -2.695645532221793e+08 -2.248995568082552e+08 -1.150581199258618e+09
 -1.975000000000000e+01  5.142114089337538e+07 -1.286917808870902e+08 -1.442738953573928e+07  8.919888505017352e+08 -3.940760331635377e+08 -8.377148197435689e+07
 -1.974000000000000e+01 -2.740429566489451e+07 -3.263654355913016e+08 -2.230300056027990e+08 -6.911702020140519e+06  2.420349540412169e+08 -4.932990685794864e+08
 -1.973000000000000e+01  5.378037275233445e+07 -2.525787467484902e+08  4.657359053442480e+07  1.559439466538974e+08 -6.345268687609073e+08 -1.581242346155304e+08
 -1.972000000000000e+01 -2.745271508900708e+07 -9.210002681649669e+07  1.002125674865995e+08 -1.931284714701345e+07 -4.926107900487745e+08 -2.185424792592412e+08
 -1.971000000000000e+01 -1.302737726677356e+07 -1.513369913683645e+08  5.097550158972263e+07 -4.717079095258178e+08 -2.068630334732260e+07 -1.142020378941781e+09
 -1.970000000000000e+01 -5.966869732305175e+07 -3.924664800115379e+07 -9.076347593137817e+07  4.021495540896456e+08 -4.877453677208717e+08  8.712555051456684e+07
 -1.969000000000000e+01  5.363705749919695e+07 -1.583619180936464e+08 -8.024706089357042e+06  1.484323374843721e+08 -3.569450379072433e+07 -7.939208316258971e+07
 -1.968000000000000e+01  1.092264248507413e+07 -3.251960223814328e+07 -8.585386471467216e+07  7.587428754012785e+08 -4.249976568577394e+08  6.541281088667364e+07
 -1.967000000000000e+01  2.825392581520075e+07 -1.962548141955068e+08 -6.226764220362107e+07 -2.520237519385563e+08 -1.807632014604841e+08 -6.809781713504267e+08
 -1.966000000000000e+01  8.615903752079194e+06 -1.011239867305516e+08  1.947480455294192e+08 -2.692113396009007e+08 -2.516759139191610e+08 -5.761858489212607e+08
 -1.965000000000000e+01 -7.682945204726346e+06 -7.315145207854943e+07 -9.971525689224824e+07 -2.314862770419826e+08  1.975386798071176e+08 -3.840227306198303e+08
 -1.964000000000000e+01  2.933017603428528e+07 -3.363471690474057e+07 -1.311200850886160e+07  3.780200317698882e+08  6.410635732773343e+07  9.469594478474635e+07
 -1.963000000000000e+01  2.126292893517350e+07  3.935449375982629e+07  2.686183570166101e+07  1.683013977992098e+08 -4.350319077486398e+07 -3.080080696571601e+08
 -1.962000000000000e+01  7.680914877298865e+06 -8.419375715568964e+07  3.659486222493499e+07  3.564836842559268e+08 -1.432863421409994e+07 -4.883903398473782e+08
 -1.961000000000000e+01  8.455541876707314e+07 -3.262841805499315e+07  4.223811234438933e+07  5.162316867629368e+08 -4.327529000620426e+08 -6.626849186434596e+07
 -1.960000000000000e+01  5.374435929150068e+07 -2.209917312598345e+08  3.448759079399901e+07  3.624615213442431e+08 -3.660392939665889e+08  9.463980206211405e+05
 -1.959000000000000e+01  3.467142008683877e+07  5.547602293597384e+07  8.002888116747173e+06  5.200837236855167e+08 -2.872639670953252e+08  3.803366474775367e+08
 -1.958000000000000e+01  1.302186273546504e+07 -1.379117928744623e+08  1.286297505079921e+08  3.856121817941102e+08  2.393987221258928e+08  5.865333237187690e+07
 -1.957000000000000e+01  2.654089823018936e+07 -2.193464153626156e+07  3.394342127782492e+07 -1.163541760411752e+08  6.856481914393875e+07  1.894691453628391e+08
 -1.956000000000000e+01  5.455185149493624e+07  3.998833436953926e+07 -8.610733620129330e+07 -2.428668454989010e+08 -5.016092577634075e+07 -1.747451283754306e+08
 -1.955000000000000e+01  1.324729230358876e+07  2.223093298003389e+07 -4.375197055331852e+06  3.547618926811370e+08 -3.423567260551650e+08 -7.924837592828211e+07
 -1.954000000000000e+01  1.296933726127037e+07  8.281192217808887e+07  6.993958062175415e+07 -3.104652138158571e+08 -2.078375045018063e+08  3.273001601083305e+08
 -1.953000000000000e+01 -1.678705856465344e+07 -1.391590998330545e+08  5.622158082187153e+07  2.772818737167722e+08 -2.701616957061779e+08 -4.169080129937041e+08
 -1.952000000000000e+01  5.806296889829373e+06 -5.123459646753918e+07  7.347543418340771e+07 -6.637525748149737e+07  3.108632317902651e+08 -1.137247121086853e+08
 -1.951000000000000e+01  5.372656318076760e+07 -3.598578774466103e+07  2.971884762099883e+07 -6.369581193400441e+07  1.081602031631005e+08 -6.202987176105371e+07
 -1.950000000000000e+01 -1.138010794863655e+06 -3.997732661438319e+06  1.121161152492029e+06 -8.348416046192053e+07  2.285889107655673e+07  4.054444642083813e+07
 -1.949000000000000e+01 -1.770903963717095e+07 -6.773760258183332e+07  3.095636099276565e+07  1.861436905724467e+08  2.732616284784849e+07 -1.826992525345974e+07
 -1.948000000000000e+01 -6.431524625764428e+06 -4.922438505935956e+07  1.047472100254734e+07  6.882930753546405e+07  1.976226627429393e+07 -3.993359345335076e+07
 -1.947000000000000e+01  3.228388744270524e+07  4.568074442148238e+07 -8.723688924054794e+06  1.385561768643691e+08 -8.356040299075225e+07  1.062213057991124e+08
 -1.946000000000000e+01  8.712957899773521e+06 -2.232320660335393e+07 -3.928298983081473e+07  7.783860977750869e+07 -2.172842431933179e+08 -1.204439498858922e+08
 -1.945000000000000e+01  2.395744094960161e+07 -5.165271993687852e+07 -1.949060529395601e+07 -1.735918817604747e+08 -1.081008102521420e+07 -4.450901391598684e+08
 -1.944000000000000e+01  3.656363673962821e+06 -7.670061476708075e+07 -2.679063689565375e+07  7.893984167455244e+07 -1.269936160205400e+08 -1.365307775155571e+08
 -1.943000000000000e+01  3.092532855736280e+07 -4.032792010621317e+07 -1.178250062686163e+06  7.547345169744965e+07 -6.519729556105323e+07 -3.211172656407964e+08
 -1.942000000000000e+01 -3.682525071144110e+05 -5.657731866428842e+07  7.621949208773634e+06  1.286706626266474e+07  4.059268939970305e+07 -2.219832374916203e+08
 -1.941000000000000e+01  2.783875804982414e+07 -4.046300205722103e+07  4.270373323330677e+07  8.541130543935212e+07  2.062701754462137e+08 -1.736689759845931e+08
 -1.940000000000000e+01  2.818795001155931e+07  2.430720507635743e+06  3.122457152099540e+07  1.606628733657411e+08 -6.796082848087357e+07 -3.195404301306522e+08
 -1.939000000000000e+01  1.082046539579044e+07  2.219297540904729e+07 -2.574716133110126e+07  2.514820272466272e+08 -5.273381930211569e+07 -1.315040655800820e+08
 -1.938000000000000e+01  2.082328006768513e+07 -2.149998638907987e+07 -1.716336334569995e+07  3.228719839259752e+07 -3.312512837247678e+07 -1.686788976886237e+08
 -1.937000000000000e+01  1.434053745267516e+06 -1.978763018268844e+07  8.497477550556267e+06  1.442953898906124e+08 -2.934167835989395e+07 -1.899332658968714e+08
 -1.936000000000000e+01  1.831698787865235e+07 -8.394927378454434e+06  6.205108455849398e+07  7.935259951777867e+06 -1.904127566977513e+08  2.308473409926710e+07
 -1.935000000000000e+01  2.939649419242955e+07  7.710571542589432e+06  7.762158847219460e+07 -2.220196311862957e+07  1.370776581044158e+08 -1.370691232919933e+08
 -1.934000000000000e+01  2.051496930339432e+07 -2.226843458233228e+07  1.651008261940557e+07  3.855804638971440e+07 -5.553499417156669e+07 -8.221523787096988e+07
 -1.933000000000000e+01  1.875848348829111e+07 -7.410270158620725e+06  1.471817175345933e+06  6.951539070971189e+07 -6.067393849285782e+05 -1.189112839724115e+08
