

#             t           fai          fai'           gai          gai'           hai          hai'
#     =========     =========     =========     =========     =========     =========     =========
 -1.908000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.907000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.906000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.905000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.904000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.903000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.902000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.901000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.900000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.899000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.898000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.897000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.896000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.895000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.894000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.893000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.892000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.891000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.890000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.889000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.888000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.887000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.886000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.885000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.884000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.883000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.882000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.881000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.880000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.879000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.878000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.877000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.876000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.875000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.874000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.873000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.872000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.871000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.870000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.869000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.868000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.867000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.866000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.865000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.864000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.863000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.862000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.861000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.860000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.859000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.858000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.857000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.856000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.855000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.854000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.853000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.852000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.851000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.850000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.849000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.848000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.847000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.846000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.845000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.844000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.843000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.842000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.841000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.840000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.839000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.838000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.837000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.836000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.835000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.834000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.833000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.832000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.831000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.830000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.829000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.828000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.827000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.826000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.825000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.824000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.823000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.822000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.821000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.820000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.819000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.818000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.817000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.816000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.815000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.814000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.813000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.812000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.811000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.810000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.809000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.808000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.807000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.806000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.805000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.804000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.803000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.802000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.801000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.800000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.799000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.798000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.797000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.796000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.795000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.794000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.793000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.792000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.791000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.790000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.789000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.788000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.787000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.786000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.785000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.784000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.783000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.782000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.781000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.780000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.779000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.778000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.777000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.776000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.775000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.774000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.773000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.772000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.771000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.770000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.769000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.768000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.767000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.766000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.765000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.764000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.763000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.762000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.761000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.760000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.759000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.758000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.757000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.756000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.755000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.754000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.753000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.752000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.751000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.750000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.749000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.748000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.747000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.746000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.745000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.744000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.743000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.742000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.741000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.740000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.739000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.738000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.737000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.736000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.735000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.734000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.733000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.732000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.731000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.730000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.729000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.728000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.727000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.726000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.725000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.724000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.723000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.722000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.721000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.720000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.719000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.718000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.717000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.716000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.715000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.714000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.713000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.712000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.711000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.710000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.709000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.708000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.707000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.706000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.705000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.704000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.703000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.702000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.701000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.700000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.699000e+01          -nan          -nan          -nan          -nan          -nan          -nan
 -1.698000e+01          -nan          -nan          -nan          -nan          -nan          -nan
