

Print Kelvin functions computed by series expansions
                      x                 ber(x)                 bei(x)                 ker(x)                 kei(x)                ber'(x)                bei'(x)                ker'(x)                kei'(x)
  3.700000000000000e+00 -1.693259984269600e+00  2.341297714476542e+00 -4.597172314251141e-02 -7.076703761047076e-03 -2.660778961539917e+00  1.314867595061735e-01  3.340297354282704e-02  3.863637872552683e-02
  3.800000000000000e+00 -1.967423272739420e+00  2.345433061385530e+00 -4.264686391407269e-02 -3.486664654516192e-03 -2.822163850202121e+00 -5.252662058986702e-02  3.303994880532728e-02  3.324803289406209e-02
  3.900000000000000e+00 -2.257599466142989e+00  2.330021882265074e+00 -3.937360794638312e-02 -4.108089034757789e-04 -2.980743426984013e+00 -2.596540970171710e-01  3.238045847846324e-02  2.834831564056373e-02
  4.000000000000000e+00 -2.563416557258580e+00  2.292690322699300e+00 -3.617884789954662e-02  2.198399294972564e-03 -3.134653962838644e+00 -4.911374406307224e-01  3.147848982210777e-02  2.391061379170489e-02
  4.100000000000001e+00 -2.884305732008854e+00  2.230942780326965e+00 -3.308439482901648e-02  4.385817860431906e-03 -3.281821352655359e+00 -7.481668599270649e-01  3.038178679328141e-02  1.990803200024249e-02
  4.200000000000000e+00 -3.219479832260940e+00  2.142167986657022e+00 -3.010757365119332e-02  6.193612664429970e-03 -3.419951224365311e+00 -1.031862169457357e+00  2.913241883280626e-02  1.631366701582326e-02
  4.300000000000000e+00 -3.567910862806221e+00  2.023647069440172e+00 -2.726176418012560e-02  7.661268821104184e-03 -3.546519743786750e+00 -1.343251996524242e+00  2.776730163861774e-02  1.310084314249726e-02
  4.400000000000000e+00 -3.928306621502091e+00  1.872563795777954e+00 -2.455689226132263e-02  8.825623733349275e-03 -3.658765306412033e+00 -1.683250947234397e+00  2.631867524935849e-02  1.024331246638432e-02
  4.500000000000000e+00 -4.299086551599757e+00  1.686017203632139e+00 -2.199987504667367e-02  9.720918540153001e-03 -3.753681325876356e+00 -2.052634661521485e+00  2.481454379717163e-02  7.715423187876436e-03
  4.600000000000001e+00 -4.678356937208982e+00  1.461036835928036e+00 -1.959502405749380e-02  1.037886493259910e-02 -3.828010348001322e+00 -2.452012697246150e+00  2.327908054117689e-02  5.492259161226531e-03
  4.700000000000000e+00 -5.063885586719505e+00  1.194600796822301e+00 -1.734440935187953e-02  1.082872460532158e-02 -3.878239738974239e+00 -2.881799196097255e+00  2.173300121213639e-02  3.549753527658517e-03
  4.800000000000001e+00 -5.453076174855461e+00  8.836568537071525e-01 -1.524818783297610e-02  1.109739888851635e-02 -3.900599216286406e+00 -3.342181298942928e+00  2.019390824650902e-02  1.864779124357341e-03
  4.900000000000000e+00 -5.842942441915631e+00  5.251468109088255e-01 -1.330489849548466e-02  1.120952636417449e-02 -3.891060511368369e+00 -3.833085295695018e+00  1.867660813437011e-02  4.152181589192061e-04
  5.000000000000000e+00 -6.230082478666358e+00  1.160343815502021e-01 -1.151172719949224e-02  1.118758650987051e-02 -3.845339473262156e+00 -4.354140514843110e+00  1.719340382839274e-02 -8.199865436266940e-04
  5.100000000000001e+00 -6.610653357304574e+00 -3.466632175912497e-01 -9.864743377600294e-03  1.105200763553604e-02 -3.758900942969480e+00 -4.904640980770804e+00  1.575436394225305e-02 -1.860796587281222e-03
  5.200000000000000e+00 -6.980346402874878e+00 -8.658397274844307e-01 -8.359110917310453e-03  1.082127758358631e-02 -3.626966748093774e+00 -5.483504892972974e+00  1.436757029317004e-02 -2.726057375580737e-03
  5.300000000000001e+00 -7.334363435462961e+00 -1.444260150604925e+00 -6.989275312494714e-03  1.051205585200599e-02 -3.444527186806983e+00 -6.089232010530595e+00  1.303934520422345e-02 -3.433489992933580e-03
  5.400000000000000e+00 -7.667394351327400e+00 -2.084516693093665e+00 -5.749129041861423e-03  1.013928597374658e-02 -3.206356388743842e+00 -6.719859057845063e+00  1.177445986955661e-02 -3.999693931538317e-03
  5.500000000000000e+00 -7.973596450774417e+00 -2.788980154734066e+00 -4.632157007098847e-03  9.716307145215985e-03 -2.907031957848943e+00 -7.372913303855356e+00  1.057632499291739e-02 -4.440159139434741e-03
  5.600000000000001e+00 -8.246575961893123e+00 -3.559746593355735e+00 -3.631563745839728e-03  9.254964242418673e-03 -2.540959318134711e+00 -8.045364506914970e+00  9.447164832962152e-03 -4.769285997890726e-03
  5.700000000000000e+00 -8.479372252085206e+00 -4.398579111649337e+00 -2.740384025164744e-03  8.765715496216409e-03 -2.102401197375639e+00 -8.733575461333732e+00  8.388175722865654e-03 -5.000411962184259e-03
  5.800000000000001e+00 -8.664445263435908e+00 -5.306844640335225e+00 -1.951578317001434e-03  8.257737218547945e-03 -1.585512695553990e+00 -9.433251429416380e+00  7.399670074759612e-03 -5.145843717962562e-03
  5.900000000000000e+00 -8.793666753132380e+00 -6.285445622573309e+00 -1.258114558744694e-03  7.739025080882200e-03 -9.843823939359913e-01 -1.013938879475685e+01  6.481206828643060e-03 -5.216893817062807e-03
  6.000000000000000e+00 -8.858315966045035e+00 -7.334746540847963e+00 -6.530375083517725e-04  7.216491544419945e-03 -2.930799665080795e-01 -1.084622332865128e+01  5.631709259610318e-03 -5.223920861006176e-03
  6.100000000000001e+00 -8.849080412899324e+00 -8.454495269728721e+00 -1.295269145611400e-04  6.696059129633447e-03  4.942892423853735e-01 -1.154717852181794e+01  4.849571014132081e-03 -5.176372398244422e-03
  6.200000000000000e+00 -8.756062473778359e+00 -9.643739286319303e+00  3.190543629232323e-04  6.182749291664180e-03  1.383522212553350e+00 -1.223481449816862e+01  4.132751206691765e-03 -5.082829792517840e-03
  6.300000000000001e+00 -8.568792592550304e+00 -1.090073682528471e+01  6.991212290969884e-04  5.680766738182186e-03  2.380248360068148e+00 -1.290077809613170e+01  3.478859369105081e-03 -4.951054404715771e-03
  6.400000000000000e+00 -8.276249872685952e+00 -1.222286312750625e+01  1.016835248405457e-03  5.193579087745981e-03  3.489851325072888e+00 -1.353575477590270e+01  2.885231008280087e-03 -4.788034509134231e-03
  6.500000000000000e+00 -7.866890928233047e+00 -1.360651200106259e+01  1.278080655991332e-03  4.723991821153462e-03  4.717382012265164e+00 -1.412942308786392e+01  2.348994492169965e-03 -4.600032438794699e-03
  6.600000000000001e+00 -7.328687884785480e+00 -1.504699299076164e+01  1.488446652452069e-03  4.274218525429418e-03  6.067462486862395e+00 -1.467041251807859e+01  1.867129948244894e-03 -4.392631520276247e-03
  6.700000000000000e+00 -6.649176463396273e+00 -1.653842453822046e+01  1.653215216428805e-03  3.845946470782735e-03  7.544180362380243e+00 -1.514626561097090e+01  1.436520824412924e-03 -4.170782421630825e-03
  6.800000000000001e+00 -5.815515114723384e+00 -1.807362360884782e+01  1.777353732123288e-03  3.440397595682931e-03  9.150973358564560e+00 -1.554340535672223e+01  1.053998728718142e-03 -3.938848593000976e-03
  6.900000000000000e+00 -4.814556200379444e+00 -1.964399236532578e+01  1.865511789198138e-03  3.058385004541808e-03  1.089050375912054e+01 -1.584710892113469e+01  7.163821296121142e-04 -3.700650530360505e-03
