  m =                       2
                      w                     f1                     f2                  delta                   frac
      -10.0000000000000      0.390716476086802      0.390716476086802   9.43689570931383e-16   2.41527969432682e-15
      -9.50000000000000     0.0521222071902751     0.0521222071902746   5.20417042793042e-16   9.98455496892591e-15
      -9.00000000000000     -0.291225557819588     -0.291225557819588   1.66533453693773e-16  -5.71836671687105e-16
      -8.50000000000000     -0.607318979040080     -0.607318979040080   1.11022302462516e-16  -1.82807233585876e-16
      -8.00000000000000     -0.860279637332312     -0.860279637332312  -2.22044604925031e-16   2.58107474929410e-16
      -7.50000000000000      -1.00324270513617      -1.00324270513617       0.00000000000000      -0.00000000000000
      -7.00000000000000     -0.960598206245357     -0.960598206245357  -1.11022302462516e-16   1.15576212552450e-16
      -6.50000000000000     -0.548403558667577     -0.548403558667577  -3.33066907387547e-16   6.07339070148960e-16
      -6.00000000000000      0.640782665701723      0.640782665701723  -1.11022302462516e-16  -1.73260464748894e-16
      -5.50000000000000      0.981277474774474      0.981277474774474  -1.11022302462516e-16  -1.13140579822269e-16
      -5.00000000000000      0.992820132546957      0.992820132546957   1.11022302462516e-16   1.11825192522740e-16
      -4.50000000000000      0.831839220823219      0.831839220823219   3.33066907387547e-16   4.00398176774992e-16
      -4.00000000000000      0.568143944429870      0.568143944429870   1.11022302462516e-16   1.95412278087248e-16
      -3.50000000000000      0.246504530234770      0.246504530234769   6.38378239159465e-16   2.58972213837806e-15
      -3.00000000000000    -0.0980262093913011    -0.0980262093913018   6.80011602582908e-16  -6.93703864308812e-15
      -2.50000000000000     -0.433598203235533     -0.433598203235533   2.22044604925031e-16  -5.12097613108455e-16
      -2.00000000000000     -0.727146050863279     -0.727146050863279   1.11022302462516e-16  -1.52682260091639e-16
      -1.50000000000000     -0.939218592754092     -0.939218592754092   2.22044604925031e-16  -2.36414192221137e-16
      -1.00000000000000      -1.01395913236077      -1.01395913236077       0.00000000000000      -0.00000000000000
     -0.500000000000000     -0.848311877703679     -0.848311877703679  -1.11022302462516e-16   1.30874393463693e-16
       0.00000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
      0.500000000000000      0.848311877703679      0.848311877703679   1.11022302462516e-16   1.30874393463693e-16
       1.00000000000000       1.01395913236077       1.01395913236077       0.00000000000000       0.00000000000000
       1.50000000000000      0.939218592754092      0.939218592754092  -2.22044604925031e-16  -2.36414192221137e-16
       2.00000000000000      0.727146050863279      0.727146050863279  -1.11022302462516e-16  -1.52682260091639e-16
       2.50000000000000      0.433598203235533      0.433598203235533  -2.22044604925031e-16  -5.12097613108455e-16
       3.00000000000000     0.0980262093913011     0.0980262093913018  -6.80011602582908e-16  -6.93703864308812e-15
       3.50000000000000     -0.246504530234770     -0.246504530234769  -6.38378239159465e-16   2.58972213837806e-15
       4.00000000000000     -0.568143944429870     -0.568143944429870  -1.11022302462516e-16   1.95412278087248e-16
       4.50000000000000     -0.831839220823219     -0.831839220823219  -3.33066907387547e-16   4.00398176774992e-16
       5.00000000000000     -0.992820132546957     -0.992820132546957  -1.11022302462516e-16   1.11825192522740e-16
       5.50000000000000     -0.981277474774474     -0.981277474774474   1.11022302462516e-16  -1.13140579822269e-16
       6.00000000000000     -0.640782665701723     -0.640782665701723   1.11022302462516e-16  -1.73260464748894e-16
       6.50000000000000      0.548403558667577      0.548403558667577   3.33066907387547e-16   6.07339070148960e-16
       7.00000000000000      0.960598206245357      0.960598206245357   1.11022302462516e-16   1.15576212552450e-16
       7.50000000000000       1.00324270513617       1.00324270513617       0.00000000000000       0.00000000000000
       8.00000000000000      0.860279637332312      0.860279637332312   2.22044604925031e-16   2.58107474929410e-16
       8.50000000000000      0.607318979040080      0.607318979040080  -1.11022302462516e-16  -1.82807233585876e-16
       9.00000000000000      0.291225557819588      0.291225557819588  -1.66533453693773e-16  -5.71836671687105e-16
       9.50000000000000    -0.0521222071902751    -0.0521222071902746  -5.20417042793042e-16   9.98455496892591e-15
       10.0000000000000     -0.390716476086802     -0.390716476086802  -9.43689570931383e-16   2.41527969432682e-15
max(abs(diff)) =    9.43689570931383e-16
max(abs(frac)) =    9.98455496892591e-15

