  s =      1.20000000000000
                      a                     f1                     f2                  delta                   frac
      0.200000000000000       12.1840822699215       12.1840822699215   3.55271367880050e-15   2.91586481451375e-16
      0.400000000000000       8.05667160497272       8.05667160497273  -3.55271367880050e-15  -4.40965432500401e-16
      0.600000000000000       6.71598778108467       6.71598778108467   8.88178419700125e-16   1.32248367425808e-16
      0.800000000000000       6.02603664583660       6.02603664583660       0.00000000000000       0.00000000000000
       1.00000000000000       5.59158244117775       5.59158244117775       0.00000000000000       0.00000000000000
       1.20000000000000       5.28543396261543       5.28543396261543   1.77635683940025e-15   3.36085334139951e-16
       1.40000000000000       5.05386052001915       5.05386052001915   8.88178419700125e-16   1.75742566733274e-16
       1.60000000000000       4.87004387567085       4.87004387567085   8.88178419700125e-16   1.82375855818707e-16
       1.80000000000000       4.71898720509751       4.71898720509751   2.66453525910038e-15   5.64641340036292e-16
       2.00000000000000       4.59158244117775       4.59158244117775       0.00000000000000       0.00000000000000
       2.20000000000000       4.48194020927991       4.48194020927991   1.77635683940025e-15   3.96336576673264e-16
       2.40000000000000       4.38606060848453       4.38606060848453  -8.88178419700125e-16  -2.02500261392195e-16
       2.60000000000000       4.30111756222520       4.30111756222520       0.00000000000000       0.00000000000000
       2.80000000000000       4.22504857391296       4.22504857391296   8.88178419700125e-16   2.10217327484487e-16
       3.00000000000000       4.15630715952969       4.15630715952969   8.88178419700125e-16   2.13694124521978e-16
       3.20000000000000       4.09370690968230       4.09370690968230   1.77635683940025e-15   4.33923795374522e-16
       3.40000000000000       4.03631963869895       4.03631963869895   8.88178419700125e-16   2.20046601657746e-16
       3.60000000000000       3.98340675907438       3.98340675907438  -4.44089209850063e-16  -1.11484775899023e-16
       3.80000000000000       3.93437177933517       3.93437177933517  -8.88178419700125e-16  -2.25748472568144e-16
       4.00000000000000       3.88872663894295       3.88872663894295  -4.44089209850063e-16  -1.14199132796533e-16
       4.20000000000000       3.84606734836025       3.84606734836025  -8.88178419700125e-16  -2.30931582640849e-16
       4.40000000000000       3.80605603376851       3.80605603376851   4.44089209850063e-16   1.16679630018572e-16
       4.60000000000000       3.76840748226867       3.76840748226867       0.00000000000000       0.00000000000000
       4.80000000000000       3.73287890877945       3.73287890877945  -1.33226762955019e-15  -3.56900843050867e-16
       5.00000000000000       3.69926206812915       3.69926206812915   4.44089209850063e-16   1.20048053279625e-16
max(abs(diff)) = 3.55271367880050e-15
max(abs(frac)) = 5.64641340036292e-16

  s =      1.40000000000000
                      a                     f1                     f2                  delta                   frac
      0.200000000000000       12.2997014774992       12.2997014774992  -3.55271367880050e-15  -2.88845520787619e-16
      0.400000000000000       6.15322308944897       6.15322308944898  -2.66453525910038e-15  -4.33030823093233e-16
      0.600000000000000       4.41105610921398       4.41105610921398       0.00000000000000       0.00000000000000
      0.800000000000000       3.58990858381224       3.58990858381224       0.00000000000000       0.00000000000000
       1.00000000000000       3.10554727797758       3.10554727797758  -1.33226762955019e-15  -4.28996086775983e-16
       1.20000000000000       2.78143178391982       2.78143178391982       0.00000000000000       0.00000000000000
       1.40000000000000       2.54647332468094       2.54647332468094   4.44089209850063e-16   1.74393819697956e-16
       1.60000000000000       2.36655076805333       2.36655076805333  -4.44089209850063e-16  -1.87652517683092e-16
       1.80000000000000       2.22320599138314       2.22320599138314       0.00000000000000       0.00000000000000
       2.00000000000000       2.10554727797758       2.10554727797758  -8.88178419700125e-16  -4.21827820723759e-16
       2.20000000000000       2.00670912994077       2.00670912994077   4.44089209850063e-16   2.21302232208995e-16
       2.40000000000000       1.92213391409703       1.92213391409703  -4.44089209850063e-16  -2.31039682819750e-16
       2.60000000000000       1.84866732784396       1.84866732784396  -2.22044604925031e-16  -1.20110634066322e-16
       2.80000000000000       1.78405032290549       1.78405032290549       0.00000000000000       0.00000000000000
       3.00000000000000       1.72661813634998       1.72661813634998       0.00000000000000       0.00000000000000
       3.20000000000000       1.67511392112458       1.67511392112458   4.44089209850063e-16   2.65109855663981e-16
       3.40000000000000       1.62856892382530       1.62856892382530  -2.22044604925031e-16  -1.36343388159144e-16
       3.60000000000000       1.58622292630323       1.58622292630323   8.88178419700125e-16   5.59932910420143e-16
       3.80000000000000       1.54746992596865       1.54746992596865   2.22044604925031e-16   1.43488801429237e-16
       4.00000000000000       1.51182013135756       1.51182013135756       0.00000000000000       0.00000000000000
       4.20000000000000       1.47887279366290       1.47887279366290   4.44089209850063e-16   3.00288984795058e-16
       4.40000000000000       1.44829640945638       1.44829640945638  -4.44089209850063e-16  -3.06628675560102e-16
       4.60000000000000       1.41981404580610       1.41981404580610   4.44089209850063e-16   3.12779839840174e-16
       4.80000000000000       1.39319229380647       1.39319229380647       0.00000000000000       0.00000000000000
       5.00000000000000       1.36823283698293       1.36823283698293   2.22044604925031e-16   1.62285686268616e-16
max(abs(diff)) = 3.55271367880050e-15
max(abs(frac)) = 5.59932910420143e-16

  s =      1.60000000000000
                      a                     f1                     f2                  delta                   frac
      0.200000000000000       15.0763721072660       15.0763721072660   1.77635683940025e-15   1.17823892031966e-16
      0.400000000000000       6.03806878947550       6.03806878947550       0.00000000000000       0.00000000000000
      0.600000000000000       3.79455272837964       3.79455272837964  -4.44089209850063e-16  -1.17033347969762e-16
      0.800000000000000       2.82337608550046       2.82337608550045   4.44089209850063e-16   1.57290136489679e-16
       1.00000000000000       2.28576566568013       2.28576566568013   4.44089209850063e-16   1.94284662035959e-16
       1.20000000000000       1.94373308524717       1.94373308524717   2.22044604925031e-16   1.14236160618110e-16
