                      x                     f1                     f2                  delta                   frac
      -10.0000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
      -9.80000000000000   -0.00336616517528820   -0.00336698204510196   8.16869813759485e-07  -0.000242611871051646
      -9.60000000000000   -0.00581154274954691   -0.00581295177673190   1.40902718499120e-06  -0.000242394439023433
      -9.40000000000000   -0.00728910776653698   -0.00729087322905570   1.76546251871856e-06  -0.000242146923043843
      -9.20000000000000   -0.00784019433535779   -0.00784209106544844   1.89673009065063e-06  -0.000241865348772529
      -9.00000000000000   -0.00757392768743725   -0.00757575757575758   1.82988832033229e-06  -0.000241545258283862
      -8.80000000000000   -0.00664605227514823   -0.00664765556775519   1.60329260695709e-06  -0.000241181660303513
      -8.60000000000000   -0.00523874790334919   -0.00524000953508594   1.26163173674951e-06  -0.000240768977289432
      -8.40000000000000   -0.00354257931183887   -0.00354343080176750   8.51489928624643e-07  -0.000240300989707464
      -8.20000000000000   -0.00174131542215128   -0.00174173303883686   4.17616685577556e-07  -0.000239770777877902
      -8.00000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
      -7.80000000000000    0.00154363544617724    0.00154400367892140  -3.68232744152449e-07  -0.000238492141683035
      -7.60000000000000    0.00278455099153925    0.00278521310864974  -6.62117110491241e-07  -0.000237725834491793
      -7.40000000000000    0.00365286669462956    0.00365373212279959  -8.65428170025544e-07  -0.000236861417569504
      -7.20000000000000    0.00411382245315807    0.00411479308170535  -9.70628547275303e-07  -0.000235887571501659
      -7.00000000000000    0.00416568836695822    0.00416666666666667  -9.78299708445131e-07  -0.000234791930026831
      -6.80000000000000    0.00383610133015516    0.00383699750327384  -8.96173118678911e-07  -0.000233561037742211
      -6.60000000000000    0.00317728918184256    0.00317802705717830  -7.37875335735539e-07  -0.000232180318939979
      -6.40000000000000    0.00226060670955384    0.00226112820273386  -5.21493180020115e-07  -0.000230634061080479
      -6.20000000000000    0.00117075565126947    0.00117102370493905  -2.68053669580165e-07  -0.000228905417071908
      -6.00000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
      -5.80000000000000   -0.00115737639574491   -0.00115763666498819   2.60269243282374e-07  -0.000224828092573441
      -5.60000000000000   -0.00221018668760483   -0.00221067843185643   4.91744251606557e-07  -0.000222440425762697
      -5.40000000000000   -0.00307490935510316   -0.00307558534605869   6.75990955531502e-07  -0.000219792618142681
      -5.20000000000000   -0.00367963989623192   -0.00368043804779348   7.98151561559515e-07  -0.000216863197042001
      -5.00000000000000   -0.00396740622912979   -0.00396825396825397   8.47739124178529e-07  -0.000213630259292989
      -4.80000000000000   -0.00389886991563657   -0.00389968913019998   8.19214563412603e-07  -0.000210071761122814
      -4.60000000000000   -0.00345447074258887   -0.00345518308343027   7.12340841400611e-07  -0.000206165874340125
      -4.40000000000000   -0.00263610218800367   -0.00263663450187251   5.32313868837307e-07  -0.000201891414399403
      -4.20000000000000   -0.00146843125710776   -0.00146872093050570   2.89673397940813e-07  -0.000197228344693825
      -4.00000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
      -3.80000000000000    0.00169572979415253    0.00169604638758252  -3.16593429990682e-07  -0.000186665548954674
      -3.60000000000000    0.00351919942533370    0.00351983559033567  -6.36165001974796e-07  -0.000180737135484822
      -3.40000000000000    0.00534321849167524    0.00534415032065134  -9.31828976097858e-07  -0.000174364289959622
      -3.20000000000000    0.00701079727022645    0.00701197207709105  -1.17480686460253e-06  -0.000167543003834936
      -3.00000000000000    0.00833199770824256    0.00833333333333333  -1.33562509077242e-06  -0.000160275010892691
      -2.80000000000000    0.00907934405026797    0.00908072948568528  -1.38543541730943e-06  -0.000152568735748973
      -2.60000000000000    0.00898116494978772    0.00898246237883967  -1.29742905195275e-06  -0.000144440243357896
      -2.40000000000000    0.00771197567827019    0.00771302398742436  -1.04830915417190e-06  -0.000135914157129695
      -2.20000000000000    0.00487859257976100    0.00487921235930361  -6.19779542604393e-07  -0.000127024506613779
      -2.00000000000000       0.00000000000000       0.00000000000000       0.00000000000000                      -
      -1.80000000000000   -0.00752211972765026   -0.00752293477659680   8.15048946545965e-07  -0.000108341886610730
      -1.60000000000000    -0.0184471663229166    -0.0184489866789638   1.82035604713582e-06  -9.86697035892739e-05
      -1.40000000000000    -0.0337619867993936    -0.0337649876940476   3.00089465394421e-06  -8.88759291469617e-05
      -1.20000000000000    -0.0547841103053808    -0.0547884412438806   4.33093849986493e-06  -7.90483978287785e-05
      -1.00000000000000    -0.0833275595778781    -0.0833333333333334   5.77375545533776e-06  -6.92850654640531e-05
     -0.800000000000001     -0.121979795913595     -0.121987077669771   7.28175617575877e-06  -5.96928487414960e-05
     -0.600000000000000     -0.174586914767781     -0.174595711938014   8.79717023255511e-06  -5.03859466816592e-05
     -0.400000000000000     -0.247155207518074     -0.247165460831715   1.02533136409899e-05  -4.14836021444395e-05
     -0.199999999999999     -0.349654704100247     -0.349666280598315   1.15764980682109e-05  -3.31072760244492e-05
       0.00000000000000     -0.500000000000000     -0.500000000000000  -5.55111512312578e-17   1.11022302462516e-16
      0.199999999999999     -0.733918690519298     -0.733920924896340   2.23437704194307e-06  -3.04443839403905e-06
      0.400000000000000      -1.13478965694131      -1.13479778386698   8.12692566753981e-06  -7.16156286439525e-06
      0.600000000000000      -1.95263741794486      -1.95266144822400   2.40302791354452e-05  -1.23064237056052e-05
      0.800000000000001      -4.43745672745024      -4.43753841589557   8.16884453289646e-05  -1.84085043717821e-05
max(abs(diff)) = 8.16884453289646e-05
max(abs(frac)) = 0.000242611871051646
