

CORDIC Algorithm


cordic<16>
K = 1.64676
  1.49011611938477e-08  1.49011611938477e-08           34359738368
  7.45058059692383e-09  7.45058059692383e-09           17179869184
  3.72529029846191e-09  3.72529029846191e-09            8589934592
  1.86264514923096e-09  1.86264514923096e-09            4294967296
  9.31322574615479e-10  9.31322574615479e-10            2147483648
  4.65661287307739e-10  4.65661287307739e-10            1073741824
   2.3283064365387e-10   2.3283064365387e-10             536870912
  1.16415321826935e-10  1.16415321826935e-10             268435456
  5.82076609134674e-11  5.82076609134674e-11             134217728
  2.91038304567337e-11  2.91038304567337e-11              67108864
  1.45519152283669e-11  1.45519152283669e-11              33554432
  7.27595761418343e-12  7.27595761418343e-12              16777216
  3.63797880709171e-12  3.63797880709171e-12               8388608
  1.81898940354586e-12  1.81898940354586e-12               4194304
  9.09494701772928e-13  9.09494701772928e-13               2097152
  4.54747350886464e-13  4.54747350886464e-13               1048576
  2.27373675443232e-13  2.27373675443232e-13                524288
  1.13686837721616e-13  1.13686837721616e-13                262144
   5.6843418860808e-14   5.6843418860808e-14                131072
   2.8421709430404e-14   2.8421709430404e-14                 65536
   1.4210854715202e-14   1.4210854715202e-14                 32768
    7.105427357601e-15    7.105427357601e-15                 16384
   3.5527136788005e-15   3.5527136788005e-15                  8192
  1.77635683940025e-15  1.77635683940025e-15                  4096
  8.88178419700125e-16  8.88178419700125e-16                  2048
  4.44089209850063e-16  4.44089209850063e-16                  1024
  2.22044604925031e-16  2.22044604925031e-16                   512
  1.11022302462516e-16  1.11022302462516e-16                   256
  5.55111512312578e-17  5.55111512312578e-17                   128
  2.77555756156289e-17  2.77555756156289e-17                    64
  1.38777878078145e-17  1.38777878078145e-17                    32
  6.93889390390723e-18  6.93889390390723e-18                    16
  3.46944695195361e-18  3.46944695195361e-18                     8
  1.73472347597681e-18  1.73472347597681e-18                     4
  8.67361737988404e-19  8.67361737988404e-19                     2
  4.33680868994202e-19  4.33680868994202e-19                     1
  2.16840434497101e-19  2.16840434497101e-19                   0.5
   1.0842021724855e-19   1.0842021724855e-19                  0.25
K' = 0.828159360960216
