

Spouge Algorithm


spouge<float>
err = 6.349363e-02
err = 7.145545e-03
err = 9.285597e-04
err = 1.279854e-04
err = 1.821905e-05
err = 2.647008e-06
err = 3.900335e-07
a = 8.000000e+00
c_0 = 2.901419e+03
c_1 = -5.929168e+03
c_2 = 4.148274e+03
c_3 = -1.164760e+03
c_4 = 1.174135e+02
c_5 = -2.786588e+00
c_6 = 3.775392e-03
c_7 = -0.000000e+00
 0.000000e+00 inf inf -nan
 8.900000e-01 7.402189e-02 7.402218e-02 -2.905726e-07
 9.000000e-01 6.637625e-02 6.637626e-02 -1.490116e-08
 9.100000e-01 5.892272e-02 5.892259e-02 1.303852e-07
 9.200000e-01 5.165768e-02 5.165803e-02 -3.576279e-07
 9.300000e-01 4.457843e-02 4.457948e-02 -1.046807e-06
 9.400000e-01 3.768450e-02 3.768405e-02 4.582107e-07
 9.500000e-01 3.096860e-02 3.096880e-02 -2.048910e-07
 9.600000e-01 2.443122e-02 2.443095e-02 2.719462e-07
 9.700000e-01 1.806815e-02 1.806775e-02 3.967434e-07
 9.800000e-01 1.187717e-02 1.187657e-02 5.969778e-07
 9.899999e-01 5.854219e-03 5.854837e-03 -6.174669e-07
 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.010000e+00 -5.691212e-03 -5.690303e-03 -9.089708e-07
 1.020000e+00 -1.121954e-02 -1.121848e-02 -1.061708e-06
 1.030000e+00 -1.658690e-02 -1.658684e-02 -5.774200e-08
 1.040000e+00 -2.179800e-02 -2.179763e-02 -3.688037e-07
 1.050000e+00 -2.685466e-02 -2.685305e-02 -1.607463e-06
 1.060000e+00 -3.175575e-02 -3.175523e-02 -5.252659e-07
 1.070000e+00 -3.650586e-02 -3.650625e-02 3.837049e-07
 1.080000e+00 -4.110854e-02 -4.110814e-02 -4.060566e-07
 1.090000e+00 -4.556360e-02 -4.556293e-02 -6.705523e-07
 1.100000e+00 -4.987239e-02 -4.987245e-02 5.960464e-08
 1.110000e+00 -5.403940e-02 -5.403864e-02 -7.636845e-07
 1.120000e+00 -5.806421e-02 -5.806334e-02 -8.791685e-07
 1.130000e+00 -6.194923e-02 -6.194833e-02 -9.015203e-07
 1.140000e+00 -6.569584e-02 -6.569538e-02 -4.544854e-07
 1.150000e+00 -6.930637e-02 -6.930620e-02 -1.713634e-07
 1.160000e+00 -7.278216e-02 -7.278246e-02 2.980232e-07
 1.170000e+00 -7.612641e-02 -7.612580e-02 -6.109476e-07
 1.180000e+00 -7.933848e-02 -7.933781e-02 -6.705523e-07
 1.190000e+00 -8.242054e-02 -8.242006e-02 -4.842877e-07
 1.200000e+00 -8.537382e-02 -8.537407e-02 2.533197e-07
 1.210000e+00 -8.820139e-02 -8.820134e-02 -4.470348e-08
 1.220000e+00 -9.090449e-02 -9.090337e-02 -1.117587e-06
 1.230000e+00 -9.348117e-02 -9.348151e-02 3.427267e-07
 1.240000e+00 -9.593739e-02 -9.593722e-02 -1.639128e-07
 1.250000e+00 -9.827229e-02 -9.827184e-02 -4.544854e-07
 1.260000e+00 -1.004869e-01 -1.004867e-01 -2.086163e-07
 1.270000e+00 -1.025842e-01 -1.025832e-01 -1.050532e-06
 1.280000e+00 -1.045623e-01 -1.045625e-01 2.086163e-07
 1.290000e+00 -1.064259e-01 -1.064260e-01 4.470348e-08
 1.300000e+00 -1.081751e-01 -1.081748e-01 -3.278255e-07
