                      k                     f1                     f2                  delta                   frac
     -0.980000000000000       1.05009226138934       1.05009226138950  -1.63868918434673e-13  -1.56051924635497e-13
     -0.960000000000000       1.08654646339873       1.08654646339879  -5.24025267623074e-14  -4.82285190072673e-14
     -0.940000000000000       1.11792393435938       1.11792393435941  -2.48689957516035e-14  -2.22456957823825e-14
     -0.920000000000000       1.14602471375755       1.14602471375756  -1.42108547152020e-14  -1.24001293729589e-14
     -0.900000000000000       1.17169705278161       1.17169705278161  -8.65973959207622e-15  -7.39076672721670e-15
     -0.880000000000000       1.19543697705597       1.19543697705598  -5.55111512312578e-15  -4.64358659608857e-15
     -0.860000000000000       1.21756999046145       1.21756999046145  -3.99680288865056e-15  -3.28260627311929e-15
     -0.840000000000000       1.23832588720842       1.23832588720842  -2.66453525910038e-15  -2.15172378016507e-15
     -0.820000000000000       1.25787534037984       1.25787534037984  -1.77635683940025e-15  -1.41218830068156e-15
     -0.800000000000000       1.27634994316991       1.27634994316991  -1.33226762955019e-15  -1.04381062315983e-15
     -0.780000000000000       1.29385411357509       1.29385411357510  -1.33226762955019e-15  -1.02968921733297e-15
     -0.760000000000000       1.31047261233318       1.31047261233318  -1.33226762955019e-15  -1.01663141756027e-15
     -0.740000000000000       1.32627552401715       1.32627552401715  -6.66133814775094e-16  -5.02258997253786e-16
     -0.720000000000000       1.34132168757089       1.34132168757089  -2.22044604925031e-16  -1.65541649689680e-16
     -0.700000000000000       1.35566113557195       1.35566113557196  -6.66133814775094e-16  -4.91371919793254e-16
     -0.680000000000000       1.36933687572665       1.36933687572665  -6.66133814775094e-16  -4.86464526431163e-16
     -0.660000000000000       1.38238622197135       1.38238622197135   2.22044604925031e-16   1.60624144971863e-16
     -0.640000000000000       1.39484180877679       1.39484180877679       0.00000000000000       0.00000000000000
     -0.620000000000000       1.40673237738060       1.40673237738060  -8.88178419700125e-16  -6.31376965499261e-16
     -0.600000000000000       1.41808339444872       1.41808339444872   2.22044604925031e-16   1.56580780646790e-16
     -0.580000000000000       1.42891754538654       1.42891754538654  -4.44089209850063e-16  -3.10787148834351e-16
     -0.560000000000000       1.43925513237247       1.43925513237247   2.22044604925031e-16   1.54277445277554e-16
     -0.540000000000000       1.44911439892784       1.44911439892784       0.00000000000000       0.00000000000000
     -0.520000000000000       1.45851179710668       1.45851179710668  -6.66133814775094e-16  -4.56721581612527e-16
     -0.500000000000000       1.46746220933943       1.46746220933943       0.00000000000000       0.00000000000000
     -0.480000000000000       1.47597913405589       1.47597913405589  -4.44089209850063e-16  -3.00877701861363e-16
     -0.460000000000000       1.48407484209108       1.48407484209108       0.00000000000000       0.00000000000000
     -0.440000000000000       1.49176050930897       1.49176050930897  -2.22044604925031e-16  -1.48847354209617e-16
     -0.420000000000000       1.49904632970522       1.49904632970522       0.00000000000000       0.00000000000000
     -0.400000000000000       1.50594161236004       1.50594161236004   4.44089209850063e-16   2.94891386362654e-16
     -0.380000000000000       1.51245486493197       1.51245486493197  -2.22044604925031e-16  -1.46810731396615e-16
     -0.360000000000000       1.51859386585637       1.51859386585637       0.00000000000000       0.00000000000000
     -0.340000000000000       1.52436572700190       1.52436572700190  -2.22044604925031e-16  -1.45663603551193e-16
     -0.320000000000000       1.52977694821472       1.52977694821472  -4.44089209850063e-16  -2.90296706567793e-16
     -0.300000000000000       1.53483346492325       1.53483346492325       0.00000000000000       0.00000000000000
     -0.280000000000000       1.53954068977126       1.53954068977126       0.00000000000000       0.00000000000000
     -0.260000000000000       1.54390354908129       1.54390354908129  -2.22044604925031e-16  -1.43820256814074e-16
     -0.240000000000000       1.54792651481616       1.54792651481616       0.00000000000000       0.00000000000000
     -0.220000000000000       1.55161363259661       1.55161363259661       0.00000000000000       0.00000000000000
     -0.200000000000000       1.55496854624253       1.55496854624253   4.44089209850063e-16   2.85593693147796e-16
     -0.180000000000000       1.55799451923044       1.55799451923044   2.22044604925031e-16   1.42519503235935e-16
     -0.160000000000000       1.56069445339735       1.56069445339735       0.00000000000000       0.00000000000000
     -0.140000000000000       1.56307090516842       1.56307090516842  -4.44089209850063e-16  -2.84113285188565e-16
     -0.120000000000000       1.56512609954127       1.56512609954127   2.22044604925031e-16   1.41870105539810e-16
     -0.100000000000000       1.56686194202167       1.56686194202167  -4.44089209850063e-16  -2.83425870486757e-16
    -0.0800000000000000       1.56828002867234       1.56828002867234   6.66133814775094e-16   4.24754382250869e-16
    -0.0600000000000001       1.56938165440780       1.56938165440780       0.00000000000000       0.00000000000000
    -0.0400000000000000       1.57016781964285       1.57016781964285   2.22044604925031e-16   1.41414568651355e-16
    -0.0200000000000000       1.57063923537928       1.57063923537928       0.00000000000000       0.00000000000000
       0.00000000000000       1.57079632679490       1.57079632679490   2.22044604925031e-16   1.41357985842823e-16
     0.0200000000000000       1.57063923537928       1.57063923537928       0.00000000000000       0.00000000000000
     0.0400000000000000       1.57016781964285       1.57016781964285   2.22044604925031e-16   1.41414568651355e-16
     0.0600000000000001       1.56938165440780       1.56938165440780       0.00000000000000       0.00000000000000
     0.0800000000000001       1.56828002867234       1.56828002867234   6.66133814775094e-16   4.24754382250869e-16
      0.100000000000000       1.56686194202167       1.56686194202167  -4.44089209850063e-16  -2.83425870486757e-16
      0.120000000000000       1.56512609954127       1.56512609954127   2.22044604925031e-16   1.41870105539810e-16
      0.140000000000000       1.56307090516842       1.56307090516842  -4.44089209850063e-16  -2.84113285188565e-16
      0.160000000000000       1.56069445339735       1.56069445339735       0.00000000000000       0.00000000000000
