#############################################################
# Computed values of Fresnel integral C
# using MpIeee+R;
# for x linearly from -1 to +1 by 0.01;
# output to 40 digits;
# computation and output in base 10.
# 
# Tabulated by DLMFTables on January 26, 2016 11:20:48 PM GMT
#############################################################
# Columns are x and Fresnel integral C
-1 -7.79893400376822829474206413652690136630625705e-1
-0.99 -7.79736857107398554436539155995652307760186445e-1
-0.98 -7.79269472398985793616327384271697510625170595e-1
-0.97 -7.78494829817352491371116564934315194287345285e-1
-0.96 -7.77416786193992883248412767467137110487135355e-1
-0.95 -7.76039453548568965584824145951222734350022125e-1
-0.94 -7.74367181280619918027203918498870699454534595e-1
-0.93 -7.72404538661945423569000299977022377136554645e-1
-0.92 -7.70156297658392921476733902489939306834904705e-1
-0.91 -7.67627416107176049006116661189624274281388395e-1
-0.90 -7.64823021273326499863628473999140498107233475e-1
-0.89 -7.61748393806438235155207305782652699114698435e-1
-0.88 -7.58408952116504803177823703962377673423054915e-1
-0.87 -7.54810237185380258785118814503145724385325885e-1
-0.86 -7.50957897828214077145683705148817379697718115e-1
-0.85 -7.46857676417122272737332605607886894582813105e-1
-0.84 -7.42515395077361922051809796021042368136942275e-1
-0.83 -7.37936942364375255767510996138607082410789405e-1
-0.82 -7.33128260428262820069576751119247089138689395e-1
-0.81 -7.28095332670532903359122964898884330568724515e-1
-0.80 -7.22844171896356118291553565549728121893562905e-1
-0.79 -7.17380808964029021691960752049520759417693815e-1
-0.78 -7.11711281931917943477227246795735529995953545e-1
-0.77 -7.05841625701812499786038180846773135012077135e-1
-0.76 -6.99777862156366053303031712841357613368011615e-1
-0.75 -6.93525990787135897485875908993955479063997325e-1
-0.74 -6.87091979808657221579747204566125398581811995e-1
-0.73 -6.80481757752989821994067681786736608283581105e-1
-0.72 -6.73701205538262768621797611179219890847597225e-1
-0.71 -6.66756149003907382654640096900119902299205565e-1
-0.70 -6.59652351904510390916169306269935130547587435e-1
-0.69 -6.52395509353534350031194630595016429602681695e-1
-0.68 -6.44991241707538662845411726488801661917645205e-1
-0.67 -6.37445088880988958765621192204544126336024305e-1
-0.66 -6.29762505081262452532914400565936396171125995e-1
-0.65 -6.21948853953039274475649218054029979071471005e-1
-0.64 -6.14009404120911803881355326278976374494060795e-1
-0.63 -6.05949325118742854964623018725407489946941465e-1
-0.62 -5.97773683694056287575365428739823250002379125e-1
-0.61 -5.89487440475547384882482465309697258808580905e-1
-0.60 -5.81095446991652327070746893261688677249775705e-1
-0.59 -5.72602443028013498376290207432739794640833195e-1
-0.58 -5.64013054311617442741811955056418900366974165e-1
-0.57 -5.55331790509362329691705214826220379369548495e-1
-0.56 -5.46563043528829162227749899160965159683622955e-1
-0.55 -5.37711086109083070527529668921105266966762395e-1
-0.54 -5.28780070689415374115104686696233175900830895e-1
-0.53 -5.19774028544051217482884158551444975536976585e-1
-0.52 -5.10696869170989121308939182034439694568044015e-1
-0.51 -5.01552379923305452710625740450180123867519085e-1
-0.50 -4.92344225871446392878843665156681637766095145e-1
-0.49 -4.83075949885240340452489720727113161136969425e-1
-0.48 -4.73750972924592788990194469937251519260072325e-1
-0.47 -4.64372594528071595990132437517602932821326315e-1
-0.46 -4.54943993488851342909258437492594298847378615e-1
-0.45 -4.45468228707759379110522583875848457284710135e-1
-0.44 -4.35948240213451440652335284019911098291613045e-1
-0.43 -4.26386850340039814197487302814908773316093735e-1
-0.42 -4.16786765052800336840485114715849707032146055e-1
-0.41 -4.07150575412894625833365614256170550300545425e-1
-0.40 -3.97480759172359439813165740862525562788240925e-1
-0.39 -3.87779682490934685610578300672604872625924745e-1
-0.38 -3.78049601766624079243196571024977016353526365e-1
-0.37 -3.68292665572206698231423243012198766117681775e-1
-0.36 -3.58510916690242549492651817888741000938173615e-1
-0.35 -3.48706294239439817665091640659369029502030275e-1
-0.34 -3.38880635885574715614387344097184180327602985e-1
-0.33 -3.29035680130475960366412320278786090742780795e-1
-0.32 -3.19173068672904034978121103874566687531782575e-1
-0.31 -3.09294348835469821401847521047185823211755705e-1
-0.30 -2.99400976052047210381913831852046789143097665e-1
-0.29 -2.89494316410439276016378949797380448769625185e-1
-0.28 -2.79575649245356961323401379922214905322440925e-1
-0.27 -2.69646169777062423131965919543826105868967265e-1
-0.26 -2.59706991791315743029268908693773109406703165e-1
-0.25 -2.49759150356543183459221517800885724378139975e-1
-0.24 -2.39803604574417153646629295407349737447201185e-1
-0.23 -2.29841240360302187270881178299798176525777605e-1
-0.22 -2.19872873250277197844886325763588559159581465e-1
-0.21 -2.09899251231691777878708302470420763690323795e-1
-0.20 -1.99921057594453085221705462239482629884375275e-1
-0.19 -1.89938913800469685030443426447226813223187935e-1
-0.18 -1.79953382368899386331154666202192281181679845e-1
-0.17 -1.69964969775059450850794609042784725956483935e-1
-0.16 -1.59974129361059404267748917087607200378725215e-1
-0.15 -1.49981264256408912710339389104433686176145445e-1
-0.14 -1.39986730307035685530957939381148580862015795e-1
-0.13 -1.29990839011321031464514407772398957196780815e-1
-0.12 -1.19993860461923446868915242282014387176558055e-1
-0.11 -1.09996026292313383062519840798096550083835085e-1
-0.10 -9.99975326270850680504666909991462508918845075e-2
-0.09 -8.99985430352438999250951713275809745731844055e-2
-0.08 -7.99991914857904478271887453113542874188635735e-2
-0.07 -6.99995853050344622984448012298432082920904655e-2
-0.06 -5.99998081351744875227148168332370890565954935e-2
-0.05 -4.99999228937706662761970730474181815851523465e-2
-0.04 -3.99999747338201218701070517391318208314631465e-2
-0.03 -2.99999940042158811134028316297961848317596975e-2
