#############################################################
# Computed values of generalized exponential integral
# using MpIeee+R;
# for p being 3 and x linearly from 0.1 to 56 by 0.1;
# output to 40 digits;
# computation and output in base 10.
# 
# Tabulated by DLMFTables on January 26, 2016 11:35:15 PM GMT
#############################################################
# Columns are p, x and generalized exponential integral
3 0.1 4.16291457908278761254316645042355634233212575e-1
3 0.2 3.51945312114870605234669654999104225224628225e-1
3 0.3 3.00041826564014355182770561257612601527930015e-1
3 0.4 2.57286423319944788509972197065279405460391335e-1
3 0.5 2.21604364275178457369299376162180767763835395e-1
3 0.6 1.91550637792897665993769666455215277213198905e-1
3 0.7 1.66061162160921167551041650759151131728051555e-1
3 0.8 1.44323801546295930232554096125754329316525165e-1
3 0.9 1.25702978414059809997163518142163358875921425e-1
3 1.0 1.09691967197760136838581887730060824515523645e-1
3 1.1 9.58809430594003165323769492239787970033187005e-2
3 1.2 8.39346533418328345614705382034982057474713145e-2
3 1.3 7.35762904274122321278429621866579684199271925e-2
3 1.4 6.45755335316094361014095205419673368925878895e-2
3 1.5 5.67394901703542761563278897096222202089033495e-2
3 1.6 4.99057117344543030026270085105349013974729655e-2
3 1.7 4.39367277413535228309872258945889215346701115e-2
3 1.8 3.87157142808329371742688188157821916068045555e-2
3 1.9 3.41430239548496280317634979008054574230433775e-2
3 2.0 3.01333797978158931874799229698568429251685965e-2
3 2.1 2.66135874871356761307453130207864330551354495e-2
3 2.2 2.35206566482765000078317199117646259153126105e-2
3 2.3 2.08002482491166692680127187515919769382493115e-2
3 2.4 1.84053841925027822097965438694934356073078835e-2
3 2.5 1.62953693766688270466910325077852564524231115e-2
3 2.6 1.44348871263307100611998874031636918406560735e-2
3 2.7 1.27932369791200607362676476557510312237467635e-2
3 2.8 1.13436900225507495288988311153177381978218365e-2
3 2.9 1.00629417970464158671391927197892776422643705e-2
3 3.0 8.93064655602272537691094057884082663644976115e-3
3 3.1 7.92901965574064279082077546810047444952088575e-3
3 3.2 7.04249722046460619756999492830875456650269875e-3
3 3.3 6.25744412993898826381583811488519464285636145e-3
3 3.4 5.56190290977926959573524506146677387335977375e-3
3 3.5 4.94537734958578070581379751308584011915197025e-3
3 3.6 4.39864568856623603160068004588549002448665815e-3
3 3.7 3.91359904063564504256340572127434046892002485e-3
3 3.8 3.48310141648113111201138261383394349622388915e-3
3 3.9 3.10086826725087115020949141652656663281831845e-3
3 4.0 2.76136094568998139042184914986945549586427505e-3
3 4.1 2.45969487343597808146670332367438749008158125e-3
3 4.2 2.19155953196364957873978838048645830076301895e-3
3 4.3 1.95314867070410529311772651982400823676600365e-3
3 4.4 1.74109935833207465872786677736485109435726935e-3
3 4.5 1.55243869956143476471615292736693485024250415e-3
3 4.6 1.38453720607465553865016865122719718293976175e-3
3 4.7 1.23506795139836866048559520514892575764024405e-3
3 4.8 1.10197075970024021804339847413470662319845895e-3
3 4.9 9.83420780982887877211413972599951299414625295e-4
3 5.0 8.77800892770638273359927776449677455627023325e-4
3 5.1 7.83677443434844972878518155017406296287139645e-4
3 5.2 6.99778916708255507482652352115120079743393045e-4
3 5.3 6.24977152307299108465502057141781705092178955e-4
3 5.4 5.58270805261571956673862551361294170351592825e-4
3 5.5 4.98770767675509240059650092486233882083229515e-4
3 5.6 4.45687312173218164380025011026538433648079525e-4
3 5.7 3.98318747010396221721701992612213173423123555e-4
3 5.8 3.56041399460216596022286093518252699628516165e-4
3 5.9 3.18300767172662434737172282449492271282856295e-4
3 6.0 2.84603697261959809704175506850679670126808145e-4
3 6.1 2.54511470314529431724147977772704223096592465e-4
3 6.2 2.27633681688857899844501556381539003900804175e-4
3 6.3 2.03622825705606169075781946145517452339997655e-4
3 6.4 1.82169499863932755053786399902230200258641425e-4
3 6.5 1.62998156293962689219244635376622156267423025e-4
3 6.6 1.45863336459463627574485532165648486420570595e-4
3 6.7 1.30546332826012025978907367015012598248305645e-4
3 6.8 1.16852227952149321444287868173137727815189785e-4
3 6.9 1.04607267368478633163943893124075934243642975e-4
3 7.0 9.36565277897376785503724198449948438292992895e-5
3 7.1 8.38618467505666242142876045171117089044410565e-5
3 7.2 7.50999837475340963811784873626729672324107615e-5
3 7.3 6.72609864778893763562769063563217774726288005e-5
3 7.4 6.02467388501870120844661003196496852781320885e-5
3 7.5 5.39696701561723410189517088434118544505056615e-5
3 7.6 4.83516071830715951517157329474892780072299835e-5
3 7.7 4.33227531507312807602166940310020691984064485e-5
3 7.8 3.88207792138098774192923044970070363049730995e-5
3 7.9 3.47900159059133014909448426848742009448620265e-5
3 8.0 3.11807333468054208469939301910735009074606065e-5
3 8.1 2.79485003088924102074806546118794257233320005e-5
3 8.2 2.50536133654426215656449368622600264883051865e-5
3 8.3 2.24605883382983269387995464293646059818958325e-5
3 8.4 2.01377071427934794081919566899358332054268345e-5
3 8.5 1.80566139059211549188037203181377489049209805e-5
3 8.6 1.61919549225263020027955641035527417265892385e-5
3 8.7 1.45210576239990470434630477709534793599205775e-5
3 8.8 1.30236442738952406170745431276951290461498615e-5
3 8.9 1.16815765832776745626485444166231351537088265e-5
3 9.0 1.04786278625358229159701292229471996800749925e-5
3 9.1 9.40027970232687457372949120272934024422892855e-6
3 9.2 8.43354050965544849727984973463370362503961975e-6
3 9.3 7.56678352088179127117381712903645747110370685e-6
3 9.4 6.78960217594612430154525244553981007283824085e-6
3 9.5 6.09268097113795424192097276703777392219828395e-6
3 9.6 5.46768011469325754264748542247586551276877295e-6
3 9.7 4.90713249334502632082465935295440422531518885e-6
3 9.8 4.40435162131240048102732976026988745866422605e-6
